time[s],setpoint[RPM],velocity[RPM]
  0.010000,5000.00000,0.01030
  0.015000,5000.00000,0.01030
  0.015000,5000.00000,-0.00024
  0.020000,5000.00000,-0.00024
  0.020000,5000.00000,3990.51099
  0.025000,5000.00000,3990.51099
  0.025000,5000.00000,3990.51099
  0.030000,5000.00000,3990.51099
  0.030000,5000.00000,4546.43359
  0.035000,5000.00000,4796.20459
  0.035000,5000.00000,4796.20459
  0.040000,5000.00000,4796.20459
  0.040000,5000.00000,4958.92773
  0.045000,5000.00000,4958.92773
  0.045000,5000.00000,4958.92773
  0.050000,5000.00000,4958.92773
  0.050000,5000.00000,4981.52295
  0.055000,5000.00000,4981.52295
  0.055000,5000.00000,4991.69141
  0.060000,5000.00000,4996.26660
  0.060000,5000.00000,4996.26660
  0.065000,5000.00000,4996.26660
  0.065000,5000.00000,4999.25635
  0.070000,5000.00000,4999.25635
  0.070000,5000.00000,4999.25635
  0.075000,5000.00000,4999.25635
  0.075000,5000.00000,4999.83301
  0.080000,5000.00000,4999.83301
  0.080000,5000.00000,4999.83301
  0.085000,5000.00000,4999.83301
  0.085000,5000.00000,4999.98584
  0.090000,5000.00000,4999.98584
  0.090000,5000.00000,4999.91357
  0.095000,5000.00000,4999.91357
  0.095000,5000.00000,4999.98926
  0.100000,5000.00000,4999.98926
  0.100000,5000.00000,5000.00781
  0.105000,5000.00000,5000.00781
  0.105000,5000.00000,4999.99854
  0.110000,5000.00000,4999.99854
  0.110000,5000.00000,4999.99854
  0.115000,5000.00000,4999.99854
  0.115000,5000.00000,4999.93262
  0.120000,5000.00000,4999.93262
  0.120000,5000.00000,5000.01562
  0.130000,5000.00000,5000.01562
  0.130000,5000.00000,5000.02295
  0.135000,5000.00000,5000.02295
  0.135000,5000.00000,5000.02295
  0.140000,5000.00000,5000.02295
  0.140000,5000.00000,5000.00391
  0.145000,5000.00000,5000.00391
  0.145000,5000.00000,5000.00391
  0.150000,5000.00000,5000.00391
  0.150000,5000.00000,4999.98535
  0.155000,5000.00000,4999.98535
  0.155000,5000.00000,5000.04346
  0.160000,5000.00000,5000.04346
  0.160000,5000.00000,4999.94580
  0.165000,5000.00000,4999.94580
  0.165000,5000.00000,4999.91211
  0.170000,5000.00000,4999.91211
  0.170000,5000.00000,4999.91211
  0.175000,5000.00000,4999.91211
  0.175000,5000.00000,4999.99365
  0.180000,5000.00000,4999.99365
  0.180000,5000.00000,4999.98633
  0.185000,5000.00000,4999.98633
  0.185000,5000.00000,5000.01562
  0.190000,5000.00000,5000.01562
  0.190000,5000.00000,4999.97656
  0.195000,5000.00000,4999.97656
  0.195000,5000.00000,4999.93408
  0.200000,5000.00000,4999.93408
  0.200000,5000.00000,5000.01709
  0.205000,5000.00000,5000.01709
  0.205000,5000.00000,5000.01904
  0.210000,5000.00000,5000.01904
  0.210000,5000.00000,4999.93115
  0.215000,5000.00000,4999.93115
  0.215000,5000.00000,5000.05811
  0.220000,5000.00000,5000.05811
  0.220000,5000.00000,5000.01025
  0.225000,5000.00000,5000.01025
  0.225000,5000.00000,5000.01025
  0.230000,5000.00000,5000.01025
  0.230000,5000.00000,4999.99756
  0.235000,5000.00000,4999.99756
  0.235000,5000.00000,5000.00146
  0.240000,5000.00000,5000.00146
  0.240000,5000.00000,5000.00146
  0.245000,5000.00000,5000.00146
  0.245000,5000.00000,5000.00049
  0.250000,5000.00000,5000.00049
  0.250000,5000.00000,4999.99463
  0.255000,5000.00000,4999.99463
  0.255000,5000.00000,5000.01123
  0.260000,5000.00000,5000.01123
  0.260000,5000.00000,5000.01123
  0.265000,5000.00000,5000.01123
  0.265000,5000.00000,4999.99121
  0.270000,5000.00000,4999.99121
  0.270000,5000.00000,4999.99316
  0.275000,5000.00000,4999.99316
  0.275000,5000.00000,5000.07568
  0.280000,5000.00000,5000.07568
  0.280000,5000.00000,4999.99023
  0.285000,5000.00000,4999.99023
  0.285000,5000.00000,4999.99023
  0.290000,5000.00000,4999.99023
  0.290000,5000.00000,4999.99121
  0.295000,5000.00000,4999.99121
  0.295000,5000.00000,5000.00098
  0.300000,5000.00000,5000.00098
  0.300000,5000.00000,4999.98242
  0.305000,5000.00000,4999.98242
  0.305000,5000.00000,4999.98633
  0.310000,5000.00000,4999.98633
  0.310000,5000.00000,4999.95117
  0.315000,5000.00000,4999.95117
  0.315000,5000.00000,5000.02393
  0.320000,5000.00000,5000.02393
  0.320000,5000.00000,4999.95850
  0.325000,5000.00000,4999.95850
  0.325000,5000.00000,5000.07373
  0.330000,5000.00000,5000.07373
  0.330000,5000.00000,5000.07373
  0.335000,5000.00000,5000.07373
  0.335000,5000.00000,5000.00928
  0.340000,5000.00000,5000.00928
  0.340000,5000.00000,5000.00000
  0.345000,5000.00000,5000.00000
  0.345000,5000.00000,4999.99951
  0.350000,5000.00000,4999.99951
  0.350000,5000.00000,4999.99805
  0.355000,5000.00000,4999.99805
  0.355000,5000.00000,5000.00732
  0.360000,5000.00000,5000.00732
  0.360000,5000.00000,4999.92139
  0.365000,5000.00000,4999.92139
  0.365000,5000.00000,4999.92139
  0.370000,5000.00000,4999.92139
  0.370000,5000.00000,4999.99463
  0.375000,5000.00000,4999.99463
  0.375000,5000.00000,4999.99561
  0.380000,5000.00000,4999.99561
  0.380000,5000.00000,5000.01123
  0.385000,5000.00000,5000.01123
  0.385000,5000.00000,5000.00244
  0.390000,5000.00000,5000.00244
  0.390000,5000.00000,4999.94434
  0.395000,5000.00000,4999.94434
  0.395000,5000.00000,4999.91455
  0.400000,5000.00000,4999.91455
  0.400000,5000.00000,5000.06982
  0.405000,5000.00000,5000.06982
  0.405000,5000.00000,5000.01904
  0.410000,5000.00000,5000.01904
  0.410000,5000.00000,5000.01904
  0.415000,5000.00000,5000.01904
  0.415000,5000.00000,5000.00146
  0.420000,5000.00000,5000.00146
  0.420000,5000.00000,5000.00488
  0.425000,5000.00000,5000.00488
  0.425000,5000.00000,4999.98730
  0.430000,5000.00000,4999.98730
  0.430000,5000.00000,5000.03271
  0.435000,5000.00000,5000.03271
  0.435000,5000.00000,4999.99805
  0.440000,5000.00000,4999.99805
  0.440000,5000.00000,4999.99805
  0.445000,5000.00000,4999.99805
  0.445000,5000.00000,4999.99854
  0.450000,5000.00000,4999.99854
  0.450000,5000.00000,5000.00391
  0.455000,5000.00000,5000.00391
  0.455000,5000.00000,5000.00488
  0.460000,5000.00000,5000.00488
  0.460000,5000.00000,5000.00488
  0.465000,5000.00000,5000.00488
  0.465000,5000.00000,5000.01660
  0.470000,5000.00000,5000.01660
  0.470000,5000.00000,4999.89941
  0.475000,5000.00000,4999.89941
  0.475000,5000.00000,5000.02148
  0.480000,5000.00000,5000.02148
  0.480000,5000.00000,5000.02148
  0.485000,5000.00000,5000.02148
  0.485000,5000.00000,4999.93555
  0.490000,5000.00000,4999.93555
  0.490000,5000.00000,5000.01367
  0.495000,5000.00000,5000.01367
  0.495000,5000.00000,5000.01367
  0.500000,5000.00000,5000.01367
  0.500000,5000.00000,5000.00244
  0.505000,5000.00000,5000.00244
  0.505000,5000.00000,5000.00391
  0.510000,5000.00000,5000.00391
  0.510000,5000.00000,5000.00488
  0.515000,5000.00000,5000.00488
  0.515000,5000.00000,5000.00488
  0.520000,5000.00000,5000.00488
  0.520000,5000.00000,4999.98486
  0.525000,5000.00000,4999.98486
  0.525000,5000.00000,4999.96338
  0.530000,5000.00000,4999.96338
  0.530000,5000.00000,4999.99609
  0.535000,5000.00000,4999.99609
  0.535000,5000.00000,5000.01318
  0.540000,5000.00000,5000.01318
  0.540000,5000.00000,5000.01318
  0.545000,5000.00000,5000.01318
  0.545000,5000.00000,4999.98975
  0.550000,5000.00000,4999.98975
  0.550000,5000.00000,4999.98975
  0.555000,5000.00000,4999.98975
  0.555000,5000.00000,5000.01221
  0.560000,5000.00000,5000.01221
  0.560000,5000.00000,4999.99365
  0.565000,5000.00000,4999.99365
  0.565000,5000.00000,4999.99365
  0.570000,5000.00000,4999.99365
  0.570000,5000.00000,5000.00781
  0.575000,5000.00000,5000.00781
  0.575000,5000.00000,4999.99902
  0.580000,5000.00000,4999.99902
  0.580000,5000.00000,4999.99902
  0.585000,5000.00000,4999.99902
  0.585000,5000.00000,4999.98389
  0.590000,5000.00000,4999.98389
  0.590000,5000.00000,5000.00586
  0.595000,5000.00000,5000.00586
  0.595000,5000.00000,5000.00000
  0.600000,5000.00000,5000.00000
  0.600000,5000.00000,5000.00000
  0.605000,5000.00000,5000.00000
  0.605000,5000.00000,5000.02588
  0.610000,5000.00000,5000.02588
  0.610000,5000.00000,5000.02588
  0.615000,5000.00000,5000.02588
  0.615000,5000.00000,4999.98145
  0.620000,5000.00000,4999.98145
  0.620000,5000.00000,4999.98291
  0.625000,5000.00000,4999.98291
  0.625000,5000.00000,4999.99072
  0.630000,5000.00000,4999.99072
  0.630000,5000.00000,5000.00391
  0.635000,5000.00000,5000.00391
  0.635000,5000.00000,5000.06836
  0.640000,5000.00000,5000.06836
  0.640000,5000.00000,4999.95068
  0.645000,5000.00000,4999.95068
  0.645000,5000.00000,4999.95068
  0.650000,5000.00000,4999.95068
  0.650000,5000.00000,4999.99121
  0.655000,5000.00000,4999.99121
  0.655000,5000.00000,5000.00000
  0.660000,5000.00000,5000.00000
  0.660000,5000.00000,4999.98242
  0.665000,5000.00000,4999.98242
  0.665000,5000.00000,4999.98926
  0.670000,5000.00000,4999.98926
  0.670000,5000.00000,4999.95068
  0.675000,5000.00000,4999.95068
  0.675000,5000.00000,5000.01660
  0.680000,5000.00000,5000.01660
  0.680000,5000.00000,4999.96289
  0.685000,5000.00000,4999.96289
  0.685000,5000.00000,4999.96289
  0.690000,5000.00000,4999.96289
  0.690000,5000.00000,5000.07520
  0.695000,5000.00000,5000.07520
  0.695000,5000.00000,5000.02148
  0.700000,5000.00000,5000.02148
  0.700000,5000.00000,4999.98438
  0.705000,5000.00000,4999.98438
  0.705000,5000.00000,4999.98438
  0.710000,5000.00000,4999.98438
  0.710000,5000.00000,4999.98535
  0.715000,5000.00000,4999.98535
  0.715000,5000.00000,5000.02100
  0.720000,5000.00000,5000.02100
  0.720000,5000.00000,4999.98926
  0.725000,5000.00000,4999.98926
  0.725000,5000.00000,4999.96729
  0.730000,5000.00000,4999.96729
  0.730000,5000.00000,4999.96729
  0.735000,5000.00000,4999.96729
  0.735000,5000.00000,5000.00684
  0.740000,5000.00000,5000.00684
  0.740000,5000.00000,4999.99316
  0.745000,5000.00000,4999.99316
  0.745000,5000.00000,4999.99316
  0.750000,5000.00000,4999.99316
  0.750000,5000.00000,4999.97607
  0.755000,5000.00000,4999.97607
  0.755000,5000.00000,4999.94385
  0.760000,5000.00000,4999.94385
  0.760000,5000.00000,4999.94385
  0.765000,5000.00000,4999.94385
  0.765000,5000.00000,5000.01709
  0.770000,5000.00000,5000.01709
  0.770000,5000.00000,5000.02441
  0.775000,5000.00000,5000.02441
  0.775000,5000.00000,5000.01367
  0.780000,5000.00000,5000.01367
  0.780000,5000.00000,4999.98877
  0.785000,5000.00000,4999.98877
  0.785000,5000.00000,4999.98877
  0.790000,5000.00000,4999.98877
  0.790000,5000.00000,5000.00391
  0.795000,5000.00000,5000.00391
  0.795000,5000.00000,5000.00391
  0.800000,5000.00000,5000.00391
  0.800000,5000.00000,5000.00342
  0.805000,5000.00000,5000.00342
  0.805000,5000.00000,5000.00342
  0.810000,5000.00000,5000.00342
  0.810000,5000.00000,4999.88867
  0.815000,5000.00000,4999.88867
  0.815000,5000.00000,4999.88867
  0.820000,5000.00000,4999.88867
  0.820000,5000.00000,4999.99805
  0.825000,5000.00000,4999.99805
  0.825000,5000.00000,4999.99805
  0.830000,5000.00000,4999.99805
  0.830000,5000.00000,5000.00537
  0.835000,5000.00000,5000.00537
  0.835000,5000.00000,5000.00537
  0.840000,5000.00000,5000.00537
  0.840000,5000.00000,5000.00439
  0.845000,5000.00000,5000.00439
  0.845000,5000.00000,4999.96631
  0.850000,5000.00000,4999.96631
  0.850000,5000.00000,5000.01318
  0.855000,5000.00000,5000.01318
  0.855000,5000.00000,5000.01904
  0.860000,5000.00000,5000.01904
  0.860000,5000.00000,4999.93799
  0.865000,5000.00000,4999.93799
  0.865000,5000.00000,4999.93799
  0.870000,5000.00000,4999.93799
  0.870000,5000.00000,5000.01367
  0.875000,5000.00000,5000.01367
  0.875000,5000.00000,5000.01367
  0.880000,5000.00000,5000.01367
  0.880000,5000.00000,5000.00098
  0.885000,5000.00000,5000.00098
  0.885000,5000.00000,5000.00098
  0.890000,5000.00000,5000.00098
  0.890000,5000.00000,5000.01025
  0.895000,5000.00000,5000.01025
  0.895000,5000.00000,5000.00684
  0.900000,5000.00000,5000.00684
  0.900000,5000.00000,4999.96924
  0.905000,5000.00000,4999.96924
  0.905000,5000.00000,5000.07715
  0.910000,5000.00000,5000.07715
  0.910000,5000.00000,5000.07715
  0.915000,5000.00000,5000.07715
  0.915000,5000.00000,4999.93750
  0.920000,5000.00000,4999.93750
  0.920000,5000.00000,5000.00342
  0.925000,5000.00000,5000.00342
  0.925000,5000.00000,5000.00879
  0.930000,5000.00000,5000.00879
  0.930000,5000.00000,5000.00879
  0.935000,5000.00000,5000.00879
  0.935000,5000.00000,5000.00342
  0.940000,5000.00000,5000.00342
  0.940000,5000.00000,5000.00342
  0.945000,5000.00000,5000.00342
  0.945000,5000.00000,4999.96582
  0.950000,5000.00000,4999.96582
  0.950000,5000.00000,5000.01416
  0.955000,5000.00000,5000.01416
  0.955000,5000.00000,5000.01855
  0.960000,5000.00000,5000.01855
  0.960000,5000.00000,5000.01855
  0.965000,5000.00000,5000.01855
  0.965000,5000.00000,4999.93506
  0.970000,5000.00000,4999.93506
  0.970000,5000.00000,5000.06689
  0.975000,5000.00000,5000.06689
  0.975000,5000.00000,5000.00146
  0.980000,5000.00000,5000.00146
  0.980000,5000.00000,5000.00000
  0.985000,5000.00000,5000.00000
  0.985000,5000.00000,5000.00000
  0.990000,5000.00000,5000.00000
  0.990000,5000.00000,5000.00781
  0.995000,5000.00000,5000.00781
  0.995000,5000.00000,5000.00781
  1.000000,5000.00000,5000.00781
  1.000000,4384.31543,4999.97656
  1.005000,4384.31543,4999.97656
  1.005000,4384.31543,4999.97656
  1.010000,4384.31543,4999.97656
  1.010000,4384.31543,4797.08643
  1.015000,4384.31543,4797.08643
  1.015000,4384.31543,4660.90576
  1.020000,4384.31543,4660.90576
  1.020000,4384.31543,4569.75928
  1.025000,4384.31543,4569.75928
  1.025000,4384.31543,4508.60986
  1.030000,4384.31543,4508.60986
  1.030000,4384.31543,4440.17188
  1.035000,4384.31543,4440.17188
  1.035000,4384.31543,4440.17188
  1.040000,4384.31543,4440.17188
  1.040000,4384.31543,4421.75879
  1.045000,4384.31543,4421.75879
  1.045000,4384.31543,4401.20264
  1.050000,4384.31543,4401.20264
  1.050000,4384.31543,4395.45801
  1.055000,4384.31543,4395.45801
  1.055000,4384.31543,4391.89600
  1.060000,4384.31543,4391.89600
  1.060000,4384.31543,4389.38574
  1.065000,4384.31543,4389.38574
  1.065000,4384.31543,4389.38574
  1.070000,4384.31543,4389.38574
  1.070000,4384.31543,4387.71191
  1.075000,4384.31543,4387.71191
  1.075000,4384.31543,4386.59229
  1.080000,4384.31543,4386.59229
  1.080000,4384.31543,4386.59229
  1.085000,4384.31543,4386.59229
  1.085000,4384.31543,4385.32764
  1.090000,4384.31543,4385.32764
  1.090000,4384.31543,4384.77197
  1.095000,4384.31543,4384.77197
  1.095000,4384.31543,4384.77197
  1.100000,4384.31543,4384.77197
  1.100000,4384.31543,4384.77197
  1.105000,4384.31543,4384.77197
  1.105000,4384.31543,4384.44238
  1.110000,4384.31543,4384.44238
  1.110000,4384.31543,4384.44238
  1.115000,4384.31543,4384.44238
  1.115000,4384.31543,4384.41553
  1.125000,4384.31543,4384.41553
  1.125000,4384.31543,4384.41553
  1.130000,4384.31543,4384.41553
  1.130000,4384.31543,4384.28125
  1.135000,4384.31543,4384.39355
  1.135000,4384.31543,4384.39355
  1.140000,4384.31543,4384.39355
  1.140000,4384.31543,4384.36523
  1.145000,4384.31543,4384.36523
  1.145000,4384.31543,4384.36523
  1.150000,4384.31543,4384.36523
  1.150000,4384.31543,4384.32617
  1.155000,4384.31543,4384.32617
  1.155000,4384.31543,4384.31738
  1.160000,4384.31543,4384.31738
  1.160000,4384.31543,4384.31738
  1.165000,4384.31543,4384.31738
  1.165000,4384.31543,4384.31934
  1.170000,4384.31543,4384.31934
  1.170000,4384.31543,4384.36475
  1.175000,4384.31543,4384.36475
  1.175000,4384.31543,4384.36475
  1.180000,4384.31543,4384.36475
  1.180000,4384.31543,4384.31738
  1.185000,4384.31543,4384.31738
  1.185000,4384.31543,4384.30762
  1.190000,4384.31543,4384.30762
  1.190000,4384.31543,4384.32275
  1.195000,4384.31543,4384.32275
  1.195000,4384.31543,4384.32275
  1.200000,4384.31543,4384.32275
  1.200000,4384.31543,4384.31836
  1.205000,4384.31543,4384.31836
  1.205000,4384.31543,4384.31836
  1.210000,4384.31543,4384.31836
  1.210000,4384.31543,4384.30225
  1.215000,4384.31543,4384.30225
  1.215000,4384.31543,4384.30273
  1.220000,4384.31543,4384.30273
  1.220000,4384.31543,4384.31885
  1.225000,4384.31543,4384.31885
  1.225000,4384.31543,4384.30225
  1.230000,4384.31543,4384.30225
  1.230000,4384.31543,4384.30273
  1.235000,4384.31543,4384.30273
  1.235000,4384.31543,4384.27783
  1.240000,4384.31543,4384.27783
  1.240000,4384.31543,4384.27783
  1.245000,4384.31543,4384.27783
  1.245000,4384.31543,4384.32178
  1.250000,4384.31543,4384.32178
  1.250000,4384.31543,4384.27246
  1.255000,4384.31543,4384.27246
  1.255000,4384.31543,4384.36133
  1.260000,4384.31543,4384.36133
  1.260000,4384.31543,4384.33057
  1.265000,4384.31543,4384.33057
  1.265000,4384.31543,4384.31104
