time[s],setpoint[RPM],velocity[RPM]
  0.000000,5000.00000,2.42353
  0.005000,5000.00000,2.42353
  0.005000,5000.00000,2.42353
  0.010000,5000.00000,2.42353
  0.010000,5000.00000,2.71026
  0.015000,5000.00000,2.71026
  0.015000,5000.00000,11.22441
  0.020000,5000.00000,11.22441
  0.020000,5000.00000,19.94002
  0.025000,5000.00000,19.94002
  0.025000,5000.00000,29.04336
  0.030000,5000.00000,29.04336
  0.030000,5000.00000,38.85502
  0.035000,5000.00000,38.85502
  0.035000,5000.00000,49.52473
  0.040000,5000.00000,49.52473
  0.040000,5000.00000,61.44337
  0.045000,5000.00000,61.44337
  0.045000,5000.00000,74.42646
  0.050000,5000.00000,74.42646
  0.050000,5000.00000,88.20565
  0.055000,5000.00000,88.20565
  0.055000,5000.00000,102.51489
  0.060000,5000.00000,102.51489
  0.060000,5000.00000,117.29100
  0.065000,5000.00000,117.29100
  0.065000,5000.00000,132.43260
  0.070000,5000.00000,132.43260
  0.070000,5000.00000,147.89258
  0.075000,5000.00000,147.89258
  0.075000,5000.00000,163.59599
  0.080000,5000.00000,163.59599
  0.080000,5000.00000,179.48953
  0.085000,5000.00000,179.48953
  0.085000,5000.00000,195.53514
  0.090000,5000.00000,195.53514
  0.090000,5000.00000,211.70296
  0.095000,5000.00000,211.70296
  0.095000,5000.00000,227.98320
  0.100000,5000.00000,227.98320
  0.100000,5000.00000,244.35217
  0.105000,5000.00000,244.35217
  0.105000,5000.00000,260.68399
  0.110000,5000.00000,260.68399
  0.110000,5000.00000,277.29163
  0.115000,5000.00000,277.29163
  0.115000,5000.00000,293.88470
  0.120000,5000.00000,293.88470
  0.120000,5000.00000,310.52747
  0.125000,5000.00000,310.52747
  0.125000,5000.00000,327.21332
  0.130000,5000.00000,327.21332
  0.130000,5000.00000,343.95105
  0.135000,5000.00000,343.95105
  0.135000,5000.00000,360.73605
  0.140000,5000.00000,360.73605
  0.140000,5000.00000,377.57278
  0.145000,5000.00000,377.57278
  0.145000,5000.00000,394.43884
  0.150000,5000.00000,394.43884
  0.150000,5000.00000,411.36127
  0.155000,5000.00000,411.36127
  0.155000,5000.00000,428.32721
  0.160000,5000.00000,428.32721
  0.160000,5000.00000,445.35162
  0.165000,5000.00000,445.35162
  0.165000,5000.00000,462.40445
  0.170000,5000.00000,462.40445
  0.170000,5000.00000,479.50430
  0.175000,5000.00000,479.50430
  0.175000,5000.00000,496.64679
  0.180000,5000.00000,496.64679
  0.180000,5000.00000,513.83270
  0.185000,5000.00000,513.83270
  0.185000,5000.00000,531.06812
  0.190000,5000.00000,531.06812
  0.190000,5000.00000,548.35754
  0.195000,5000.00000,548.35754
  0.195000,5000.00000,565.68134
  0.200000,5000.00000,565.68134
  0.200000,5000.00000,583.06885
  0.205000,5000.00000,583.06885
  0.205000,5000.00000,600.50854
  0.210000,5000.00000,600.50854
  0.210000,5000.00000,617.99890
  0.215000,5000.00000,617.99890
  0.215000,5000.00000,635.54712
  0.220000,5000.00000,635.54712
  0.220000,5000.00000,653.12006
  0.225000,5000.00000,653.12006
  0.225000,5000.00000,670.80719
  0.230000,5000.00000,670.80719
  0.230000,5000.00000,688.53546
  0.235000,5000.00000,688.53546
  0.235000,5000.00000,706.32666
  0.240000,5000.00000,706.32666
  0.240000,5000.00000,724.18726
  0.245000,5000.00000,724.18726
  0.245000,5000.00000,742.12329
  0.250000,5000.00000,742.12329
  0.250000,5000.00000,760.16077
  0.255000,5000.00000,760.16077
  0.255000,5000.00000,778.25372
  0.260000,5000.00000,778.25372
