time[s],setpoint[RPM],velocity[RPM]
  0.001503,0.00000,0.00000
  0.006736,5000.00000,0.28571
  0.011933,5000.00000,-0.71429
  0.017138,5000.00000,-2.85714
  0.022289,5000.00000,-6.00000
  0.027419,5000.00000,-11.14286
  0.032551,5000.00000,-15.28571
  0.037683,5000.00000,-21.00000
  0.042817,5000.00000,-26.71428
  0.047953,5000.00000,-30.42857
  0.053085,5000.00000,-32.14286
  0.058268,5000.00000,-32.42857
  0.063430,5000.00000,-32.00000
  0.068627,5000.00000,-31.28572
  0.073805,5000.00000,-30.42857
  0.078955,5000.00000,-29.42857
  0.084130,5000.00000,-28.28572
  0.089324,5000.00000,-21.42857
  0.094511,5000.00000,-19.71428
  0.099710,5000.00000,-16.57143
  0.104876,5000.00000,-15.57143
  0.110095,5000.00000,-9.00000
  0.115374,5000.00000,-3.00000
  0.120648,5000.00000,-2.42857
  0.125837,5000.00000,-2.42857
  0.131017,5000.00000,-0.28571
  0.136168,5000.00000,-0.14286
  0.141323,5000.00000,-0.28571
  0.146464,5000.00000,-0.57143
  0.151588,5000.00000,-31.14286
  0.156712,5000.00000,-3.42857
  0.161863,5000.00000,10.42857
  0.166990,5000.00000,19.42857
  0.172097,5000.00000,32.42857
  0.177196,5000.00000,42.28571
  0.182309,5000.00000,42.28571
  0.187431,5000.00000,-3.85714
  0.192546,5000.00000,2.57143
  0.197673,5000.00000,14.85714
  0.202804,5000.00000,27.28572
  0.207939,5000.00000,-0.85714
  0.213086,5000.00000,-11.42857
  0.218223,5000.00000,11.42857
  0.223338,5000.00000,20.42857
  0.228483,5000.00000,-1.14286
  0.233618,5000.00000,1.14286
  0.238787,5000.00000,12.42857
  0.243908,5000.00000,-10.14286
  0.249006,5000.00000,-1.14286
  0.254104,5000.00000,30.42857
  0.259254,5000.00000,30.42857
  0.264503,5000.00000,29.28572
  0.269687,5000.00000,29.42857
  0.274833,5000.00000,30.85714
  0.280081,5000.00000,32.71429
  0.285246,5000.00000,35.14286
  0.290375,5000.00000,39.14286
  0.295510,5000.00000,43.00000
  0.300660,5000.00000,46.85714
  0.305810,5000.00000,52.00000
  0.310990,5000.00000,58.14286
  0.316106,5000.00000,65.28571
  0.321283,5000.00000,71.14286
  0.326434,5000.00000,77.71429
  0.331595,5000.00000,85.28571
  0.336741,5000.00000,94.71429
  0.341883,5000.00000,103.85714
  0.347007,5000.00000,112.71429
  0.352132,5000.00000,120.71429
  0.357323,5000.00000,130.28572
  0.362421,5000.00000,140.00000
  0.367576,5000.00000,150.42857
  0.372725,5000.00000,156.42857
  0.377875,5000.00000,165.00000
  0.383094,5000.00000,173.42857
  0.388192,5000.00000,181.14285
  0.393326,5000.00000,188.42857
  0.398468,5000.00000,194.57143
  0.403601,5000.00000,199.42857
  0.408815,5000.00000,203.42857
  0.413935,5000.00000,210.14285
  0.419036,5000.00000,212.14285
  0.424150,5000.00000,225.42857
  0.429283,5000.00000,249.14285
  0.434468,5000.00000,283.57144
  0.439693,5000.00000,325.42856
  0.444938,5000.00000,372.42856
  0.450181,5000.00000,424.42856
  0.455433,5000.00000,477.85715
  0.460624,5000.00000,534.42859
  0.465908,5000.00000,595.28571
  0.471159,5000.00000,658.14288
  0.476319,5000.00000,720.71429
  0.481538,5000.00000,786.42859
  0.486800,5000.00000,854.00000
  0.492249,5000.00000,925.28571
  0.497543,5000.00000,997.28571
  0.502764,5000.00000,1065.85718
  0.508044,5000.00000,1138.00000
  0.513272,5000.00000,1210.71423
  0.518514,5000.00000,1281.85718
  0.523714,5000.00000,1351.00000
  0.528919,5000.00000,1419.14282
  0.534128,5000.00000,1483.85718
  0.539358,5000.00000,1547.28577
  0.544604,5000.00000,1608.42859
  0.549889,5000.00000,1666.00000
  0.555184,5000.00000,1721.42859
  0.560456,5000.00000,1771.85718
  0.565668,5000.00000,1819.42859
  0.571036,5000.00000,1864.42859
  0.576249,5000.00000,1905.85718
  0.581490,5000.00000,1943.71423
  0.586728,5000.00000,1979.14282
  0.591987,5000.00000,2011.57141
  0.597245,5000.00000,2042.00000
  0.602486,5000.00000,2069.42847
  0.607852,5000.00000,2096.14282
  0.613113,5000.00000,2119.71436
  0.618421,5000.00000,2142.28564
  0.623687,5000.00000,2162.71436
  0.628947,5000.00000,2182.28564
  0.634163,5000.00000,2200.28564
  0.639395,5000.00000,2217.57153
  0.644681,5000.00000,2234.00000
  0.649965,5000.00000,2250.28564
  0.655376,5000.00000,2265.85718
  0.660667,5000.00000,2281.14282
  0.665965,5000.00000,2295.85718
  0.671400,5000.00000,2311.14282
  0.676689,5000.00000,2325.57153
  0.681904,5000.00000,2340.42847
  0.687143,5000.00000,2354.42847
  0.692389,5000.00000,2369.42847
  0.697655,5000.00000,2384.14282
  0.702815,5000.00000,2398.85718
  0.708089,5000.00000,2414.28564
  0.713379,5000.00000,2429.71436
  0.718654,5000.00000,2445.85718
  0.723901,5000.00000,2461.42847
  0.729151,5000.00000,2477.85718
  0.734373,5000.00000,2494.14282
  0.739587,5000.00000,2510.57153
  0.744800,5000.00000,2527.42847
  0.750051,5000.00000,2544.57153
  0.755254,5000.00000,2561.42847
  0.760439,5000.00000,2578.71436
  0.765622,5000.00000,2596.42847
  0.770792,5000.00000,2614.00000
  0.775935,5000.00000,2631.28564
  0.781225,5000.00000,2649.85718
  0.786404,5000.00000,2667.71436
  0.791543,5000.00000,2685.28564
  0.796741,5000.00000,2703.42847
  0.801951,5000.00000,2722.00000
  0.807133,5000.00000,2740.28564
  0.812270,5000.00000,2758.42847
  0.817417,5000.00000,2776.57153
  0.822543,5000.00000,2794.57153
  0.827693,5000.00000,2813.00000
  0.832885,5000.00000,2831.71436
  0.838046,5000.00000,2850.00000
  0.843182,5000.00000,2868.28564
  0.848321,5000.00000,2886.85718
  0.853487,5000.00000,2904.57153
  0.858640,5000.00000,2922.85718
  0.863844,5000.00000,2941.42847
  0.869012,5000.00000,2959.85718
  0.874141,5000.00000,2977.71436
  0.879275,5000.00000,2996.14282
  0.884411,5000.00000,3014.14282
  0.889551,5000.00000,3032.28564
  0.894680,5000.00000,3050.42847
  0.899825,5000.00000,3068.42847
  0.904968,5000.00000,3086.57153
  0.910092,5000.00000,3104.57153
  0.915632,5000.00000,3124.14282
  0.921956,5000.00000,3145.71436
  0.927088,5000.00000,3163.85718
  0.932218,5000.00000,3181.71436
  0.937403,5000.00000,3200.14282
  0.942575,5000.00000,3218.14282
  0.947758,5000.00000,3236.00000
  0.952891,5000.00000,3254.00000
  0.958049,5000.00000,3271.85718
  0.963237,5000.00000,3289.85718
  0.968412,5000.00000,3307.57153
  0.973653,5000.00000,3325.71436
  0.978903,5000.00000,3344.14282
  0.984115,5000.00000,3362.42847
  0.989474,5000.00000,3380.85718
  0.994679,5000.00000,3398.85718
  0.999924,4739.62109,3417.00000
  1.005257,4739.62109,3435.71436
  1.010498,4739.62109,3454.00000
  1.015718,4739.62109,3472.00000
  1.020966,4739.62109,3490.14282
  1.026161,4739.62109,3508.42847
  1.031513,4739.62109,3526.85718
  1.037037,4739.62109,3545.85718
  1.042286,4739.62109,3564.00000
  1.047611,4739.62109,3582.85718
