time[s],setpoint[RPM],velocity[RPM]
  0.005000,0.00000,0.00000
  0.005000,5000.00000,0.01386
  0.010000,5000.00000,0.01386
  0.015000,5000.00000,0.01386
  0.020000,5000.00000,0.01386
  0.025000,5000.00000,52.75438
  0.030000,5000.00000,52.75438
  0.035000,5000.00000,87.92242
  0.040000,5000.00000,87.92242
  0.045000,5000.00000,105.48878
  0.050000,5000.00000,123.07626
  0.055000,5000.00000,158.23996
  0.060000,5000.00000,158.23996
  0.065000,5000.00000,175.82118
  0.070000,5000.00000,193.40083
  0.075000,5000.00000,211.04375
  0.080000,5000.00000,228.55840
  0.085000,5000.00000,246.12787
  0.090000,5000.00000,263.70471
  0.095000,5000.00000,281.28992
  0.100000,5000.00000,298.87726
  0.105000,5000.00000,334.04303
  0.110000,5000.00000,351.62823
  0.115000,5000.00000,351.62823
  0.120000,5000.00000,351.62823
  0.125000,5000.00000,404.36124
  0.130000,5000.00000,404.36124
  0.135000,5000.00000,421.94635
  0.140000,5000.00000,439.53427
  0.145000,5000.00000,457.08463
  0.150000,5000.00000,474.69708
  0.155000,5000.00000,492.28488
  0.160000,5000.00000,509.87271
  0.165000,5000.00000,545.09009
  0.170000,5000.00000,562.59460
  0.175000,5000.00000,562.59460
  0.180000,5000.00000,580.17877
  0.185000,5000.00000,597.76251
  0.190000,5000.00000,615.34808
  0.195000,5000.00000,632.93109
  0.200000,5000.00000,668.00433
  0.205000,5000.00000,668.00433
  0.210000,5000.00000,703.27063
  0.215000,5000.00000,703.27063
  0.220000,5000.00000,738.44342
  0.225000,5000.00000,738.44342
  0.230000,5000.00000,773.60535
  0.235000,5000.00000,773.60535
  0.240000,5000.00000,808.75952
  0.245000,5000.00000,808.75952
  0.250000,5000.00000,843.93304
  0.255000,5000.00000,861.52130
  0.260000,5000.00000,861.52130
  0.265000,5000.00000,879.10480
  0.270000,5000.00000,896.68604
  0.275000,5000.00000,931.84290
  0.280000,5000.00000,931.84290
  0.285000,5000.00000,949.42303
  0.290000,5000.00000,966.90399
  0.295000,5000.00000,1002.16217
  0.300000,5000.00000,1002.16217
  0.305000,5000.00000,1037.33179
  0.310000,5000.00000,1054.91907
  0.315000,5000.00000,1054.91907
  0.320000,5000.00000,1090.07800
  0.325000,5000.00000,1090.07800
  0.330000,5000.00000,1125.23804
  0.335000,5000.00000,1125.23804
  0.340000,5000.00000,1142.82617
  0.345000,5000.00000,1160.39673
  0.350000,5000.00000,1195.56580
  0.355000,5000.00000,1195.56580
  0.360000,5000.00000,1213.14417
  0.365000,5000.00000,1230.73059
  0.370000,5000.00000,1248.30286
  0.375000,5000.00000,1265.89832
  0.380000,5000.00000,1301.06665
  0.385000,5000.00000,1318.64832
  0.390000,5000.00000,1318.64832
  0.395000,5000.00000,1336.22290
  0.400000,5000.00000,1353.80432
  0.405000,5000.00000,1388.94568
  0.410000,5000.00000,1388.94568
  0.415000,5000.00000,1424.13232
  0.420000,5000.00000,1424.13232
  0.425000,5000.00000,1441.71387
  0.430000,5000.00000,1459.30188
  0.435000,5000.00000,1494.45972
  0.440000,5000.00000,1494.45972
  0.445000,5000.00000,1512.03796
  0.450000,5000.00000,1529.62012
  0.455000,5000.00000,1547.20776
  0.460000,5000.00000,1582.36694
  0.465000,5000.00000,1582.36694
  0.470000,5000.00000,1617.54382
  0.475000,5000.00000,1617.54382
  0.480000,5000.00000,1652.70703
  0.485000,5000.00000,1652.70703
  0.490000,5000.00000,1670.28772
  0.495000,5000.00000,1687.86194
  0.500000,5000.00000,1722.91663
  0.505000,5000.00000,1722.91663
  0.510000,5000.00000,1740.58057
  0.515000,5000.00000,1758.17993
  0.520000,5000.00000,1775.76782
  0.525000,5000.00000,1793.34998
  0.530000,5000.00000,1828.51550
  0.535000,5000.00000,1828.51550
  0.540000,5000.00000,1846.09656
  0.545000,5000.00000,1863.67346
  0.550000,5000.00000,1881.25586
  0.555000,5000.00000,1898.74060
  0.560000,5000.00000,1916.40356
  0.565000,5000.00000,1934.00244
  0.570000,5000.00000,1969.17700
  0.575000,5000.00000,1969.17700
  0.580000,5000.00000,1986.74988
  0.585000,5000.00000,2004.33179
  0.590000,5000.00000,2021.91443
  0.595000,5000.00000,2057.08765
  0.600000,5000.00000,2057.08765
  0.605000,5000.00000,2074.62769
  0.610000,5000.00000,2109.82568
  0.615000,5000.00000,2109.82568
  0.620000,5000.00000,2127.36206
  0.625000,5000.00000,2144.98389
  0.630000,5000.00000,2162.57178
  0.635000,5000.00000,2180.15381
  0.640000,5000.00000,2197.73584
  0.645000,5000.00000,2232.89453
  0.650000,5000.00000,2232.89453
  0.655000,5000.00000,2268.09204
  0.660000,5000.00000,2268.09204
  0.665000,5000.00000,2303.24048
  0.670000,5000.00000,2303.24048
  0.675000,5000.00000,2320.82007
  0.680000,5000.00000,2338.39478
  0.685000,5000.00000,2355.96582
  0.690000,5000.00000,2373.54785
  0.695000,5000.00000,2408.71436
  0.700000,5000.00000,2408.71436
  0.705000,5000.00000,2426.24097
  0.710000,5000.00000,2443.83350
  0.715000,5000.00000,2461.44165
  0.720000,5000.00000,2496.58936
  0.725000,5000.00000,2496.58936
  0.730000,5000.00000,2514.19946
  0.735000,5000.00000,2531.78735
  0.740000,5000.00000,2549.36938
  0.745000,5000.00000,2584.57153
  0.750000,5000.00000,2602.08813
  0.755000,5000.00000,2619.67163
  0.760000,5000.00000,2619.67163
  0.765000,5000.00000,2654.83813
  0.770000,5000.00000,2654.83813
  0.775000,5000.00000,2672.42139
  0.780000,5000.00000,2690.00757
  0.785000,5000.00000,2707.59448
  0.790000,5000.00000,2725.18042
  0.795000,5000.00000,2742.75781
  0.800000,5000.00000,2760.34131
  0.805000,5000.00000,2777.93066
  0.810000,5000.00000,2813.08813
  0.815000,5000.00000,2830.66968
  0.820000,5000.00000,2830.66968
  0.825000,5000.00000,2848.25098
  0.830000,5000.00000,2865.82959
  0.835000,5000.00000,2883.41357
  0.840000,5000.00000,2900.99805
  0.845000,5000.00000,2918.58325
  0.850000,5000.00000,2936.09521
  0.855000,5000.00000,2953.70605
  0.860000,5000.00000,2971.31787
  0.865000,5000.00000,2988.90698
  0.870000,5000.00000,3006.45581
  0.875000,5000.00000,3024.06885
  0.880000,5000.00000,3041.65820
  0.885000,5000.00000,3059.24097
  0.890000,5000.00000,3076.82349
  0.895000,5000.00000,3094.39893
  0.900000,5000.00000,3111.98193
  0.905000,5000.00000,3129.56519
  0.910000,5000.00000,3129.56519
  0.915000,5000.00000,3164.80664
  0.920000,5000.00000,3182.33838
  0.925000,5000.00000,3199.91260
  0.930000,5000.00000,3217.48804
  0.935000,5000.00000,3252.72559
  0.940000,5000.00000,3270.22290
  0.945000,5000.00000,3287.79590
  0.950000,5000.00000,3287.79590
  0.955000,5000.00000,3322.92944
  0.960000,5000.00000,3322.92944
  0.965000,5000.00000,3340.54761
  0.970000,5000.00000,3375.71704
  0.975000,5000.00000,3393.29932
  0.980000,5000.00000,3393.29932
  0.985000,5000.00000,3428.43213
  0.990000,5000.00000,3428.43213
  0.995000,5000.00000,3463.59839
  1.000000,5000.00000,3463.59839
  1.005000,5986.16016,3481.18359
  1.010000,5986.16016,3516.35010
  1.015000,5986.16016,3533.93652
  1.020000,5986.16016,3533.93652
  1.025000,5986.16016,3551.52148
  1.030000,5986.16016,3569.09546
  1.035000,5986.16016,3586.67944
  1.040000,5986.16016,3604.26855
  1.045000,5986.16016,3639.42529
  1.050000,5986.16016,3656.99854
  1.055000,5986.16016,3674.60083
  1.060000,5986.16016,3674.60083
  1.065000,5986.16016,3692.18750
  1.070000,5986.16016,3709.77075
  1.075000,5986.16016,3744.92285
  1.080000,5986.16016,3744.92285
  1.085000,5986.16016,3762.50562
  1.090000,5986.16016,3797.67163
  1.095000,5986.16016,3797.67163
  1.100000,5986.16016,3815.28589
  1.105000,5986.16016,3832.79907
  1.110000,5986.16016,3850.38501
  1.115000,5986.16016,3867.96948
  1.120000,5986.16016,3903.13672
  1.125000,5986.16016,3903.13672
  1.130000,5986.16016,3938.31177
  1.135000,5986.16016,3938.31177
  1.140000,5986.16016,3973.46875
  1.145000,5986.16016,3973.46875
  1.150000,5986.16016,3991.03760
  1.155000,5986.16016,4008.66284
  1.160000,5986.16016,4043.78760
  1.165000,5986.16016,4061.35669
  1.170000,5986.16016,4078.96777
  1.175000,5986.16016,4096.55762
  1.180000,5986.16016,4096.55762
  1.185000,5986.16016,4131.72412
  1.190000,5986.16016,4131.72412
  1.195000,5986.16016,4166.88281
  1.200000,5986.16016,4166.88281
  1.205000,5986.16016,4202.04932
  1.210000,5986.16016,4202.04932
  1.215000,5986.16016,4219.67773
  1.220000,5986.16016,4237.18701
  1.225000,5986.16016,4254.77100
  1.230000,5986.16016,4289.94482
  1.235000,5986.16016,4289.94482
  1.240000,5986.16016,4307.52734
  1.245000,5986.16016,4325.10840
  1.250000,5986.16016,4342.63379
  1.255000,5986.16016,4360.26855
  1.260000,5986.16016,4395.41162
  1.265000,5986.16016,4395.41162
  1.270000,5986.16016,4412.97754
  1.275000,5986.16016,4430.59229
  1.280000,5986.16016,4448.18066
  1.285000,5986.16016,4465.76953
  1.290000,5986.16016,4483.35107
  1.295000,5986.16016,4500.92188
  1.300000,5986.16016,4536.09473
  1.305000,5986.16016,4536.09473
  1.310000,5986.16016,4553.65479
  1.315000,5986.16016,4588.85107
  1.320000,5986.16016,4606.42822
  1.325000,5986.16016,4606.42822
  1.330000,5986.16016,4624.00928
  1.335000,5986.16016,4659.15820
  1.340000,5986.16016,4659.15820
  1.345000,5986.16016,4676.74268
  1.350000,5986.16016,4694.32812
  1.355000,5986.16016,4711.91309
  1.360000,5986.16016,4729.50049
  1.365000,5986.16016,4747.12500
  1.370000,5986.16016,4764.69824
  1.375000,5986.16016,4782.25146
  1.380000,5986.16016,4799.83496
  1.385000,5986.16016,4817.41113
  1.390000,5986.16016,4834.99365
  1.395000,5986.16016,4870.20068
  1.400000,5986.16016,4887.71436
  1.410000,5986.16016,4905.28711
  1.410000,5986.16016,4905.28711
  1.415000,5986.16016,4905.28711
  1.420000,5986.16016,4940.45410
  1.425000,5986.16016,4975.57959
  1.430000,5986.16016,4993.06738
  1.435000,5986.16016,5010.72510
  1.440000,5986.16016,5028.37891
  1.445000,5986.16016,5045.97070
  1.450000,5986.16016,5063.55469
  1.455000,5986.16016,5063.55469
  1.460000,5986.16016,5098.72168
  1.465000,5986.16016,5116.36963
  1.470000,5986.16016,5133.85596
  1.475000,5986.16016,5151.42627
  1.480000,5986.16016,5169.01025
  1.485000,5986.16016,5186.60010
  1.490000,5986.16016,5204.29736
  1.495000,5986.16016,5221.79980
  1.500000,5986.16016,5221.79980
  1.505000,5986.16016,5256.86328
  1.510000,5986.16016,5274.49121
  1.515000,5986.16016,5274.49121
  1.520000,5986.16016,5309.64746
  1.525000,5986.16016,5327.26221
  1.530000,5986.16016,5344.85205
  1.535000,5986.16016,5362.44092
  1.540000,5986.16016,5362.44092
  1.545000,5986.16016,5380.01953
  1.550000,5986.16016,5397.62598
  1.555000,5986.16016,5415.16602
  1.560000,5986.16016,5432.74072
  1.565000,5986.16016,5450.32324
  1.570000,5986.16016,5485.50195
  1.575000,5986.16016,5485.50195
  1.580000,5986.16016,5520.66748
  1.585000,5986.16016,5520.66748
  1.590000,5986.16016,5538.26123
  1.595000,5986.16016,5555.83545
  1.600000,5986.16016,5590.99316
  1.605000,5986.16016,5590.99316
  1.610000,5986.16016,5608.58643
  1.615000,5986.16016,5608.58643
  1.620000,5986.16016,5643.73828
  1.625000,5986.16016,5661.34424
  1.630000,5986.16016,5696.50049
