time[s],setpoint[RPM],velocity[RPM]
  0.000000,0.00000,0.00000
  0.000000,5000.00000,-0.49839
  0.005000,5000.00000,-0.49839
  0.010000,5000.00000,-0.63900
  0.015000,5000.00000,1.76538
  0.020000,5000.00000,1.76538
  0.025000,5000.00000,5.06818
  0.030000,5000.00000,9.35451
  0.035000,5000.00000,14.35656
  0.040000,5000.00000,19.69796
  0.045000,5000.00000,25.46764
  0.050000,5000.00000,31.39881
  0.055000,5000.00000,37.47450
  0.060000,5000.00000,43.64679
  0.065000,5000.00000,49.87643
  0.070000,5000.00000,56.15710
  0.075000,5000.00000,62.47898
  0.080000,5000.00000,68.81771
  0.085000,5000.00000,75.19299
  0.090000,5000.00000,81.59177
  0.095000,5000.00000,88.01250
  0.100000,5000.00000,94.45381
  0.105000,5000.00000,100.90961
  0.110000,5000.00000,107.38899
  0.115000,5000.00000,113.88567
  0.120000,5000.00000,120.28557
  0.125000,5000.00000,126.88546
  0.130000,5000.00000,133.44768
  0.135000,5000.00000,140.04086
  0.140000,5000.00000,146.65324
  0.145000,5000.00000,153.27296
  0.150000,5000.00000,159.91260
  0.155000,5000.00000,166.57291
  0.160000,5000.00000,173.23737
  0.165000,5000.00000,179.93243
  0.170000,5000.00000,186.64655
  0.175000,5000.00000,193.39600
  0.180000,5000.00000,200.15521
  0.185000,5000.00000,206.93628
  0.190000,5000.00000,213.73375
  0.195000,5000.00000,220.54698
  0.200000,5000.00000,227.38159
  0.205000,5000.00000,234.24170
  0.210000,5000.00000,241.10965
  0.215000,5000.00000,248.00998
  0.220000,5000.00000,254.93198
  0.225000,5000.00000,261.87436
  0.230000,5000.00000,268.84277
  0.235000,5000.00000,275.85983
  0.240000,5000.00000,282.94101
  0.245000,5000.00000,289.89926
  0.250000,5000.00000,296.94717
  0.255000,5000.00000,303.99893
  0.260000,5000.00000,311.07877
  0.265000,5000.00000,318.20059
  0.270000,5000.00000,318.20059
  0.275000,5000.00000,332.47815
  0.280000,5000.00000,339.65942
  0.285000,5000.00000,346.88675
  0.290000,5000.00000,354.12775
  0.295000,5000.00000,361.37311
  0.300000,5000.00000,368.68027
  0.305000,5000.00000,375.99411
  0.310000,5000.00000,383.33868
  0.315000,5000.00000,390.70279
  0.320000,5000.00000,398.08542
  0.325000,5000.00000,405.49271
  0.330000,5000.00000,412.84729
  0.335000,5000.00000,420.27927
  0.340000,5000.00000,427.91824
  0.345000,5000.00000,435.38794
  0.350000,5000.00000,442.94217
  0.355000,5000.00000,450.49734
  0.360000,5000.00000,458.06845
  0.365000,5000.00000,465.69858
  0.370000,5000.00000,473.30106
  0.375000,5000.00000,480.96637
  0.380000,5000.00000,488.62057
  0.385000,5000.00000,496.33264
  0.390000,5000.00000,504.06937
  0.395000,5000.00000,511.81339
  0.400000,5000.00000,519.62317
  0.405000,5000.00000,527.44745
  0.410000,5000.00000,535.30811
  0.415000,5000.00000,543.19421
  0.420000,5000.00000,551.10376
  0.425000,5000.00000,559.04315
  0.430000,5000.00000,566.93463
  0.435000,5000.00000,574.90973
  0.440000,5000.00000,583.09106
  0.445000,5000.00000,591.11298
  0.450000,5000.00000,599.22424
  0.455000,5000.00000,607.34229
  0.460000,5000.00000,615.48047
  0.465000,5000.00000,623.68311
  0.470000,5000.00000,631.86218
  0.475000,5000.00000,640.10577
  0.480000,5000.00000,648.34955
  0.485000,5000.00000,656.65637
  0.490000,5000.00000,664.99420
  0.495000,5000.00000,673.34613
  0.500000,5000.00000,681.77075
  0.505000,5000.00000,690.21619
  0.510000,5000.00000,698.70496
  0.515000,5000.00000,707.22595
  0.520000,5000.00000,715.83148
  0.525000,5000.00000,724.36395
  0.530000,5000.00000,732.98358
  0.535000,5000.00000,741.63550
  0.540000,5000.00000,750.32159
  0.545000,5000.00000,759.05652
  0.550000,5000.00000,767.82617
  0.555000,5000.00000,776.64221
  0.560000,5000.00000,785.49530
  0.565000,5000.00000,794.38403
  0.570000,5000.00000,803.31409
  0.575000,5000.00000,812.29260
  0.580000,5000.00000,821.29358
  0.585000,5000.00000,830.34784
  0.590000,5000.00000,839.44366
  0.595000,5000.00000,848.57874
  0.600000,5000.00000,857.76019
  0.605000,5000.00000,866.98584
  0.610000,5000.00000,876.25720
  0.615000,5000.00000,885.57147
  0.620000,5000.00000,894.92731
  0.625000,5000.00000,904.33392
  0.630000,5000.00000,913.78564
  0.635000,5000.00000,923.29095
  0.640000,5000.00000,932.83411
  0.645000,5000.00000,942.40643
  0.650000,5000.00000,952.08826
  0.655000,5000.00000,961.79535
  0.660000,5000.00000,971.50702
  0.665000,5000.00000,981.35797
  0.670000,5000.00000,991.22638
  0.675000,5000.00000,1001.16199
  0.680000,5000.00000,1011.15540
  0.685000,5000.00000,1021.19849
  0.690000,5000.00000,1031.30579
  0.695000,5000.00000,1041.40210
  0.700000,5000.00000,1051.70020
  0.705000,5000.00000,1061.99756
  0.710000,5000.00000,1072.38074
  0.715000,5000.00000,1082.82959
  0.720000,5000.00000,1093.34338
  0.725000,5000.00000,1103.94019
  0.730000,5000.00000,1114.59619
  0.735000,5000.00000,1125.34631
  0.740000,5000.00000,1136.18689
  0.745000,5000.00000,1147.12354
  0.750000,5000.00000,1158.14709
  0.755000,5000.00000,1169.26953
  0.760000,5000.00000,1180.49048
  0.765000,5000.00000,1191.81458
  0.770000,5000.00000,1203.25049
  0.775000,5000.00000,1214.70459
  0.780000,5000.00000,1226.41431
  0.785000,5000.00000,1238.20593
  0.790000,5000.00000,1250.14124
  0.795000,5000.00000,1262.21704
  0.800000,5000.00000,1274.42285
  0.805000,5000.00000,1286.76501
  0.810000,5000.00000,1299.23938
  0.815000,5000.00000,1311.84705
  0.820000,5000.00000,1324.58618
  0.825000,5000.00000,1337.45837
  0.830000,5000.00000,1350.44666
  0.835000,5000.00000,1363.56543
  0.840000,5000.00000,1376.80176
  0.845000,5000.00000,1390.14966
  0.850000,5000.00000,1403.61328
  0.855000,5000.00000,1417.18103
  0.860000,5000.00000,1430.86499
  0.865000,5000.00000,1444.64746
  0.870000,5000.00000,1458.53308
  0.875000,5000.00000,1472.51379
  0.880000,5000.00000,1486.58557
  0.885000,5000.00000,1500.75354
  0.890000,5000.00000,1514.93604
  0.895000,5000.00000,1529.37048
  0.900000,5000.00000,1543.80420
  0.905000,5000.00000,1558.35242
  0.910000,5000.00000,1572.98413
  0.915000,5000.00000,1587.69495
  0.920000,5000.00000,1602.50232
  0.925000,5000.00000,1617.37720
  0.930000,5000.00000,1632.35364
  0.935000,5000.00000,1647.42078
  0.940000,5000.00000,1662.58472
  0.945000,5000.00000,1677.83240
  0.950000,5000.00000,1693.16858
  0.955000,5000.00000,1708.59180
  0.960000,5000.00000,1724.09912
  0.965000,5000.00000,1739.69873
  0.970000,5000.00000,1755.28723
  0.975000,5000.00000,1771.11560
  0.980000,5000.00000,1786.99048
  0.985000,5000.00000,1802.97400
  0.990000,5000.00000,1819.06128
  0.995000,5000.00000,1835.23962
  1.000000,5000.00000,1851.51758
  1.005000,5846.94189,1867.89587
  1.010000,5846.94189,1884.37524
  1.015000,5846.94189,1898.99158
  1.020000,5846.94189,1913.00171
  1.025000,5846.94189,1926.16418
  1.030000,5846.94189,1938.58984
  1.035000,5846.94189,1950.53357
  1.040000,5846.94189,1962.00342
  1.045000,5846.94189,1973.13721
  1.050000,5846.94189,1983.99878
  1.055000,5846.94189,1994.65186
  1.060000,5846.94189,2005.16418
  1.065000,5846.94189,2015.50391
  1.070000,5846.94189,2025.86755
  1.075000,5846.94189,2036.15637
  1.080000,5846.94189,2046.39514
  1.085000,5846.94189,2056.70825
  1.090000,5846.94189,2067.00562
  1.095000,5846.94189,2077.34058
  1.100000,5846.94189,2087.71631
  1.105000,5846.94189,2098.13330
  1.110000,5846.94189,2108.61255
  1.115000,5846.94189,2119.06445
  1.120000,5846.94189,2129.76660
  1.125000,5846.94189,2140.44409
  1.130000,5846.94189,2151.23242
  1.135000,5846.94189,2162.12012
  1.140000,5846.94189,2173.08008
  1.145000,5846.94189,2184.15259
  1.150000,5846.94189,2195.32764
  1.155000,5846.94189,2206.61353
  1.160000,5846.94189,2218.01636
  1.165000,5846.94189,2229.49146
  1.170000,5846.94189,2241.12842
  1.175000,5846.94189,2252.90601
  1.180000,5846.94189,2264.81079
  1.185000,5846.94189,2276.83252
  1.190000,5846.94189,2289.03271
  1.195000,5846.94189,2301.36694
  1.200000,5846.94189,2313.85645
  1.205000,5846.94189,2326.49927
  1.210000,5846.94189,2339.33618
  1.215000,5846.94189,2352.22681
  1.220000,5846.94189,2365.31226
  1.225000,5846.94189,2378.53467
  1.230000,5846.94189,2391.89722
  1.235000,5846.94189,2405.40820
  1.240000,5846.94189,2419.05420
  1.245000,5846.94189,2432.83887
  1.250000,5846.94189,2446.75439
  1.255000,5846.94189,2460.78833
  1.260000,5846.94189,2474.94946
  1.265000,5846.94189,2489.23682
  1.270000,5846.94189,2503.62695
  1.275000,5846.94189,2518.14624
  1.280000,5846.94189,2532.77588
  1.285000,5846.94189,2547.51636
  1.290000,5846.94189,2562.37915
  1.295000,5846.94189,2577.34546
