time[s],setpoint[RPM],velocity[RPM]
  0.001374,0.00000,624.00000
  0.006536,5004.93066,621.28571
  0.011689,5009.86182,618.57141
  0.016874,5014.79248,616.28571
  0.022071,5019.72314,616.85712
  0.027362,5024.65381,618.85712
  0.032634,5029.58496,623.85712
  0.037845,5034.51562,631.71429
  0.043017,5039.44629,640.85712
  0.048207,5044.37744,653.71429
  0.053414,5049.30811,666.42859
  0.058610,5054.23877,682.85712
  0.063852,5059.16943,699.14288
  0.069031,5064.10059,717.85712
  0.074256,5073.96191,737.14288
  0.079510,5078.89258,757.28571
  0.084797,5083.82373,779.00000
  0.090001,5088.75439,799.85712
  0.095252,5093.68506,821.71429
  0.100530,5098.61621,844.14288
  0.105969,5103.54688,867.28571
  0.111294,5108.47754,888.85712
  0.116738,5113.40820,912.28571
  0.122176,5118.33936,935.42859
  0.127473,5123.27002,956.57141
  0.132706,5128.20068,978.00000
  0.137936,5133.13184,999.71429
  0.143188,5138.06250,1021.14288
  0.148446,5142.99316,1042.00000
  0.153799,5147.92383,1062.28577
  0.159041,5152.85498,1082.28577
  0.164326,5162.71631,1103.00000
  0.169486,5167.64697,1122.71423
  0.174669,5172.57812,1142.71423
  0.179846,5177.50879,1161.71423
  0.184982,5182.43945,1179.85718
  0.190141,5187.37061,1198.57141
  0.195266,5192.30127,1217.42859
  0.200405,5197.23193,1236.28577
  0.205525,5202.16260,1254.85718
  0.210633,5207.09375,1273.28577
  0.215740,5212.02441,1291.42859
  0.220853,5216.95508,1309.42859
  0.225963,5221.88623,1327.57141
  0.231089,5226.81689,1345.42859
  0.236220,5231.74756,1363.57141
  0.241355,5236.67822,1382.14282
  0.246484,5241.60938,1399.85718
  0.251642,5246.54004,1418.28577
  0.256801,5251.47070,1436.42859
  0.261929,5256.40137,1454.57141
  0.267056,5261.33252,1473.00000
  0.272219,5266.26318,1491.42859
  0.277467,5271.19385,1509.71423
  0.282557,5276.12500,1528.00000
  0.287731,5281.05566,1546.57141
  0.292850,5285.98633,1564.85718
  0.298014,5290.91699,1583.28577
  0.303155,5295.84814,1602.00000
  0.308272,5300.77881,1619.85718
  0.313435,5305.70947,1638.14282
  0.318522,5310.64062,1656.00000
  0.323634,5315.57129,1674.28577
  0.328767,5320.50195,1692.85718
  0.333871,5325.43262,1711.14282
  0.339042,5335.29443,1729.71423
  0.344209,5340.22510,1748.28577
  0.349328,5345.15576,1766.14282
  0.354480,5350.08691,1784.28577
  0.359673,5355.01758,1803.14282
  0.364833,5359.94824,1821.71423
  0.369999,5364.87939,1839.85718
  0.375112,5369.81006,1858.00000
  0.380261,5374.74072,1877.00000
  0.385447,5379.67139,1895.42859
  0.390581,5384.60254,1913.42859
  0.395796,5389.53320,1932.00000
  0.401008,5394.46387,1950.85718
  0.406224,5399.39502,1969.14282
  0.411365,5404.32568,1987.71423
  0.416529,5409.25635,2006.28577
  0.421724,5414.18701,2024.57141
  0.426906,5419.11816,2043.14282
  0.432100,5424.04883,2061.57153
  0.437378,5428.97949,2080.00000
  0.442512,5433.91064,2098.71436
  0.447743,5438.84131,2117.00000
  0.452946,5443.77197,2136.14282
  0.458181,5448.70264,2154.28564
  0.463441,5453.63379,2173.00000
  0.468698,5458.56445,2191.71436
  0.473880,5463.49512,2209.85718
  0.479064,5473.35693,2228.71436
  0.484286,5478.28760,2246.85718
  0.489499,5483.21826,2265.57153
  0.494724,5488.14941,2284.00000
  0.499980,5493.08008,2302.57153
  0.505383,5498.01074,2322.14282
  0.510641,5502.94141,2340.28564
  0.515938,5507.87256,2359.42847
  0.521201,5512.80322,2378.00000
  0.526402,5517.73389,2396.42847
  0.531667,5522.66504,2415.28564
  0.536860,5527.59570,2433.71436
  0.542122,5532.52637,2452.14282
  0.547385,5537.45703,2470.85718
  0.552619,5542.38818,2489.28564
  0.557872,5547.31885,2508.00000
  0.563185,5552.24951,2526.85718
  0.568436,5557.18018,2545.28564
  0.573628,5562.11133,2563.71436
  0.578812,5567.04199,2582.28564
  0.584071,5576.90381,2600.85718
  0.589306,5581.83447,2619.14282
  0.594519,5586.76514,2637.71436
  0.599801,5591.69580,2656.42847
  0.605197,5596.62695,2675.85718
  0.610671,5601.55762,2695.00000
  0.615967,5606.48828,2713.57153
  0.621403,5611.41943,2732.71436
  0.626627,5616.35010,2751.28564
  0.631949,5621.28076,2770.14282
  0.637303,5626.21143,2789.14282
  0.642702,5631.14258,2808.28564
  0.647936,5636.07324,2826.42847
  0.653212,5641.00391,2845.00000
  0.658430,5645.93457,2863.42847
  0.663664,5650.86572,2882.00000
  0.668859,5655.79639,2900.42847
  0.674084,5660.72705,2918.85718
  0.679302,5670.58887,2937.28564
  0.684548,5675.51953,2955.71436
  0.689741,5680.45020,2974.14282
