time[s],setpoint[RPM],velocity[RPM]
  0.005000,0.00000,0.00000
  0.005000,5009.86182,-0.00243
  0.010000,5009.86182,-0.00243
  0.015000,5009.86182,-0.00243
  0.020000,5014.79248,0.00969
  0.025000,5019.72314,17.60245
  0.030000,5029.58496,35.18646
  0.035000,5029.58496,70.35063
  0.040000,5034.51562,70.35063
  0.045000,5039.44629,87.92486
  0.050000,5044.37744,105.50565
  0.055000,5054.23877,140.64119
  0.060000,5054.23877,140.64119
  0.065000,5059.16943,175.83179
  0.070000,5064.10059,175.83179
  0.075000,5069.03125,193.41319
  0.080000,5078.89258,228.57901
  0.085000,5078.89258,246.16438
  0.090000,5088.75439,246.16438
  0.095000,5088.75439,263.74210
  0.100000,5093.68506,298.90115
  0.105000,5098.61621,298.90115
  0.110000,5103.54688,334.07187
  0.115000,5108.47754,334.07187
  0.120000,5113.40820,351.64047
  0.125000,5118.33936,386.80518
  0.130000,5123.27002,404.40717
  0.135000,5128.20068,404.40717
  0.140000,5133.13184,439.57126
  0.145000,5138.06250,439.57126
  0.150000,5142.99316,474.72629
  0.155000,5147.92383,492.30710
  0.160000,5152.85498,492.30710
  0.165000,5162.71631,527.46021
  0.170000,5162.71631,527.46021
  0.175000,5167.64697,562.62817
  0.180000,5172.57812,562.62817
  0.185000,5177.50879,597.79346
  0.190000,5182.43945,597.79346
  0.195000,5192.30127,632.95978
  0.200000,5192.30127,650.53894
  0.205000,5197.23193,650.53894
  0.210000,5202.16260,685.80292
  0.215000,5207.09375,685.80292
  0.220000,5216.95508,720.85077
  0.225000,5216.95508,738.42224
  0.230000,5226.81689,738.42224
  0.235000,5226.81689,756.00659
  0.240000,5231.74756,773.59717
  0.245000,5236.67822,791.17438
  0.250000,5241.60938,808.76440
  0.255000,5251.47070,826.35449
  0.260000,5251.47070,861.54486
  0.265000,5256.40137,861.54486
  0.270000,5261.33252,896.68762
  0.275000,5266.26318,896.68762
  0.280000,5271.19385,931.85016
  0.285000,5276.12500,931.85016
  0.290000,5281.05566,967.00903
  0.295000,5285.98633,967.00903
  0.300000,5290.91699,1002.06104
  0.305000,5295.84814,1002.06104
  0.310000,5300.77881,1037.34326
  0.315000,5305.70947,1037.34326
  0.320000,5310.64062,1054.93213
  0.325000,5315.57129,1072.51453
  0.330000,5320.50195,1107.67078
  0.335000,5325.43262,1107.67078
  0.340000,5330.36377,1125.25769
  0.345000,5335.29443,1142.82336
  0.350000,5340.22510,1160.41077
  0.355000,5350.08691,1177.99146
  0.360000,5350.08691,1195.56982
  0.365000,5359.94824,1230.73035
  0.370000,5359.94824,1248.32458
  0.375000,5364.87939,1248.32458
  0.380000,5369.81006,1265.90991
  0.385000,5374.74072,1283.49329
  0.390000,5379.67139,1301.07483
  0.395000,5384.60254,1318.64941
  0.400000,5389.53320,1336.23083
  0.405000,5394.46387,1353.71460
  0.410000,5399.39502,1388.96875
  0.415000,5404.32568,1388.96875
  0.420000,5409.25635,1406.55688
  0.425000,5414.18701,1424.13855
  0.430000,5419.11816,1441.72681
  0.435000,5424.04883,1459.30469
  0.440000,5428.97949,1476.88513
  0.445000,5433.91064,1512.04578
  0.450000,5443.77197,1512.04578
  0.455000,5443.77197,1547.20557
  0.460000,5453.63379,1564.79346
  0.465000,5453.63379,1582.36267
  0.470000,5463.49512,1599.96985
  0.475000,5463.49512,1599.96985
  0.480000,5468.42578,1617.55518
  0.485000,5478.28760,1635.13513
  0.490000,5478.28760,1652.71582
  0.495000,5483.21826,1670.29041
  0.500000,5493.08008,1705.45776
  0.505000,5498.01074,1723.02576
  0.510000,5498.01074,1723.02576
  0.515000,5507.87256,1758.19287
  0.520000,5507.87256,1758.19287
  0.525000,5517.73389,1793.35999
  0.530000,5517.73389,1793.35999
  0.535000,5522.66504,1810.93884
  0.540000,5527.59570,1828.51978
  0.545000,5532.52637,1846.09875
  0.550000,5537.45703,1881.26929
  0.555000,5542.38818,1881.26929
  0.560000,5547.31885,1916.42957
  0.565000,5552.24951,1916.42957
  0.570000,5557.18018,1934.00989
  0.575000,5562.11133,1951.58838
  0.580000,5567.04199,1969.17749
  0.585000,5571.97266,1986.75635
  0.590000,5576.90381,2021.91638
  0.595000,5586.76514,2039.49927
  0.600000,5586.76514,2039.49927
  0.605000,5591.69580,2074.66040
  0.610000,5596.62695,2074.66040
  0.615000,5601.55762,2092.24854
  0.620000,5606.48828,2109.77124
  0.625000,5611.41943,2127.40625
  0.630000,5616.35010,2144.99902
  0.635000,5621.28076,2180.16699
  0.640000,5626.21143,2180.16699
  0.645000,5631.14258,2197.74219
  0.650000,5636.07324,2215.32373
  0.655000,5641.00391,2232.82104
  0.660000,5645.93457,2250.47168
  0.665000,5650.86572,2268.06836
  0.670000,5655.79639,2285.65308
  0.675000,5660.72705,2320.81372
  0.680000,5665.65820,2320.81372
  0.685000,5670.58887,2355.97900
  0.690000,5675.51953,2355.97900
  0.695000,5680.45020,2373.56201
  0.700000,5685.38135,2408.71948
  0.705000,5690.31201,2408.71948
  0.710000,5695.24268,2426.30737
  0.715000,5700.17383,2443.87720
  0.720000,5705.10449,2461.46509
  0.725000,5710.03516,2479.04590
  0.730000,5714.96582,2514.21387
  0.735000,5719.89697,2514.21387
  0.740000,5724.82764,2549.37476
  0.745000,5734.68896,2566.89307
  0.750000,5734.68896,2584.47485
  0.755000,5744.55078,2602.10547
  0.760000,5744.55078,2619.69629
  0.765000,5749.48145,2619.69629
  0.770000,5754.41260,2637.24097
  0.775000,5764.27393,2672.45044
  0.780000,5764.27393,2672.45044
  0.785000,5774.13574,2707.61621
  0.790000,5779.06641,2707.61621
  0.795000,5779.06641,2725.19238
  0.800000,5788.92822,2742.77588
  0.805000,5788.92822,2760.35840
  0.810000,5793.85889,2777.92896
  0.815000,5798.78955,2795.59302
  0.820000,5803.72021,2813.09961
  0.825000,5808.65137,2830.67261
  0.830000,5818.51270,2848.25391
  0.835000,5818.51270,2865.83936
  0.840000,5828.37451,2901.00903
  0.845000,5828.37451,2901.00903
  0.850000,5833.30518,2936.14307
  0.855000,5838.23584,2936.14307
  0.860000,5843.16699,2971.32471
  0.865000,5848.09766,2971.32471
  0.870000,5853.02832,2988.88110
  0.875000,5857.95898,3024.07715
  0.880000,5862.89014,3024.07715
  0.885000,5867.82080,3059.24756
  0.890000,5872.75146,3076.82397
  0.895000,5877.68262,3076.82397
  0.900000,5882.61328,3094.40845
  0.905000,5887.54395,3111.95093
  0.910000,5892.47461,3129.61060
  0.915000,5902.33643,3164.74341
  0.920000,5907.26709,3164.74341
  0.925000,5907.26709,3182.32104
  0.930000,5912.19824,3199.88989
  0.935000,5917.12891,3235.06152
  0.940000,5922.05957,3235.06152
  0.945000,5926.99023,3270.22070
  0.950000,5931.92139,3270.22070
  0.955000,5936.85205,3287.80542
  0.960000,5941.78271,3322.97412
  0.965000,5946.71338,3322.97412
  0.970000,5951.64453,3340.54883
  0.975000,5956.57520,3358.13232
  0.980000,5961.50586,3393.30078
  0.985000,5966.43701,3393.30078
  0.990000,5971.36768,3410.87476
  0.995000,5976.29834,3428.45361
  1.000000,5986.16016,3463.61987
  1.005000,5986.16016,3463.61987
  1.010000,5984.98389,3498.78882
  1.015000,5983.80811,3498.78882
  1.020000,5981.45654,3516.37256
  1.025000,5981.45654,3533.94971
  1.030000,5980.28027,3551.53418
  1.035000,5979.10449,3569.11865
  1.040000,5976.75293,3604.27515
  1.045000,5976.75293,3604.27515
  1.050000,5975.57666,3621.85742
  1.055000,5974.40088,3639.44507
  1.060000,5973.22510,3657.02026
  1.065000,5972.04932,3692.18921
  1.070000,5970.87305,3692.18921
  1.075000,5968.52148,3709.77319
  1.080000,5968.52148,3744.93408
  1.085000,5967.34521,3744.93408
  1.090000,5966.16943,3762.51880
  1.095000,5964.99365,3780.10205
  1.100000,5963.81787,3797.66504
  1.105000,5961.46582,3815.18896
  1.110000,5961.46582,3832.83667
  1.115000,5960.29004,3867.96655
  1.120000,5957.93799,3885.59521
  1.125000,5957.93799,3885.59521
  1.130000,5956.76221,3920.76514
  1.135000,5955.58643,3938.34570
  1.140000,5954.41064,3938.34570
  1.145000,5953.23438,3973.50000
  1.150000,5952.05859,3973.50000
  1.155000,5950.88281,4008.66431
  1.160000,5949.70703,4008.66431
  1.165000,5948.53076,4026.23560
  1.170000,5947.35498,4043.80176
  1.175000,5946.17920,4078.95508
  1.180000,5945.00342,4078.95508
  1.185000,5943.82715,4114.14062
  1.190000,5942.65137,4114.14062
  1.195000,5941.47559,4131.71436
  1.200000,5940.29932,4149.29395
