time[s],setpoint[RPM],velocity[RPM]
  0.002598,0.00000,0.00000
  0.007790,5004.23486,-0.42857
  0.012963,5008.46924,-1.00000
  0.018094,5012.70410,-1.42857
  0.023219,5016.93896,-2.85714
  0.029020,5025.40820,-6.00000
  0.034143,5029.64307,-8.71429
  0.039255,5033.87744,-12.57143
  0.044425,5038.11230,-17.71428
  0.049545,5042.34717,-22.14286
  0.054667,5046.58203,-24.71428
  0.059795,5050.81641,-28.00000
  0.064952,5055.05127,-30.28572
  0.070094,5059.28613,-29.71428
  0.075257,5063.52051,-29.42857
  0.080400,5067.75537,-29.14286
  0.085522,5071.99023,-28.28572
  0.090667,5076.22461,-27.85714
  0.095806,5080.45947,-27.00000
  0.100948,5084.69434,-26.42857
  0.106070,5088.92871,-25.28572
  0.111208,5093.16357,-22.28572
  0.116367,5097.39844,-9.00000
  0.121524,5101.63281,-9.00000
  0.126693,5105.86768,-8.85714
  0.131822,5110.10254,-8.57143
  0.136987,5114.33740,-8.71429
  0.142136,5118.57178,-8.57143
  0.147296,5122.80664,-2.14286
  0.152444,5127.04150,-29.85714
  0.157629,5131.27588,0.85714
  0.162745,5135.51074,10.57143
  0.167889,5139.74561,9.00000
  0.173067,5143.97998,-4.00000
  0.178194,5148.21484,1.71429
  0.183299,5156.68408,10.42857
  0.188404,5160.91895,18.57143
  0.193514,5165.15381,22.14286
  0.198631,5169.38818,22.00000
  0.203766,5173.62305,27.71428
  0.208915,5177.85791,33.42857
  0.214029,5182.09229,37.00000
  0.219177,5186.32715,40.42857
  0.224316,5190.56201,48.14286
  0.229472,5194.79688,63.71429
  0.234620,5199.03125,86.85714
  0.239768,5203.26611,116.71429
  0.244887,5207.50098,164.14285
  0.250023,5211.73535,214.42857
  0.255151,5215.97021,263.14285
  0.260277,5220.20508,319.57144
  0.265405,5224.43945,377.28571
  0.270557,5228.67432,437.00000
  0.275713,5232.90918,498.42856
  0.280856,5237.14355,560.14288
  0.285970,5241.37842,619.42859
  0.291110,5245.61328,678.00000
  0.296266,5249.84766,734.85712
  0.301389,5254.08252,787.71429
  0.306556,5258.31738,839.71429
  0.311676,5262.55176,886.28571
  0.316839,5266.78662,931.00000
  0.321965,5271.02148,972.71429
  0.327093,5275.25635,1010.85712
  0.332207,5279.49072,1046.28577
  0.337363,5283.72559,1079.14282
  0.342515,5287.96045,1109.71423
  0.347672,5292.19482,1136.85718
  0.352819,5296.42969,1162.00000
  0.357973,5300.66455,1185.57141
  0.363128,5304.89893,1207.00000
  0.368280,5313.36865,1227.85718
  0.373397,5317.60303,1246.85718
  0.378511,5321.83789,1265.28577
  0.383658,5326.07275,1282.42859
  0.388815,5330.30713,1299.14282
  0.393937,5334.54199,1314.85718
  0.399072,5338.77686,1330.71423
  0.404215,5343.01172,1345.85718
  0.409357,5347.24609,1361.42859
  0.414483,5351.48096,1377.42859
  0.419609,5355.71582,1392.42859
  0.424810,5359.95020,1408.57141
  0.429978,5364.18506,1424.42859
  0.435126,5368.41992,1440.28577
  0.440264,5372.65430,1456.42859
  0.445429,5376.88916,1472.85718
  0.450586,5381.12402,1490.00000
  0.455713,5385.35840,1506.14282
  0.460867,5389.59326,1523.28577
  0.465993,5393.82812,1540.42859
  0.471131,5398.06250,1558.00000
  0.476266,5398.06250,1575.71423
  0.481413,5406.53223,1593.57141
  0.486553,5410.76660,1611.85718
  0.491732,5415.00146,1630.71423
  0.496892,5419.23633,1648.85718
  0.502034,5423.47119,1667.00000
  0.507180,5427.70557,1685.71423
  0.512320,5431.94043,1704.00000
  0.517456,5436.17529,1722.71423
  0.522591,5440.40967,1741.57141
  0.527734,5444.64453,1760.28577
  0.532874,5448.87939,1779.00000
  0.538002,5453.11377,1797.57141
  0.543136,5457.34863,1816.14282
  0.548262,5461.58350,1835.42859
  0.553383,5470.05273,1853.85718
  0.559167,5474.28760,1874.71423
  0.564305,5478.52197,1893.28577
  0.569433,5482.75684,1912.42859
  0.574583,5486.99170,1930.57141
  0.579737,5491.22607,1949.57141
  0.584854,5495.46094,1968.14282
  0.589970,5499.69580,1986.85718
  0.595108,5503.93066,2005.14282
  0.600264,5508.16504,2023.85718
  0.605415,5512.39990,2042.14282
  0.610677,5516.63477,2061.14282
  0.615849,5520.86914,2079.85718
  0.621000,5525.10400,2097.85718
  0.626127,5529.33887,2117.00000
  0.631251,5533.57324,2134.85718
  0.636403,5537.80811,2153.42847
  0.641575,5542.04297,2172.00000
  0.646720,5546.27734,2190.42847
  0.651882,5550.51221,2209.00000
  0.657024,5554.74707,2227.14282
  0.662159,5558.98145,2245.71436
  0.667320,5563.21631,2264.00000
  0.672466,5567.45117,2282.57153
  0.677594,5571.68604,2300.71436
  0.682752,5575.92041,2319.57153
  0.687875,5580.15527,2337.57153
  0.693008,5584.39014,2355.71436
  0.698148,5588.62451,2374.28564
