time[s],setpoint[RPM],velocity[RPM]
  0.005000,0.00000,0.00000
  0.005000,5509.84619,-0.02151
  0.010000,5509.84619,-0.02151
  0.015000,5514.73389,-0.02151
  0.020000,5519.56592,17.57211
  0.025000,5524.30811,17.57211
  0.030000,5533.34180,35.16302
  0.035000,5537.52441,52.75257
  0.040000,5537.52441,70.34314
  0.045000,5541.39648,87.92710
  0.050000,5544.88379,105.50922
  0.055000,5547.90381,140.66583
  0.060000,5550.36621,140.66583
  0.065000,5552.17383,158.24713
  0.070000,5553.22314,175.74026
  0.075000,5553.40430,193.38191
  0.080000,5552.60303,210.98343
  0.085000,5550.69971,228.57257
  0.090000,5543.09668,246.15402
  0.095000,5543.09668,263.74039
  0.100000,5537.14697,281.31995
  0.105000,5529.60107,298.90533
  0.110000,5520.33740,334.06204
  0.115000,5509.24170,334.06204
  0.120000,5496.20654,369.22510
  0.125000,5481.13525,369.22510
  0.130000,5463.94531,386.81305
  0.135000,5444.56982,404.38162
  0.140000,5422.96338,421.96970
  0.145000,5399.10254,439.54550
  0.150000,5372.99268,457.14853
  0.155000,5314.20508,492.31268
  0.160000,5314.20508,492.31268
  0.165000,5281.70801,509.89331
  0.170000,5211.26904,527.46796
  0.175000,5211.26904,545.04907
  0.180000,5173.77051,562.63580
  0.185000,5095.69434,580.20258
  0.190000,5095.69434,597.79004
  0.195000,5016.09424,632.94940
  0.200000,5016.09424,632.94940
  0.205000,4938.78906,668.11646
  0.210000,4938.78906,668.11646
  0.215000,4902.39893,685.70227
  0.220000,4868.34521,703.28107
  0.225000,4837.28711,720.86041
  0.230000,4809.90332,738.49365
  0.235000,4768.88965,756.01031
  0.240000,4768.88965,791.16589
  0.245000,4756.59424,791.16589
  0.250000,4750.60645,808.75073
  0.255000,4751.48486,826.34058
  0.260000,4759.70703,843.91827
  0.265000,4775.65186,861.50830
  0.270000,4799.57910,896.69904
  0.275000,4831.60596,896.69904
  0.280000,4871.68994,914.28125
  0.285000,4919.61084,931.86151
  0.290000,4974.95508,967.01636
  0.295000,5037.10498,967.01636
  0.300000,5105.23193,1002.07050
  0.305000,5178.29688,1002.07050
  0.310000,5255.05225,1019.73364
  0.315000,5334.05811,1037.33289
  0.320000,5413.70166,1054.92029
  0.325000,5492.22412,1072.50745
  0.330000,5567.76074,1090.08630
  0.335000,5638.38330,1107.66541
  0.340000,5702.15674,1125.31018
  0.345000,5757.19824,1160.38708
  0.350000,5801.74219,1177.96582
  0.355000,5853.28857,1195.55237
  0.360000,5853.28857,1195.55237
