time[s],setpoint[RPM],velocity[RPM]
  0.003112,0.00000,318.71429
  0.008265,5104.23438,317.42856
  0.013397,5108.46631,313.42856
  0.018525,5116.90723,308.57144
  0.023631,5121.10449,303.14285
  0.028784,5125.27490,296.85715
  0.033922,5129.40820,289.14285
  0.039040,5133.49316,280.42856
  0.044148,5137.51611,271.85715
  0.049283,5141.46240,261.71429
  0.054404,5145.31494,251.85715
  0.059537,5149.05566,241.57143
  0.064705,5152.66602,231.28572
  0.069856,5156.12451,224.42857
  0.074971,5159.40918,224.57143
  0.080115,5162.49756,230.57143
  0.085250,5165.36523,241.42857
  0.090360,5167.98828,258.28571
  0.095480,5170.34180,282.28571
  0.100612,5172.40039,313.00000
  0.105768,5174.13965,346.28571
  0.110881,5175.53564,383.85715
  0.116008,5176.56494,422.00000
  0.121127,5177.20654,460.71429
  0.126242,5177.44092,500.42856
  0.131388,5177.25146,540.00000
  0.136539,5176.62500,579.71429
  0.141682,5175.55225,616.85712
  0.146849,5174.02832,654.00000
  0.152017,5172.05518,690.85712
  0.157136,5169.63916,723.71429
  0.162253,5166.79443,755.42859
  0.167375,5163.54395,787.28571
  0.172527,5159.91650,816.42859
  0.177645,5155.95312,842.85712
  0.182785,5151.70166,869.57141
  0.187902,5147.22217,894.85712
  0.193019,5142.58350,918.28571
  0.198140,5137.86621,939.85712
  0.203252,5133.16064,961.57141
  0.208363,5124.19678,982.28571
  0.213468,5120.16748,1001.42859
  0.218610,5116.60498,1020.28571
  0.223717,5113.64209,1038.85718
  0.228853,5111.41406,1057.00000
  0.233965,5110.05762,1073.85718
  0.239073,5109.70850,1090.85718
  0.244194,5110.49756,1108.28577
  0.249319,5112.54883,1125.42859
  0.254448,5115.97314,1142.14282
  0.259596,5120.86572,1158.71423
  0.264720,5127.30371,1175.14282
  0.269846,5135.33740,1192.42859
  0.275008,5144.99121,1209.28577
  0.280137,5156.25684,1226.57141
  0.285254,5169.08936,1243.42859
  0.290372,5183.40674,1260.57141
  0.295495,5199.08545,1277.85718
  0.300630,5215.95947,1294.71423
  0.305774,5233.82080,1311.85718
  0.310895,5252.42041,1329.71423
  0.316012,5271.47021,1347.28577
  0.321126,5290.64746,1365.28577
  0.326266,5309.60059,1383.71423
  0.331381,5327.95654,1401.28577
  0.336498,5345.32959,1419.28577
  0.341614,5361.33301,1437.57141
  0.346733,5375.58936,1455.57141
  0.351845,5387.74707,1473.71423
  0.356995,5397.48926,1492.00000
  0.362124,5404.55322,1510.57141
  0.367214,5408.74121,1528.57141
  0.372366,5409.93506,1546.85718
  0.377489,5408.10693,1565.14282
  0.382663,5403.33008,1583.85718
  0.387818,5395.78467,1602.57141
  0.392967,5385.76123,1621.14282
  0.398087,5373.65820,1639.57141
  0.403225,5359.97754,1658.28577
  0.408342,5330.33350,1676.42859
  0.413453,5315.76221,1694.42859
  0.418568,5302.35059,1712.85718
  0.423690,5290.84717,1731.14282
  0.428816,5281.96484,1750.14282
  0.433947,5276.34570,1768.14282
  0.439109,5274.52588,1786.42859
  0.444227,5276.90137,1804.42859
  0.449400,5283.69775,1822.85718
  0.454517,5294.94629,1841.85718
  0.459664,5310.46631,1859.71423
  0.464817,5329.85938,1877.85718
  0.469979,5352.51123,1896.42859
  0.475095,5377.60938,1914.71423
  0.480314,5404.16992,1933.00000
  0.485485,5431.08057,1951.14282
  0.490629,5457.15137,1970.00000
  0.495748,5481.17627,1987.85718
  0.500912,5502.00244,2005.85718
  0.506032,5518.60205,2024.57141
  0.511147,5530.13916,2042.28577
  0.516294,5536.03906,2060.42847
  0.521448,5536.03711,2079.00000
  0.526565,5530.21973,2096.85718
  0.531693,5519.04248,2115.14282
  0.536856,5503.32324,2133.42847
  0.541973,5484.21436,2151.42847
  0.547239,5463.14648,2170.42847
  0.552399,5441.74854,2188.28564
  0.557523,5421.74707,2206.85718
  0.562643,5404.84961,2224.57153
  0.567798,5392.62207,2243.28564
  0.572917,5386.36328,2261.14282
  0.578068,5386.99170,2279.57153
  0.583208,5394.95361,2297.28564
  0.588318,5431.95312,2316.00000
  0.593418,5459.14111,2333.71436
  0.598535,5490.04443,2351.85718
  0.603653,5522.61523,2369.71436
  0.608771,5554.58203,2388.00000
  0.613929,5583.62939,2406.28564
  0.619078,5607.59619,2424.28564
  0.624202,5624.66943,2442.71436
  0.629337,5633.56787,2460.42847
  0.634478,5633.68604,2478.71436
  0.639607,5625.18652,2497.28564
  0.644734,5609.02881,2515.00000
  0.649864,5586.92285,2533.28564
  0.654996,5561.20654,2551.42847
  0.660128,5534.65479,2569.42847
  0.665278,5510.22803,2587.42847
  0.670415,5490.79053,2605.42847
  0.675540,5478.81348,2623.14282
  0.680729,5476.10107,2641.71436
  0.685881,5483.56934,2660.00000
  0.690991,5501.10254,2678.00000
  0.696122,5527.51367,2696.00000
  0.701251,5560.61621,2714.14282
  0.706363,5597.41553,2732.00000
  0.711474,5634.40186,2750.00000
  0.716635,5667.91943,2768.14282
  0.721772,5694.57910,2786.14282
  0.726891,5711.66504,2804.28564
  0.732037,5717.48486,2822.57153
  0.737199,5711.62256,2840.57153
  0.742348,5695.04980,2858.57153
  0.747522,5670.07324,2877.28564
  0.752676,5640.11328,2895.00000
  0.757790,5609.32520,2912.85718
  0.762911,5582.10742,2930.85718
  0.768037,5562.54590,2949.28564
  0.773194,5553.86670,2967.14282
  0.778316,5575.11865,2985.00000
  0.783441,5603.82324,3003.14282
  0.788563,5640.97217,3020.85718
  0.793685,5682.18945,3038.85718
  0.798825,5722.39209,3056.85718
  0.803954,5756.48145,3074.85718
  0.809083,5780.07861,3092.85718
  0.814254,5790.19043,3111.28564
  0.819385,5785.71289,3129.00000
  0.824510,5767.67383,3147.00000
  0.829646,5739.17334,3165.14282
  0.834783,5704.99316,3183.14282
  0.839912,5670.93359,3201.14282
  0.845039,5642.94678,3219.28564
  0.850187,5626.20459,3237.28564
  0.855320,5624.23682,3255.14282
  0.860492,5638.29541,3273.14282
  0.865634,5667.05615,3291.57153
  0.870768,5706.73193,3309.14282
  0.875899,5751.60840,3327.00000
  0.881230,5794.93115,3346.00000
  0.886411,5830.02100,3364.14282
  0.891526,5851.43115,3381.85718
  0.896684,5855.94629,3399.85718
  0.901824,5843.24170,3418.00000
  0.906979,5816.04932,3435.85718
  0.912128,5779.78564,3454.14282
  0.917284,5741.66602,3472.00000
  0.922401,5709.44189,3490.00000
  0.927533,5689.97803,3507.57153
  0.932670,5687.92285,3526.00000
  0.937807,5704.74316,3544.00000
  0.942941,5738.32178,3561.57153
  0.948111,5783.23633,3579.85718
  0.953287,5831.70117,3597.85718
  0.958406,5905.32178,3615.85718
  0.963547,5917.13330,3634.14282
  0.968675,5908.63623,3651.85718
  0.973796,5882.14697,3669.71436
  0.978914,5843.78857,3687.42847
  0.984037,5802.33301,3705.85718
