time[s],setpoint[RPM],velocity[RPM]
   0.00137,0.0,191.3
   0.00551,6021.6,190.7
   0.01057,6023.2,188.1
   0.01567,6024.8,184.9
   0.02068,6026.4,181.4
   0.02559,6027.9,177.0
   0.03064,6029.5,172.0
   0.03562,6031.1,167.4
   0.04061,6032.6,162.7
   0.04566,6034.2,156.7
   0.05064,6035.7,152.1
   0.05566,6037.2,147.1
   0.06061,6038.7,141.3
   0.06567,6040.2,135.0
   0.07067,6041.6,128.9
   0.07568,6043.0,123.9
   0.08067,6044.4,119.0
   0.08566,6045.7,114.0
   0.09068,6047.0,108.9
   0.09566,6048.2,102.4
   0.10066,6049.4,-25.4
   0.10566,6050.4,6.7
   0.11066,6051.5,21.1
   0.11567,6052.4,35.1
   0.12066,6053.3,52.4
   0.12566,6054.1,90.6
   0.13064,6054.8,124.3
   0.13565,6055.4,142.7
   0.14061,6055.9,164.7
   0.14563,6056.4,192.7
   0.15063,6056.7,220.6
   0.15560,6057.0,247.6
   0.16060,6057.2,276.3
   0.16560,6057.2,304.3
   0.17059,6057.3,332.9
   0.17558,6057.2,360.3
   0.18057,6057.1,388.0
   0.18557,6057.1,415.1
   0.19057,6056.8,441.4
   0.19557,6056.6,468.4
   0.20058,6056.4,492.7
   0.20560,6056.2,518.1
   0.21060,6056.1,542.0
   0.21560,6056.0,565.9
   0.22058,6056.0,588.1
   0.22564,6056.0,611.3
   0.23067,6056.5,632.6
   0.23564,6057.0,654.0
   0.24057,6057.6,674.6
   0.24563,6058.5,695.1
   0.25063,6059.7,715.9
   0.25561,6061.1,735.1
   0.26067,6062.8,755.3
   0.26567,6064.9,774.9
   0.27063,6067.2,793.9
   0.27559,6069.9,812.9
   0.28059,6072.9,831.4
   0.28563,6076.2,850.9
   0.29061,6079.8,869.7
   0.29559,6083.7,888.0
   0.30067,6087.8,907.3
   0.30558,6092.1,926.1
   0.31060,6096.6,944.6
   0.31563,6101.1,963.3
   0.32058,6105.7,982.3
   0.32557,6110.3,1000.7
   0.33060,6114.7,1019.7
   0.33568,6118.9,1039.3
   0.34057,6122.8,1057.7
   0.34560,6126.4,1076.4
   0.35060,6129.6,1095.6
   0.35561,6132.3,1114.6
   0.36063,6134.5,1134.1
   0.36567,6136.0,1153.0
   0.37064,6137.0,1171.9
   0.37563,6137.4,1191.0
   0.38067,6137.2,1210.6
   0.38564,6136.4,1229.4
   0.39065,6135.2,1248.7
   0.39561,6133.5,1267.9
   0.40064,6131.5,1287.0
   0.40567,6129.3,1306.0
   0.41066,6127.0,1325.6
   0.41566,6124.9,1344.4
   0.42066,6122.9,1363.4
   0.42564,6121.4,1382.7
   0.43064,6120.3,1401.9
   0.43567,6120.0,1421.0
   0.44066,6120.3,1440.1
   0.44567,6121.6,1459.1
   0.45066,6123.7,1478.3
   0.45561,6126.7,1497.1
   0.46067,6130.5,1516.4
   0.46567,6135.1,1535.6
   0.47067,6140.4,1554.4
   0.47567,6146.2,1573.6
   0.48067,6152.2,1592.6
   0.48567,6158.4,1611.7
   0.49067,6164.3,1630.7
   0.49568,6169.9,1649.7
   0.50067,6174.8,1668.7
   0.50567,6178.8,1687.6
   0.51068,6181.9,1706.4
   0.51560,6183.8,1725.1
   0.52065,6184.5,1744.1
   0.52565,6184.1,1763.3
   0.53058,6182.6,1782.0
   0.53567,6180.2,1801.1
   0.54068,6177.2,1820.0
   0.54568,6173.7,1839.3
   0.55068,6170.2,1857.9
   0.55566,6166.9,1876.7
   0.56068,6164.3,1895.6
   0.56566,6162.6,1914.7
   0.57066,6162.1,1933.1
   0.57566,6162.9,1952.0
   0.58067,6165.3,1970.7
   0.58567,6169.0,1989.4
   0.59068,6174.1,2008.4
   0.59568,6180.3,2027.0
   0.60067,6187.3,2046.1
   0.60567,6194.5,2064.9
   0.61068,6201.6,2083.4
   0.61567,6208.2,2102.1
   0.62065,6213.7,2121.0
   0.62567,6217.9,2139.6
   0.63060,6220.4,2158.3
   0.63567,6221.2,2177.0
   0.64060,6220.2,2195.4
   0.64568,6217.7,2214.6
   0.65067,6214.1,2233.0
   0.65567,6209.7,2251.9
   0.66067,6205.1,2270.3
   0.66567,6201.0,2289.6
   0.67068,6197.8,2307.7
   0.67567,6196.2,2326.4
   0.68068,6196.4,2345.1
   0.68567,6198.6,2363.7
   0.69067,6202.8,2382.1
   0.69568,6208.9,2400.9
   0.70067,6216.2,2419.3
   0.70567,6224.3,2438.3
   0.71068,6232.5,2456.6
   0.71560,6239.9,2474.9
   0.72060,6246.0,2493.4
   0.72587,6250.2,2513.0
   0.73065,6252.1,2531.0
   0.73560,6251.6,2548.9
   0.74071,6249.1,2567.9
   0.74562,6244.8,2586.4
   0.75062,6239.6,2604.4
   0.75559,6234.2,2622.9
   0.76063,6229.5,2641.6
   0.76562,6226.3,2659.9
   0.77058,6225.3,2678.3
   0.77563,6226.9,2696.9
   0.78060,6231.0,2715.3
   0.78556,6237.5,2733.6
   0.79063,6245.7,2752.4
   0.79562,6254.7,2770.6
   0.80056,6263.5,2789.1
   0.80558,6271.0,2807.1
   0.81063,6276.5,2825.9
   0.81563,6279.3,2844.4
   0.82059,6279.1,2863.1
   0.82561,6276.2,2881.1
   0.83058,6271.3,2899.4
   0.83560,6265.2,2918.0
   0.84057,6259.1,2936.1
   0.84565,6254.3,2954.9
   0.85061,6251.7,2973.4
   0.85561,6252.0,2991.4
   0.86057,6255.6,3009.6
   0.86557,6262.1,3028.0
   0.87059,6270.7,3046.4
   0.87557,6280.5,3064.6
   0.88062,6289.9,3083.0
   0.88560,6297.6,3101.1
   0.89059,6302.7,3119.6
   0.89563,6304.3,3137.9
   0.90062,6302.5,3156.0
   0.90558,6297.8,3174.3
   0.91062,6291.3,3192.7
   0.91562,6284.4,3210.9
   0.92063,6278.7,3229.1
   0.92561,6275.6,3247.3
   0.93062,6275.9,3265.6
   0.93558,6280.0,3283.7
   0.94058,6287.5,3302.0
   0.94563,6297.2,3320.6
   0.95060,6307.6,3338.3
   0.95560,6317.0,3356.7
   0.96065,6323.9,3375.0
   0.96558,6327.0,3392.9
   0.97060,6326.0,3411.7
   0.97560,6321.4,3429.4
   0.98060,6314.5,3447.7
   0.98563,6307.0,3465.9
   0.99060,6300.7,3484.3
   0.99562,6297.5,3502.3
   1.00063,6338.1,3520.7
   1.00560,6337.0,3538.4
   1.01062,6335.9,3556.4
   1.01561,6334.8,3574.6
   1.02062,6333.6,3593.0
   1.02560,6332.5,3610.9
   1.03059,6331.4,3628.9
   1.03559,6330.2,3647.0
   1.04060,6329.1,3665.4
   1.04563,6327.9,3683.3
   1.05061,6326.7,3701.1
   1.05560,6325.6,3719.3
   1.06061,6324.3,3737.6
   1.06561,6323.1,3755.3
   1.07062,6321.8,3773.7
   1.07561,6320.5,3791.7
   1.08063,6319.2,3809.7
   1.08560,6317.8,3827.6
   1.09060,6316.3,3845.4
   1.09564,6314.8,3863.9
   1.10063,6313.3,3881.9
   1.10560,6311.7,3899.4
   1.11061,6310.0,3917.7
   1.11563,6308.2,3936.3
   1.12061,6306.4,3953.6
   1.12561,6304.4,3971.6
   1.13064,6302.4,3989.7
   1.13559,6300.3,4007.4
   1.14060,6298.2,4025.3
   1.14563,6295.9,4043.6
   1.15067,6293.5,4061.4
   1.15565,6291.1,4079.4
   1.16060,6288.5,4097.1
   1.16564,6285.9,4115.4
   1.17062,6283.2,4133.6
   1.17571,6280.5,4151.4
   1.18068,6277.7,4169.1
   1.18564,6274.8,4187.0
   1.19060,6271.9,4205.0
   1.19561,6269.0,4222.6
   1.20063,6266.1,4240.7
   1.20561,6263.2,4258.7
   1.21058,6260.4,4276.4
   1.21563,6257.6,4294.7
   1.22062,6254.9,4312.7
   1.22562,6252.4,4330.3
   1.23060,6249.9,4348.0
   1.23560,6249.9,4365.9
   1.24059,6245.7,4383.7
   1.24568,6243.9,4402.1
   1.25058,6242.3,4419.9
   1.25561,6241.0,4437.9
   1.26060,6240.0,4455.3
   1.26563,6239.4,4473.4
   1.27061,6239.0,4491.4
   1.27560,6239.0,4509.0
   1.28067,6239.2,4527.0
   1.28559,6239.8,4544.6
   1.29060,6240.7,4562.4
   1.29564,6241.9,4580.6
   1.30060,6243.3,4598.0
   1.30561,6244.9,4616.0
   1.31060,6246.7,4633.7
   1.31561,6248.5,4651.6
   1.32062,6250.4,4669.6
   1.32562,6252.2,4687.3
   1.33064,6253.9,4705.1
   1.33560,6255.4,4722.6
   1.34060,6256.7,4740.4
   1.34559,6257.5,4758.1
   1.35060,6258.0,4776.0
   1.35559,6258.0,4793.7
   1.36060,6257.4,4811.4
   1.36564,6256.3,4829.7
   1.37063,6254.6,4847.3
   1.37565,6252.2,4865.0
   1.38060,6249.3,4882.7
   1.38559,6245.8,4900.6
   1.39061,6241.9,4918.1
   1.39560,6237.5,4935.6
   1.40060,6232.8,4953.6
   1.40559,6227.9,4971.0
   1.41058,6222.9,4988.6
   1.41561,6218.0,5006.6
   1.42063,6213.4,5024.4
   1.42560,6213.4,5041.7
   1.43061,6205.4,5059.6
   1.43560,6202.3,5077.1
   1.44060,6200.0,5094.9
   1.44609,6198.5,5114.6
   1.45058,6197.9,5130.3
   1.45558,6198.1,5148.0
   1.46059,6198.1,5165.7
   1.46558,6201.2,5183.3
   1.47059,6203.8,5200.9
   1.47558,6206.8,5218.4
   1.48062,6210.2,5236.3
   1.48560,6213.6,5254.0
   1.49060,6216.8,5271.6
   1.49559,6219.7,5289.1
   1.50059,6221.9,5306.7
   1.50558,6223.2,5324.4
   1.51067,6223.5,5342.6
   1.51563,6222.8,5359.7
   1.52060,6220.8,5377.3
   1.52568,6217.7,5395.3
   1.53067,6213.5,5412.7
   1.53558,6208.4,5430.3
   1.54059,6202.6,5447.7
   1.54561,6196.4,5465.3
   1.55061,6190.1,5482.9
   1.55560,6184.2,5500.7
   1.56059,6178.8,5518.1
   1.56568,6174.4,5535.9
   1.57059,6171.2,5553.1
   1.57564,6169.4,5571.3
   1.58064,6169.0,5588.6
   1.58567,6170.1,5606.1
   1.59064,6172.4,5623.9
   1.59561,6175.9,5640.9
   1.60061,6180.1,5658.4
   1.60567,6184.7,5676.3
   1.61067,6189.1,5693.9
   1.61567,6192.9,5711.4
   1.62067,6195.8,5728.7
   1.62568,6197.2,5746.3
   1.63060,6197.0,5763.6
   1.63567,6195.1,5781.3
   1.64067,6191.4,5798.9
   1.64566,6186.2,5816.3
   1.65064,6179.8,5834.0
   1.65558,6172.7,5851.0
   1.66059,6165.5,5868.6
   1.66559,6158.6,5886.1
   1.67059,6152.7,5903.6
   1.67564,6148.4,5921.4
   1.68060,6145.9,5938.6
   1.68560,6145.4,5955.1
   1.69059,6146.9,5970.7
   1.69563,6150.3,5984.0
