time[s],setpoint[RPM],velocity[RPM]
  0.002758,0.00000,441.28571
  0.007945,3931.72461,437.71429
  0.013080,3934.99878,433.28571
  0.018251,3937.83862,428.28571
  0.023423,3938.80566,421.14285
  0.028569,3939.42896,412.57144
  0.033692,3940.35132,406.00000
  0.038812,3926.17871,402.28571
  0.043934,3926.43335,400.42856
  0.049052,3926.66772,402.85715
  0.054195,3926.74829,410.85715
  0.059306,3928.68164,423.57144
  0.064445,3931.27466,438.71429
  0.069589,3935.00781,458.57144
  0.074735,3940.13745,480.00000
  0.079869,3946.58618,503.85715
  0.085011,3957.58667,528.85712
  0.090222,3967.73730,556.28571
  0.095358,3993.40991,582.85712
  0.100508,4010.53979,611.28571
  0.105635,4021.33252,638.57141
  0.110789,4038.13623,666.14288
  0.115893,4067.02905,693.71429
  0.121019,4082.81567,720.00000
  0.126163,4098.70459,747.14288
  0.131277,4114.47998,772.85712
  0.136390,4125.18164,797.00000
  0.141513,4141.38232,822.42859
  0.146645,4151.73877,846.14288
  0.151765,4159.61963,868.42859
  0.156923,4194.14355,891.57141
  0.162059,4199.94385,913.42859
  0.167228,4199.94629,933.71429
  0.172355,4197.12646,954.57141
  0.177479,4190.37256,975.14288
  0.182635,4181.34277,994.71429
  0.187750,4172.94531,1013.71429
  0.192921,4163.99561,1032.57141
  0.198077,4155.88721,1052.00000
  0.203244,4147.82080,1070.71423
  0.208636,4136.59570,1089.28577
  0.213910,4129.53711,1107.42859
  0.219298,4126.96240,1127.14282
  0.224653,4128.26172,1145.57141
  0.229836,4130.81494,1163.71423
  0.235041,4137.23242,1181.71423
  0.240245,4141.12744,1199.28577
  0.245543,4158.93555,1217.28577
  0.250735,4168.18799,1235.42859
  0.255949,4240.33789,1253.57141
  0.261218,4255.63184,1271.85718
  0.266395,4270.45312,1290.00000
  0.271562,4285.82666,1308.00000
  0.276752,4446.69971,1326.42859
  0.282024,4460.79004,1344.71423
  0.287270,4474.33008,1363.14282
  0.292469,4483.07324,1381.57141
  0.297698,4539.69092,1400.28577
  0.302878,4547.10742,1418.57141
  0.308086,4555.64209,1436.71423
  0.313303,4561.51758,1455.28577
  0.318529,4520.71680,1474.00000
  0.323724,4522.44287,1492.42859
  0.328900,4520.20654,1510.57141
  0.334096,4517.81250,1529.42859
  0.339310,4513.44189,1547.71423
  0.344591,4509.65381,1566.42859
  0.349839,4503.82227,1585.14282
  0.355095,4542.14355,1603.85718
  0.360285,4535.94873,1622.57141
  0.365498,4530.24512,1641.42859
  0.370757,4524.58105,1660.42859
  0.376036,4594.63281,1679.42859
  0.381260,4592.13428,1697.57141
  0.386439,4590.81494,1716.14282
  0.391602,4591.38330,1734.85718
  0.396813,4593.74609,1753.85718
  0.402015,4597.51709,1772.28577
  0.407185,4602.99316,1790.28577
  0.412434,4609.48486,1809.14282
  0.417643,4601.52148,1828.00000
  0.422872,4610.09277,1846.71423
  0.428086,4618.14160,1865.00000
  0.433343,4626.77441,1884.00000
  0.438615,4606.77734,1902.85718
  0.443898,4623.57275,1921.42859
  0.449179,4632.59277,1940.00000
  0.454396,4643.25146,1959.28577
  0.459634,4654.94385,1977.28577
  0.464863,4668.46484,1995.85718
  0.470193,4679.16064,2015.14282
  0.475510,4686.55225,2033.71423
  0.480760,4695.39551,2052.57153
  0.486029,4705.92139,2071.14282
  0.491285,4716.09668,2089.85718
  0.496637,4726.15234,2109.00000
  0.501889,4732.71826,2127.14282
  0.507105,4740.26807,2146.14282
  0.512371,4745.90723,2164.28564
  0.517533,4749.56738,2183.14282
  0.522755,4752.81787,2201.14282
  0.527985,4801.80469,2220.14282
  0.533252,4805.35449,2238.28564
  0.538499,4809.58057,2257.14282
  0.543826,4811.01465,2275.85718
  0.549037,4811.18750,2294.85718
  0.554351,4811.75928,2313.00000
  0.559638,4812.65186,2332.00000
  0.564894,4758.79199,2350.57153
  0.570215,4765.00244,2369.28564
  0.575626,4771.39648,2389.00000
  0.580867,4776.35938,2407.00000
  0.586170,4764.77734,2426.00000
  0.591515,4767.79297,2445.00000
  0.596837,4771.15039,2463.57153
  0.602238,4776.12598,2482.71436
  0.607495,4813.47314,2501.57153
  0.612810,4820.97949,2520.00000
  0.618121,4829.27002,2538.71436
  0.623405,4837.60400,2557.85718
  0.628667,4891.66699,2576.28564
  0.633904,4902.03076,2594.57153
  0.639148,4924.08984,2613.14282
  0.644398,4936.08203,2632.00000
  0.649589,4945.46436,2650.00000
  0.654824,4953.79785,2668.42847
  0.660058,4957.56104,2686.85718
  0.665304,4991.71387,2705.57153
  0.670645,4994.87549,2724.57153
  0.675928,4998.64746,2743.00000
  0.681163,5000.32422,2761.28564
  0.686475,5023.13477,2780.00000
  0.691717,5022.46289,2798.71436
  0.696934,5019.80908,2817.00000
  0.702178,5015.99951,2835.42847
  0.707555,5010.33398,2854.42847
  0.712852,5011.60986,2873.00000
  0.718148,5012.82178,2891.57153
  0.723421,5013.43115,2910.28564
  0.728685,5014.86914,2928.57153
  0.733879,5020.56982,2946.71436
  0.739090,5024.35010,2964.85718
  0.744392,5116.70264,2983.57153
  0.749693,5122.57129,3002.14282
  0.754932,5130.22656,3020.42847
  0.760262,5135.62207,3039.28564
  0.765602,5163.21045,3058.00000
  0.770908,5166.17822,3076.57153
  0.776209,5176.80615,3095.28564
  0.781477,5186.71484,3113.57153
  0.786721,5183.26465,3132.28564
  0.791985,5199.63086,3150.57153
  0.797261,5202.00977,3169.00000
  0.802566,5218.62158,3188.00000
  0.808288,5223.70361,3207.71436
  0.813554,5223.51953,3226.14282
  0.818845,5226.23975,3244.85718
  0.824341,5351.31494,3264.14282
  0.829546,5355.43408,3282.28564
  0.834839,5360.70850,3301.00000
  0.840098,5361.70459,3319.28564
  0.845385,5427.21826,3337.57153
  0.850611,5427.18164,3356.00000
  0.855845,5430.07178,3374.42847
  0.861111,5430.11182,3393.00000
  0.866289,5387.95850,3410.85718
  0.871511,5392.14453,3429.14282
  0.876775,5394.61865,3447.71436
  0.882017,5398.39355,3466.14282
  0.887391,5386.03760,3484.85718
  0.892773,5383.98145,3503.57153
  0.897987,5383.66797,3521.85718
  0.903269,5383.94922,3540.85718
  0.908608,5442.54590,3559.00000
  0.913826,5444.57080,3577.57153
  0.919088,5439.27246,3595.71436
  0.924407,5529.52393,3614.42847
  0.929692,5528.79199,3633.00000
  0.934892,5531.02148,3651.00000
  0.940189,5532.73242,3669.71436
  0.945476,5551.61963,3688.00000
  0.950675,5554.88379,3706.28564
  0.955904,5558.87646,3724.57153
  0.961184,5562.38867,3742.71436
  0.966357,5596.50000,3761.00000
  0.971578,5599.53467,3779.00000
  0.976907,5602.62695,3797.71436
  0.982186,5607.28711,3816.00000
  0.987523,5637.75049,3834.85718
  0.992839,5638.35303,3853.28564
  0.998062,5638.95850,3871.57153
  1.003425,5639.33838,3890.28564
  1.008825,5679.50586,3909.14282
  1.014086,5669.81934,3927.28564
  1.019564,5665.07129,3946.57153
  1.025066,5642.96729,3965.85718
  1.030303,5634.89160,3983.85718
  1.035564,5625.93213,4002.42847
  1.040888,5617.57080,4021.00000
  1.046269,5580.11279,4039.57153
  1.051493,5575.10938,4057.85718
  1.056784,5570.25586,4076.42847
  1.062061,5566.28174,4094.57153
  1.067259,5637.02832,4112.85693
  1.072548,5632.52588,4131.28564
  1.077960,5628.19531,4150.00000
  1.083191,5625.20068,4168.42871
  1.088429,5744.86035,4186.57129
  1.093667,5743.94434,4204.71436
  1.098913,5740.38574,4223.00000
  1.104185,5740.38574,4241.57129
  1.109447,5732.84814,4259.71436
  1.114673,5728.81299,4277.71436
  1.119982,5724.68555,4296.28564
  1.125249,5675.09473,4314.57129
  1.130534,5668.69873,4333.00000
  1.135817,5659.62891,4351.57129
  1.141079,5647.48730,4369.28564
  1.146321,5694.69678,4387.57129
  1.151478,5681.45020,4405.71436
  1.156735,5669.65381,4424.00000
  1.162036,5656.45020,4442.42871
  1.167252,5780.90479,4460.28564
  1.172545,5767.23389,4478.57129
  1.177803,5750.78271,4497.00000
  1.183077,5736.71143,4515.14307
  1.188326,5739.31641,4533.57129
  1.193651,5727.12061,4551.71436
  1.198958,5711.01270,4570.28564
  1.204264,5704.31689,4588.71436
  1.209677,5694.21289,4607.57129
  1.214931,5683.29932,4625.57129
  1.220235,5671.57324,4644.14307
  1.225510,5688.56006,4662.14307
  1.230799,5676.40967,4680.42871
  1.236082,5663.71777,4699.00000
  1.241439,5647.77588,4717.28564
  1.246722,5677.68555,4735.71436
  1.251936,5663.42969,4753.42871
  1.257347,5649.02441,4772.28564
  1.262653,5637.47656,4790.57129
  1.267830,5700.50293,4808.42871
  1.273140,5688.22168,4827.00000
  1.278519,5673.81982,4845.57129
  1.283812,5648.64014,4863.85693
  1.289118,5636.78760,4882.14307
  1.294390,5627.99023,4900.28564
  1.299574,5624.44385,4918.14307
  1.304798,5613.82324,4936.28564
  1.310242,5603.50146,4955.28564
  1.315584,5591.44580,4973.57129
  1.320933,5571.28955,4992.00000
  1.326236,5557.07568,5010.42871
  1.331486,5544.50000,5028.42871
  1.336838,5533.40381,5047.00000
  1.342141,5522.54102,5065.14307
  1.347450,5512.31592,5083.57129
  1.352729,5501.97852,5101.85693
  1.357984,5492.76807,5120.00000
  1.363286,5484.44287,5138.28564
  1.368596,5476.92725,5156.57129
  1.373925,5470.87354,5175.00000
  1.379218,5455.92285,5193.14307
  1.384417,5449.83252,5211.28564
  1.389681,5444.70361,5229.42871
  1.394908,5439.90430,5247.42871
  1.400134,5437.49658,5265.57129
  1.405353,5432.65820,5283.28564
  1.410635,5429.10547,5301.85693
  1.415967,5423.82764,5319.57129
  1.421200,5421.52344,5336.00000
  1.426475,5418.75293,5350.42871
  1.431652,5418.06885,5362.00000
  1.436939,5414.63916,5371.57129
  1.442191,5410.96338,5379.00000
  1.447431,5406.79053,5384.00000
  1.452617,5402.21777,5387.28564
  1.457794,5400.68164,5388.85693
  1.463050,5399.33350,5388.85693
  1.468272,5399.69141,5387.71436
  1.473514,5398.03564,5385.85693
  1.478753,5395.45801,5383.42871
  1.484000,5382.17871,5380.42871
  1.489222,5375.62354,5376.85693
  1.494436,5369.89648,5372.42871
  1.499629,5365.24121,5367.14307
  1.504883,5361.15674,5361.14307
  1.510107,5360.04297,5354.57129
  1.515717,5359.22900,5348.00000
  1.521012,5351.64014,5341.85693
  1.526270,5348.97607,5335.85693
  1.531573,5349.53076,5330.00000
  1.536972,5350.02490,5324.57129
  1.542232,5351.45703,5319.57129
  1.547552,5351.19971,5315.14307
  1.552775,5350.00439,5311.71436
  1.558030,5348.11963,5308.71436
  1.563310,5346.53320,5306.00000
  1.568876,5344.40723,5303.71436
  1.574079,5343.76758,5302.00000
  1.579263,5343.85938,5300.28564
  1.584478,5344.60938,5298.85693
  1.589673,5344.92578,5297.85693
  1.594907,5347.01855,5297.00000
  1.600130,5346.43018,5296.85693
  1.605366,5346.75537,5296.71436
  1.610573,5349.38916,5297.00000
  1.615762,5348.54102,5297.28564
  1.621045,5346.40967,5298.14307
  1.626249,5345.46143,5298.85693
  1.631421,5340.47852,5299.57129
  1.636674,5335.35205,5300.00000
  1.642062,5334.87451,5300.14307
  1.647518,5330.36230,5299.85693
  1.652745,5324.96338,5299.00000
  1.657951,5326.11523,5298.00000
  1.663216,5321.22070,5296.71436
  1.668434,5317.81934,5295.14307
  1.673646,5320.85840,5293.28564
  1.678929,5316.59082,5291.42871
  1.684204,5310.61670,5289.71436
  1.689431,5308.50049,5287.85693
  1.694617,5304.94434,5285.71436
  1.699787,5302.78076,5283.28564
  1.705057,5303.44434,5280.71436
  1.710339,5300.64941,5278.28564
  1.715573,5297.78955,5276.00000
  1.720846,5295.18311,5273.57129
  1.726096,5291.71729,5271.28564
  1.731548,5288.84961,5268.85693
  1.736926,5286.10205,5266.57129
  1.742212,5280.66113,5264.00000
  1.747452,5280.07715,5261.42871
  1.752681,5278.26172,5258.85693
  1.757907,5281.79004,5256.42871
  1.763102,5283.48535,5254.14307
  1.768317,5287.51074,5252.28564
  1.773756,5289.30908,5250.85693
  1.779025,5295.03223,5250.28564
  1.784255,5298.02051,5250.14307
  1.789496,5301.42969,5250.57129
  1.794711,5302.66455,5251.71436
  1.799915,5300.04688,5253.14307
  1.805131,5303.19238,5255.00000
  1.810370,5303.22461,5256.85693
  1.815597,5304.13477,5258.57129
  1.820804,5304.97266,5260.28564
  1.826051,5305.23242,5262.28564
  1.831279,5304.48096,5264.14307
  1.836545,5303.23291,5265.85693
  1.841998,5300.88916,5267.42871
  1.847269,5297.71436,5268.71436
  1.852576,5293.59668,5269.71436
  1.857904,5289.52930,5270.00000
  1.863102,5283.12939,5270.00000
  1.868293,5278.56445,5269.28564
  1.873513,5271.84033,5268.14307
  1.878766,5268.46826,5266.28564
  1.883993,5263.95996,5263.71436
  1.889201,5260.88086,5260.71436
  1.894422,5258.30566,5257.42871
  1.899590,5254.47314,5254.00000
  1.904869,5250.88428,5250.14307
  1.910104,5248.83252,5246.42871
  1.915304,5246.58398,5242.42871
  1.920611,5244.90869,5238.71436
  1.925851,5240.97266,5234.85693
  1.931210,5235.88574,5231.28564
  1.936522,5228.11035,5227.42871
  1.941736,5221.01123,5223.85693
  1.946953,5213.98291,5219.71436
  1.952158,5208.30273,5215.28564
  1.957348,5203.29590,5210.42871
  1.962536,5200.22412,5205.28564
  1.967684,5197.03711,5200.28564
  1.972871,5193.56348,5195.14307
  1.978032,5191.58252,5190.28564
  1.983228,5187.84521,5185.42871
  1.988424,5185.33740,5181.00000
  1.993643,5182.10889,5176.71436
  1.998870,5180.81592,5172.57129
  2.004042,5178.25586,5168.85693
  2.009236,5175.67822,5165.42871
  2.014496,5172.92725,5162.28564
  2.019712,5169.39746,5159.14307
  2.024915,5165.80029,5156.28564
  2.030159,5163.83496,5153.42871
  2.035485,5161.48633,5150.71436
  2.040758,5160.52783,5148.00000
  2.045994,5159.04004,5145.71436
  2.051256,5157.11572,5143.57129
  2.056497,5155.98193,5141.42871
  2.061778,5154.81055,5139.71436
  2.067055,5156.15625,5137.85693
  2.072329,5159.86475,5136.42871
  2.078056,5161.89209,5135.42871
  2.083295,5164.61768,5134.85693
  2.088546,5165.65234,5134.85693
  2.093818,5162.15186,5135.28564
  2.099044,5160.58838,5135.85693
  2.104271,5163.09717,5136.42871
  2.109557,5165.55908,5137.14307
  2.114769,5164.62500,5137.85693
  2.119949,5159.84326,5138.71436
  2.125147,5156.57617,5139.42871
  2.130338,5158.33447,5139.71436
  2.135502,5158.05127,5139.85693
  2.140732,5154.03809,5139.85693
  2.146110,5152.91211,5139.71436
  2.151299,5148.28369,5139.57129
  2.156522,5145.02002,5139.00000
  2.161712,5138.01221,5138.14307
  2.166947,5134.15283,5136.71436
  2.172171,5127.79199,5134.71436
  2.177478,5125.65479,5132.14307
  2.182911,5123.42920,5129.14307
  2.188192,5119.92383,5126.14307
  2.193444,5110.71680,5123.00000
  2.198679,5105.73828,5119.57129
  2.203891,5091.80859,5115.85693
  2.209155,5083.26123,5111.42871
  2.214415,5078.42627,5106.28564
  2.219594,5069.83057,5100.42871
  2.224967,5064.09180,5093.71436
  2.230261,5058.60498,5086.85693
  2.235682,5054.47754,5079.85693
  2.240975,5048.83057,5073.00000
  2.246342,5045.88037,5066.14307
  2.251621,5040.38281,5059.57129
  2.256984,5034.50537,5053.14307
  2.262358,5027.04639,5046.85693
  2.267594,5020.10498,5040.85693
  2.272841,5014.66455,5034.85693
  2.278124,5009.85840,5028.57129
  2.283405,5006.11279,5022.57129
  2.288674,5001.77197,5016.71436
  2.293917,4995.84668,5011.14307
  2.299190,4986.55908,5005.71436
  2.304436,4983.30029,5000.42871
  2.309704,4979.49609,4995.00000
  2.314938,4976.27539,4989.57129
  2.320153,4971.56689,4984.57129
  2.325352,4967.35986,4979.71436
  2.330589,4961.03125,4975.00000
  2.335811,4956.35889,4970.42871
  2.341063,4951.15479,4965.85693
  2.346302,4946.16895,4961.28564
  2.351473,4941.36914,4956.71436
  2.356703,4935.69873,4952.28564
  2.361944,4929.67822,4947.85693
  2.367183,4923.28369,4943.28564
  2.372457,4916.86523,4938.71436
  2.377630,4909.65527,4933.85693
  2.382810,4902.92090,4928.85693
  2.388024,4894.90039,4923.71436
  2.393221,4888.30811,4918.42871
  2.398414,4881.04053,4912.85693
  2.403795,4874.52930,4906.57129
  2.409072,4861.05811,4900.42871
  2.414279,4855.01123,4893.85693
  2.419466,4849.53418,4887.28564
  2.424668,4849.09375,4880.00000
  2.429853,4847.34326,4872.85693
  2.435057,4842.95166,4866.14307
  2.440232,4837.88232,4860.00000
  2.445432,4830.55664,4854.00000
  2.450617,4823.84326,4848.42871
  2.455831,4818.90234,4843.00000
  2.461050,4814.29443,4837.28564
  2.466294,4811.77197,4831.85693
  2.471601,4808.61768,4826.42871
  2.478012,4805.49414,4820.42871
