time[s],setpoint[RPM],velocity[RPM]
  0.005000,0.00000,0.00000
  0.005000,3931.02856,-0.02829
  0.010000,3931.02856,-0.02829
  0.015000,3933.60669,17.55036
  0.020000,3935.75049,35.13547
  0.025000,3936.02124,52.72599
  0.030000,3935.94849,70.30365
  0.035000,3935.94849,87.89361
  0.040000,3935.47852,105.48258
  0.045000,3935.47852,105.48258
  0.050000,3920.16870,140.65738
  0.055000,3919.70679,158.23929
  0.060000,3919.70679,175.82162
  0.065000,3920.32861,193.39626
  0.070000,3920.32861,210.97774
  0.075000,3925.26245,228.47070
  0.080000,3929.69604,246.11305
  0.085000,3935.44873,263.71454
  0.090000,3945.75293,281.30365
  0.095000,3945.75293,298.88504
  0.100000,3955.20776,316.47144
  0.105000,3980.18408,316.47144
  0.110000,3996.61792,351.63654
  0.115000,4022.82202,369.21420
  0.120000,4022.82202,386.79285
  0.125000,4066.10962,404.37335
  0.130000,4066.10962,404.37335
  0.135000,4096.38184,439.54376
  0.140000,4096.38184,439.54376
  0.145000,4106.38721,474.70096
  0.150000,4131.55225,492.27673
  0.155000,4131.55225,492.27673
  0.160000,4138.73682,527.46344
  0.165000,4177.66895,545.04364
  0.170000,4177.66895,545.04364
  0.175000,4173.45947,580.19922
  0.180000,4166.00977,597.78046
  0.185000,4166.00977,615.36719
  0.190000,4147.18994,632.93390
  0.195000,4147.18994,650.52148
  0.200000,4128.73975,668.10193
  0.205000,4128.73975,685.68054
  0.210000,4119.97705,703.26727
  0.215000,4108.05615,703.26727
  0.220000,4109.96289,738.43378
  0.225000,4096.33447,756.01233
  0.230000,4096.33447,756.01233
  0.235000,4096.93750,791.22272
  0.240000,4104.51611,808.73627
  0.245000,4104.51611,808.73627
  0.250000,4107.71533,843.90076
  0.255000,4133.38379,861.48352
  0.260000,4133.38379,861.48352
  0.265000,4204.83740,896.65637
  0.270000,4233.56006,914.23828
  0.275000,4233.56006,931.79816
  0.280000,4408.41455,949.37903
  0.285000,4408.41455,949.37903
  0.290000,4421.80908,984.56616
  0.295000,4442.69971,1002.12408
  0.300000,4442.69971,1002.12408
  0.305000,4498.62158,1037.32263
  0.310000,4513.18066,1054.90662
  0.315000,4513.18066,1072.48914
  0.320000,4518.35986,1090.06555
  0.325000,4476.86328,1090.06555
  0.330000,4477.89355,1125.15735
  0.335000,4474.26465,1142.83508
  0.340000,4474.26465,1160.40613
  0.345000,4471.17480,1177.99146
  0.350000,4466.10791,1195.56299
  0.355000,4461.62354,1213.14490
  0.360000,4455.09570,1230.73181
  0.365000,4492.72119,1230.73181
  0.370000,4485.83008,1265.88171
  0.375000,4473.07031,1283.46716
  0.380000,4473.07031,1283.46716
  0.385000,4542.42578,1301.05872
  0.390000,4539.23145,1336.22278
  0.395000,4537.21582,1336.22278
  0.400000,4537.08838,1371.37903
  0.405000,4538.75537,1388.96106
  0.410000,4541.83008,1406.43799
  0.415000,4552.40527,1424.10132
  0.420000,4552.40527,1424.10132
  0.425000,4543.74609,1459.28809
  0.430000,4551.62109,1476.86938
  0.435000,4558.97412,1476.86938
  0.440000,4566.91064,1512.03552
  0.445000,4554.00293,1529.61609
  0.450000,4561.62061,1547.19348
  0.455000,4569.94482,1564.77637
  0.460000,4579.90723,1582.36426
  0.465000,4590.90332,1599.93494
  0.470000,4603.72852,1617.52393
  0.475000,4603.72852,1617.52393
  0.480000,4613.72803,1652.68079
  0.485000,4620.42334,1670.26868
  0.490000,4628.57080,1670.26868
  0.495000,4647.87988,1705.43005
  0.500000,4647.87988,1705.43005
  0.505000,4657.23926,1740.60278
  0.510000,4669.96289,1758.18579
  0.515000,4669.96289,1758.18579
  0.520000,4674.90576,1793.34204
  0.525000,4680.42432,1810.84631
  0.530000,4680.42432,1828.53162
  0.535000,4728.71533,1846.09888
  0.540000,4735.09863,1863.68433
  0.545000,4735.09863,1881.25513
  0.550000,4736.24561,1898.83765
  0.555000,4736.24561,1898.83765
  0.560000,4734.61768,1934.00195
  0.565000,4734.68994,1951.61658
  0.570000,4734.68994,1951.61658
  0.575000,4680.13379,1986.74280
  0.580000,4691.34619,2004.33447
  0.585000,4691.34619,2004.33447
  0.590000,4695.61279,2039.48840
  0.595000,4683.33447,2057.07837
  0.600000,4685.65430,2074.65942
  0.605000,4688.31543,2092.24219
  0.610000,4692.59521,2109.81641
  0.615000,4729.24609,2109.81641
  0.620000,4736.05664,2144.90454
  0.625000,4743.65137,2162.59473
  0.630000,4751.28857,2162.59473
  0.635000,4804.65527,2197.73291
  0.640000,4814.32324,2215.31396
  0.645000,4824.28711,2215.31396
  0.650000,4834.99023,2250.46924
  0.655000,4846.28662,2250.46924
  0.660000,4854.97266,2285.63086
  0.665000,4862.60986,2303.22803
  0.670000,4865.67725,2303.22803
  0.675000,4899.13428,2338.39331
  0.680000,4901.59961,2355.97705
  0.685000,4904.67529,2355.97705
  0.690000,4905.65576,2391.13013
  0.695000,4927.77051,2408.71851
  0.700000,4926.40283,2408.71851
  0.705000,4923.05273,2443.87402
  0.710000,4918.54688,2461.45044
  0.715000,4912.18555,2461.45044
  0.720000,4912.76514,2496.61816
  0.725000,4913.28125,2496.61816
  0.730000,4913.93604,2514.19482
  0.735000,4915.79932,2549.40649
  0.740000,4915.79932,2549.40649
  0.745000,4921.32910,2584.49829
  0.750000,4921.32910,2584.49829
  0.755000,5012.98535,2619.66235
  0.760000,5025.11719,2637.25000
  0.765000,5029.81641,2654.83789
  0.770000,5029.81641,2654.83789
  0.775000,5058.97998,2690.00220
  0.780000,5058.97998,2690.00220
  0.785000,5078.12451,2707.63599
  0.790000,5073.97852,2742.81665
  0.795000,5073.97852,2742.81665
  0.800000,5091.33154,2777.90186
  0.805000,5107.24707,2795.49390
  0.810000,5107.24707,2795.49390
  0.815000,5110.75293,2830.65430
  0.820000,5112.77686,2848.24683
  0.825000,5112.77686,2848.24683
  0.830000,5236.45996,2883.41577
  0.835000,5239.88330,2900.98999
  0.840000,5244.46143,2918.57642
  0.845000,5244.76172,2936.15796
  0.850000,5309.57910,2953.76221
  0.855000,5309.57910,2953.76221
  0.860000,5311.04053,2988.93530
  0.865000,5310.38428,3006.50952
  0.870000,5310.38428,3006.50952
  0.875000,5271.02490,3041.65625
  0.880000,5272.80322,3059.32129
  0.885000,5272.80322,3059.32129
  0.890000,5262.82959,3094.38892
  0.895000,5260.07764,3111.97998
  0.900000,5259.06738,3129.52563
  0.905000,5258.65283,3147.14136
  0.910000,5316.55322,3164.73291
  0.915000,5316.55322,3164.73291
  0.920000,5317.18604,3199.89697
  0.925000,5311.19189,3217.46899
  0.930000,5311.19189,3235.05420
  0.935000,5399.31885,3252.59741
  0.940000,5399.31885,3270.25610
  0.945000,5400.85254,3287.80078
  0.950000,5420.05859,3305.38818
  0.955000,5420.05859,3322.95654
  0.960000,5425.92285,3340.53369
  0.965000,5425.92285,3340.53369
  0.970000,5428.73926,3375.70532
  0.975000,5462.15479,3393.29175
  0.980000,5464.49316,3393.29175
  0.985000,5466.88965,3428.44775
  0.990000,5500.62061,3446.02979
  0.995000,5500.52734,3463.61670
  1.000000,5500.52734,3463.61670
  1.005000,5500.43652,3498.77295
  1.010000,5542.88770,3516.24609
  1.015000,5542.88770,3516.24609
  1.020000,5540.90771,3551.51733
  1.025000,5536.25342,3569.09766
  1.030000,5536.25342,3586.68506
  1.035000,5516.74951,3604.25513
  1.040000,5504.91455,3621.84473
  1.045000,5504.91455,3621.84473
  1.050000,5499.15381,3639.42700
  1.055000,5461.89209,3674.57764
  1.060000,5461.89209,3674.57764
  1.065000,5459.63867,3709.74707
  1.070000,5531.61133,3727.33350
  1.075000,5531.61133,3727.33350
  1.080000,5529.70898,3762.42310
  1.085000,5527.58398,3780.06860
  1.090000,5527.58398,3780.06860
  1.095000,5649.84375,3815.19141
  1.100000,5652.62500,3832.83008
  1.105000,5653.16895,3850.42261
  1.110000,5653.16895,3868.00049
  1.115000,5650.83203,3885.58472
  1.120000,5650.83203,3885.58472
  1.125000,5649.39697,3920.73730
  1.130000,5600.87842,3938.31592
  1.135000,5597.08252,3955.89941
  1.140000,5597.08252,3955.89941
  1.145000,5581.07129,3991.07007
  1.150000,5630.88086,4008.64819
  1.155000,5630.88086,4008.64819
  1.160000,5611.03809,4043.80811
  1.165000,5600.43457,4061.37061
  1.170000,5600.43457,4061.37061
  1.175000,5716.41846,4096.45898
  1.180000,5702.56738,4114.09277
  1.185000,5691.09619,4131.78467
  1.190000,5696.30127,4149.28906
  1.195000,5686.70508,4166.87939
  1.200000,5686.70508,4166.87939
  1.205000,5675.79785,4184.47559
  1.210000,5671.70215,4219.63477
  1.215000,5671.70215,4219.63477
  1.220000,5655.88428,4254.84717
  1.225000,5646.75879,4272.36230
  1.230000,5646.75879,4272.36230
  1.235000,5656.79492,4307.51855
  1.240000,5646.70361,4325.10986
  1.245000,5646.70361,4325.10986
  1.250000,5633.36133,4360.27881
  1.255000,5665.87109,4377.84521
  1.260000,5654.21533,4377.84521
  1.265000,5633.46240,4413.01807
  1.270000,5699.08936,4430.60889
  1.275000,5699.08936,4430.60889
  1.280000,5677.60596,4465.77441
  1.285000,5666.64600,4483.35645
  1.290000,5666.64600,4483.35645
  1.295000,5648.37402,4518.51318
  1.300000,5648.37402,4536.03320
  1.305000,5642.17725,4536.03320
  1.310000,5633.20996,4571.30762
  1.315000,5625.48828,4588.81836
  1.320000,5625.48828,4606.42822
  1.325000,5616.03271,4606.42822
  1.330000,5586.86279,4641.59814
  1.335000,5586.86279,4659.18652
  1.340000,5576.88721,4676.75342
  1.345000,5560.12842,4694.34229
  1.350000,5560.12842,4711.92334
  1.355000,5552.50342,4729.49658
  1.360000,5544.76611,4747.13086
  1.365000,5538.15527,4747.13086
  1.370000,5532.43066,4782.23926
  1.375000,5527.51514,4799.81104
  1.380000,5519.70898,4799.81104
  1.385000,5519.70898,4834.98682
  1.390000,5510.82031,4852.57227
  1.395000,5510.82031,4852.57227
  1.400000,5506.09277,4887.71191
  1.405000,5506.28467,4905.29346
  1.410000,5504.04688,4905.29346
  1.415000,5504.04688,4940.41357
  1.420000,5500.41602,4958.05859
  1.425000,5500.41602,4958.05859
  1.430000,5500.71191,4975.65674
  1.435000,5500.54150,5010.82227
  1.440000,5502.45752,5028.38428
  1.445000,5501.62793,5045.97803
  1.450000,5500.55225,5063.55518
  1.455000,5497.00684,5081.12549
  1.460000,5498.07080,5098.75684
  1.465000,5498.07080,5116.28809
  1.470000,5499.32227,5133.87500
  1.475000,5502.28076,5133.87500
  1.480000,5503.22510,5169.04297
  1.485000,5503.24756,5186.62402
  1.490000,5498.87305,5186.62402
  1.495000,5495.16846,5221.77344
  1.500000,5488.08594,5239.31738
  1.505000,5486.03125,5256.92676
  1.510000,5484.54639,5274.53320
  1.515000,5484.54639,5292.04688
  1.520000,5486.03271,5292.04688
  1.525000,5487.81934,5327.29102
  1.530000,5482.76611,5344.87109
  1.535000,5482.76611,5344.87109
  1.540000,5485.92090,5380.04395
  1.545000,5493.04736,5397.63672
  1.550000,5493.04736,5397.63672
  1.555000,5495.39014,5430.41699
  1.560000,5497.51025,5442.61914
  1.565000,5497.51025,5442.61914
  1.570000,5498.52393,5453.20752
  1.575000,5498.99805,5468.91455
  1.580000,5503.55859,5474.78809
  1.585000,5503.55859,5474.78809
  1.590000,5506.25049,5484.35986
  1.595000,5512.51709,5488.55713
  1.600000,5517.20996,5492.73193
  1.605000,5517.20996,5496.61572
  1.610000,5522.14697,5500.66797
  1.615000,5522.14697,5500.66797
  1.620000,5529.13281,5507.21533
  1.625000,5529.13281,5507.21533
  1.630000,5529.60156,5514.66211
  1.635000,5528.87061,5517.56055
  1.640000,5528.87061,5517.56055
  1.645000,5526.34375,5521.97119
  1.650000,5528.46680,5521.97119
  1.655000,5526.55469,5523.97754
  1.660000,5523.75586,5523.97754
  1.665000,5525.21338,5524.29541
  1.670000,5524.41162,5524.94531
  1.675000,5524.41162,5524.98096
  1.680000,5529.04150,5524.86182
  1.685000,5530.98340,5525.90625
  1.690000,5530.98340,5526.50195
  1.695000,5528.09326,5527.35498
  1.700000,5527.13721,5527.39893
  1.705000,5527.13721,5527.39893
  1.710000,5530.83740,5527.44678
  1.715000,5530.64258,5527.47900
  1.720000,5530.38281,5527.47900
  1.725000,5530.38281,5528.62744
  1.730000,5530.37646,5528.97168
  1.735000,5529.24316,5529.25049
  1.740000,5529.24316,5529.25049
  1.745000,5529.09521,5529.29785
  1.750000,5526.25488,5529.22754
  1.755000,5529.05566,5528.63916
  1.760000,5529.05566,5528.55615
  1.765000,5535.18408,5528.66504
  1.770000,5539.47900,5528.66504
  1.775000,5546.10449,5531.81006
  1.780000,5550.50342,5531.81006
  1.785000,5556.00537,5537.81006
  1.790000,5561.42676,5541.26514
  1.795000,5567.01465,5545.21436
  1.800000,5573.02441,5549.32812
  1.805000,5576.85938,5554.01611
  1.810000,5576.84131,5554.01611
  1.815000,5585.21924,5558.55127
  1.820000,5588.72949,5566.12207
  1.825000,5592.16748,5569.86816
  1.830000,5592.16748,5569.86816
  1.835000,5596.87598,5577.19092
  1.840000,5596.87598,5577.19092
  1.845000,5598.48438,5583.80957
  1.850000,5597.90967,5586.63672
  1.855000,5596.39209,5588.93066
  1.860000,5594.92480,5590.69385
  1.865000,5591.12500,5591.81152
  1.870000,5591.12500,5591.81152
  1.880000,5585.03613,5592.17871
  1.880000,5584.26416,5591.58984
  1.885000,5584.26416,5591.58984
  1.890000,5583.46924,5589.70361
  1.895000,5584.47705,5588.55469
  1.900000,5584.47705,5587.87256
  1.905000,5584.50195,5587.87256
  1.910000,5582.28076,5586.67285
  1.915000,5582.28076,5586.67285
  1.920000,5582.82910,5585.29102
  1.925000,5583.18066,5584.81299
  1.930000,5584.10498,5584.49609
  1.935000,5582.76953,5584.41602
  1.940000,5575.10693,5584.09717
  1.945000,5570.60791,5583.36182
  1.950000,5570.60791,5583.36182
  1.955000,5566.17969,5579.57178
  1.960000,5563.09961,5576.94922
  1.965000,5560.69287,5574.23633
  1.970000,5560.22119,5574.23633
  1.975000,5559.63428,5569.36865
  1.980000,5558.76074,5569.36865
  1.985000,5559.37988,5565.76318
  1.990000,5558.24268,5564.52246
  1.995000,5558.33496,5563.30566
  2.000000,5559.54883,5562.32227
  2.005000,5559.54883,5561.42578
  2.010000,5561.61328,5561.06445
  2.015000,5571.10547,5561.14502
  2.020000,5580.57910,5563.10498
  2.025000,5589.87988,5563.10498
  2.030000,5598.40186,5571.07959
  2.035000,5606.85645,5571.07959
  2.040000,5626.64551,5582.36377
  2.045000,5626.64551,5582.36377
  2.050000,5637.73926,5596.46289
  2.055000,5648.30322,5604.52686
  2.060000,5658.43066,5613.09082
  2.065000,5669.34814,5621.94629
  2.070000,5693.62598,5628.99316
  2.075000,5693.62598,5638.99121
  2.080000,5709.38574,5649.70312
  2.085000,5723.46484,5661.38721
  2.090000,5738.24219,5673.50439
  2.095000,5751.32861,5686.16260
  2.100000,5759.87988,5698.87744
  2.105000,5771.20117,5698.87744
  2.110000,5782.41943,5722.61523
  2.115000,5796.97998,5734.27246
  2.120000,5811.49365,5734.27246
  2.125000,5822.61133,5759.20508
  2.130000,5829.88135,5759.20508
  2.135000,5838.66553,5771.60156
  2.140000,5864.24414,5793.86719
  2.145000,5864.24414,5805.42334
  2.150000,5872.28223,5816.84277
  2.155000,5883.20850,5816.84277
  2.160000,5890.63135,5838.42090
  2.165000,5904.46338,5848.64893
  2.170000,5904.46338,5848.64893
  2.175000,5912.65576,5858.59033
  2.180000,5918.34668,5867.55664
  2.185000,5928.26074,5884.56543
  2.190000,5938.08691,5893.10547
  2.195000,5946.63330,5901.92285
  2.200000,5949.47852,5910.61719
  2.205000,5956.55127,5918.25244
  2.210000,5958.98096,5925.72168
  2.215000,5966.72510,5932.22510
  2.220000,5970.22900,5938.96289
  2.225000,5977.44629,5938.96289
  2.230000,5980.90186,5951.39648
  2.235000,5987.21484,5957.08887
  2.240000,5993.77979,5957.08887
  2.245000,6001.70361,5968.86084
  2.250000,6008.10889,5975.39551
  2.255000,6017.20996,5975.39551
  2.260000,6023.76416,5988.76855
  2.265000,6029.93799,5995.59668
  2.270000,6034.53125,5995.59668
  2.275000,6039.64111,6008.60059
  2.280000,6046.25293,6014.75781
  2.285000,6053.49805,6020.78809
  2.290000,6061.80420,6020.78809
  2.295000,6069.51514,6033.93311
  2.300000,6083.22266,6040.89258
  2.305000,6090.45703,6047.78223
  2.310000,6090.45703,6054.64893
  2.315000,6107.49756,6061.46826
  2.320000,6107.49756,6061.46826
  2.325000,6116.32861,6076.53271
  2.330000,6131.51660,6084.31055
  2.335000,6131.51660,6084.31055
  2.340000,6137.23975,6099.77197
  2.345000,6144.61865,6107.08447
  2.350000,6151.46631,6107.08447
  2.355000,6158.53174,6121.71338
  2.360000,6172.16553,6128.78174
  2.365000,6172.16553,6128.78174
  2.370000,6178.19678,6143.06689
  2.375000,6183.85352,6149.93555
  2.380000,6189.48682,6149.93555
  2.385000,6194.32812,6162.96045
  2.390000,6203.67725,6168.93408
  2.395000,6203.67725,6168.93408
  2.400000,6209.13672,6180.67529
  2.405000,6213.92041,6180.67529
  2.410000,6219.46094,6191.68018
  2.415000,6224.27979,6197.12891
  2.420000,6230.09277,6197.12891
  2.425000,6236.09766,6207.90771
  2.430000,6242.67285,6213.49023
  2.435000,6254.28369,6213.49023
  2.440000,6264.58496,6225.89600
  2.445000,6272.24512,6233.44531
  2.450000,6279.22705,6233.44531
  2.455000,6283.95312,6248.49463
  2.460000,6289.29150,6255.48047
  2.465000,6296.40234,6255.48047
  2.470000,6303.84619,6268.57275
  2.475000,6313.37549,6275.54639
  2.480000,6331.20117,6283.00049
  2.485000,6331.20117,6290.70264
  2.490000,6338.85449,6298.63525
  2.495000,6347.72607,6298.63525
  2.500000,6366.39160,6314.53125
  2.505000,6366.39160,6322.72412
  2.510000,6379.78906,6322.72412
  2.515000,6398.80713,6340.72070
  2.520000,6398.80713,6350.27930
  2.525000,6408.11230,6350.27930
  2.530000,6417.60010,6367.75488
  2.535000,6426.43701,6367.75488
  2.540000,6433.09033,6387.04785
  2.545000,6440.12256,6387.04785
  2.550000,6444.36768,6404.70703
  2.555000,6449.02930,6412.45264
  2.560000,6457.78223,6419.59277
  2.565000,6457.78223,6425.98828
  2.570000,6463.79248,6432.19971
  2.575000,6471.01953,6432.19971
  2.580000,6477.72119,6444.72900
  2.585000,6483.25391,6451.17529
  2.590000,6488.64355,6451.17529
  2.595000,6493.28418,6463.52832
  2.600000,6499.11621,6469.32471
  2.605000,6505.34521,6469.32471
  2.610000,6521.04883,6481.07666
  2.615000,6530.40771,6487.37939
  2.620000,6530.40771,6493.95117
  2.625000,6548.35205,6501.07471
  2.630000,6556.71436,6508.49316
  2.635000,6556.71436,6508.49316
  2.640000,6572.64990,6524.18799
  2.645000,6579.12109,6532.12695
  2.650000,6587.39648,6540.03760
  2.655000,6593.50928,6547.67480
  2.660000,6600.09033,6555.43604
  2.665000,6600.09033,6562.86133
  2.670000,6611.65674,6570.14307
  2.675000,6611.65674,6577.05518
  2.680000,6623.15479,6577.05518
  2.685000,6630.13965,6590.90918
  2.690000,6630.13965,6590.90918
  2.695000,6650.99512,6603.63037
  2.700000,6650.99512,6603.63037
  2.705000,6664.15039,6618.71240
  2.710000,6686.09033,6627.57812
  2.715000,6686.09033,6627.57812
  2.720000,6695.15137,6646.46777
  2.725000,6704.61230,6654.22217
  2.730000,6714.22461,6664.06982
  2.735000,6722.96924,6664.06982
  2.740000,6733.81592,6683.45752
  2.745000,6744.45557,6683.45752
  2.750000,6756.81152,6693.29248
  2.755000,6769.10645,6713.74951
  2.760000,6792.86035,6713.74951
  2.765000,6802.78271,6724.45850
  2.770000,6802.78271,6746.83643
  2.775000,6811.93799,6746.83643
  2.780000,6821.65088,6768.35693
  2.785000,6831.53027,6778.78223
  2.790000,6841.99072,6778.78223
  2.795000,6852.19775,6799.40527
  2.800000,6860.62158,6799.40527
  2.805000,6868.93506,6819.62305
