time[s],setpoint[RPM],velocity[RPM]
   0.00194,0.0,0.0
   0.00608,5071.6,-0.1
   0.01120,5071.7,0.0
   0.01618,5072.2,0.7
   0.02115,5074.6,1.1
   0.02616,5077.3,-0.6
   0.03115,5079.8,0.0
   0.03614,5083.0,0.4
   0.04117,5100.5,-0.1
   0.04617,5103.6,-1.7
   0.05117,5106.7,-4.0
   0.05622,5110.0,-6.3
   0.06117,5111.4,-6.9
   0.06618,5112.1,-8.7
   0.07116,5111.8,-9.0
   0.07617,5110.0,-8.9
   0.08118,5106.9,0.9
   0.08617,5099.2,1.4
   0.09116,5092.4,1.9
   0.09618,5070.1,3.1
   0.10116,5056.3,4.1
   0.10616,5048.8,4.4
   0.11118,5035.3,-0.4
   0.11618,5009.8,1.4
   0.12117,5002.7,1.4
   0.12627,5015.2,-2.1
   0.13117,5015.2,-3.4
   0.13619,5035.0,-3.7
   0.14119,5047.9,-3.3
   0.14633,5054.9,-5.1
   0.15116,5059.4,-43.9
   0.15618,5090.6,6.4
   0.16117,5093.1,11.9
   0.16618,5089.7,-3.3
   0.17115,5083.6,-16.9
   0.17617,5073.5,7.9
   0.18121,5061.1,13.4
   0.18618,5049.4,18.9
   0.19115,5037.1,24.3
   0.19615,5025.6,0.7
   0.20114,5014.2,5.9
   0.20618,5000.4,5.9
   0.21117,5001.1,9.9
   0.21616,5014.1,11.3
   0.22117,5020.0,-1.4
   0.22614,5022.0,-6.0
   0.23116,5022.8,0.0
   0.23614,5019.8,6.3
   0.24117,5019.2,9.7
   0.24616,5004.7,1.4
   0.25114,5001.2,1.7
   0.25617,5070.0,26.0
   0.26114,5081.9,25.0
   0.26614,5093.4,25.3
   0.27114,5105.5,26.3
   0.27614,5263.0,28.0
   0.28114,5273.7,30.9
   0.28614,5283.9,34.4
   0.29114,5289.3,37.9
   0.29614,5342.6,42.7
   0.30114,5346.7,47.0
   0.30614,5351.9,53.1
   0.31114,5354.4,60.0
   0.31614,5310.3,67.0
   0.32114,5308.7,74.6
   0.32615,5305.2,81.7
   0.33114,5299.8,90.0
   0.33614,5294.0,98.6
   0.34114,5286.3,106.6
   0.34614,5279.2,113.6
   0.35114,5270.0,123.3
   0.35614,5305.0,132.9
   0.36114,5295.5,142.9
   0.36614,5286.4,151.4
   0.37114,5277.4,160.4
   0.37614,5344.1,169.6
   0.38117,5338.3,178.0
   0.38614,5333.6,185.0
   0.39114,5330.8,191.7
   0.39615,5329.9,196.3
   0.40114,5330.3,202.0
   0.40614,5332.4,207.7
   0.41122,5335.6,213.9
   0.41617,5324.3,240.4
   0.42123,5329.5,269.7
   0.42623,5334.2,285.7
   0.43122,5339.5,314.7
   0.43621,5316.2,356.6
   0.44121,5321.3,405.0
   0.44621,5326.3,462.4
   0.45115,5332.0,521.9
   0.45614,5339.3,587.7
   0.46118,5347.6,658.4
   0.46614,5357.8,730.3
   0.47116,5365.2,806.6
   0.47624,5369.2,886.1
   0.48124,5374.7,967.3
   0.48615,5381.9,1045.6
   0.49122,5388.8,1129.9
   0.49621,5395.5,1211.4
   0.50118,5398.7,1292.4
   0.50616,5402.9,1369.3
   0.51116,5405.2,1443.7
   0.51626,5405.5,1516.1
   0.52173,5405.4,1589.1
   0.52613,5451.1,1643.4
   0.53118,5451.3,1701.7
   0.53621,5452.2,1755.3
   0.54118,5450.3,1803.0
   0.54616,5448.0,1847.1
   0.55122,5443.8,1887.4
   0.55624,5441.0,1923.7
   0.56124,5438.6,1956.1
   0.56624,5381.4,1984.9
   0.57119,5384.2,2011.1
   0.57622,5387.3,2035.9
   0.58122,5388.9,2056.3
   0.58615,5374.0,2075.4
   0.59116,5373.7,2093.3
   0.59621,5373.7,2109.9
   0.60118,5375.3,2125.4
   0.60618,5409.3,2139.7
   0.61122,5413.5,2154.0
   0.61624,5418.4,2167.6
   0.62124,5423.4,2180.9
   0.62622,5474.1,2194.0
   0.63117,5481.2,2207.0
   0.63621,5488.5,2220.3
   0.64122,5496.5,2233.9
   0.64616,5505.2,2247.1
   0.65119,5511.2,2261.3
   0.65616,5516.2,2275.3
   0.66115,5516.7,2289.9
   0.66615,5547.5,2304.7
   0.67114,5547.3,2320.1
   0.67617,5547.7,2335.7
   0.68115,5546.1,2351.4
   0.68615,5565.5,2367.6
   0.69115,5561.5,2384.0
   0.69614,5555.5,2400.7
   0.70117,5548.4,2417.7
   0.70617,5539.4,2435.1
   0.71117,5537.3,2452.0
   0.71614,5535.2,2469.4
   0.72114,5532.4,2487.6
   0.73376,5529.6,2531.7
   0.73882,5529.6,2549.7
   0.74382,5530.0,2568.1
   0.74882,5619.0,2585.9
   0.75384,5621.5,2603.7
   0.75886,5625.9,2621.9
   0.76382,5627.9,2639.7
   0.76882,5652.2,2657.6
   0.77384,5651.8,2675.7
   0.77885,5659.1,2693.6
   0.78388,5665.6,2711.6
   0.78888,5658.9,2729.6
   0.79386,5671.9,2747.4
   0.79882,5670.9,2765.1
   0.80392,5684.2,2783.3
   0.80889,5685.9,2801.3
