time[s],setpoint[RPM],velocity[RPM]
  0.003626,0.00000,97.42857
  0.008805,5059.68506,99.14286
  0.013947,4909.65625,99.14286
  0.019091,5164.92822,98.00000
  0.024228,5053.13965,96.71429
  0.034691,5132.46582,94.14286
  0.039856,4953.07617,91.28571
  0.045020,4826.76367,89.42857
  0.050163,4884.60889,88.28571
  0.055371,5008.29004,86.00000
  0.060511,4786.12402,83.57143
  0.065655,4954.86621,80.57143
  0.070809,4845.21777,77.42857
  0.075953,5177.90283,75.42857
  0.081088,5037.90820,74.00000
  0.086256,4988.97607,72.28571
  0.091453,5025.45215,70.14286
  0.096608,4796.14551,67.57143
  0.101758,5024.41016,64.42857
  0.106911,5008.06592,61.57143
  0.112041,4927.72803,59.14286
  0.117183,4856.94629,56.71429
  0.122332,5101.99561,54.42857
  0.127452,5146.87598,53.14286
  0.132567,4833.62939,-30.42857
  0.137705,4768.67627,10.00000
  0.142833,4790.90820,23.28572
  0.147956,5090.20557,37.57143
  0.153074,4841.49658,56.71429
  0.158189,5150.72803,80.71429
  0.163359,4805.33057,120.14286
  0.168513,4864.09668,160.57143
  0.173667,5125.44336,189.71428
  0.178751,5127.84961,225.57143
  0.183925,5110.73438,261.71429
  0.189125,4778.10254,300.57144
  0.194342,4940.58789,338.14285
  0.199580,4946.42383,378.00000
  0.204769,4873.06152,415.85715
  0.210017,4867.02588,456.00000
  0.215246,4922.13672,493.42856
  0.220501,4763.59277,532.28571
  0.225792,5064.74561,569.71429
  0.231038,4968.53564,605.14288
  0.236303,5012.32031,641.00000
  0.241531,4822.90869,674.28571
  0.246769,5108.22510,706.71429
  0.252061,4823.40283,739.28571
  0.257786,4809.86230,771.42859
  0.263082,4794.59521,800.00000
  0.268340,4949.28027,827.57141
  0.273543,4994.56885,854.57141
  0.278741,4873.20459,879.28571
  0.283917,5021.58057,903.00000
  0.289143,4765.82568,926.85712
  0.294354,5076.56543,949.42859
  0.299624,4796.55566,970.85712
  0.304991,4800.81494,992.28571
  0.310434,4825.22070,1013.85712
  0.315740,4957.29688,1034.28577
  0.321065,5065.34570,1053.71423
  0.326361,4848.91455,1072.28577
  0.331677,4965.17236,1091.14282
  0.336917,4726.72314,1109.57141
  0.342138,4989.56348,1128.00000
  0.347338,4822.79639,1145.71423
  0.352554,4974.24951,1163.28577
  0.357724,4806.56006,1180.00000
  0.362893,4753.58252,1197.28577
  0.368139,4841.61279,1215.00000
  0.373499,4714.23193,1233.00000
  0.378768,4935.21240,1251.00000
  0.384054,4775.77002,1268.42859
  0.389417,4821.44580,1286.71423
  0.394707,4806.41895,1304.85718
  0.399946,5017.01904,1322.14282
  0.405204,4972.10107,1340.14282
  0.410458,4750.98975,1358.00000
  0.415711,5056.31641,1375.85718
  0.420942,4703.90771,1394.00000
  0.426172,4767.66064,1412.28577
  0.431409,4904.41650,1431.00000
  0.436670,5034.37744,1448.85718
  0.441889,4939.39404,1467.57141
  0.447076,4830.49023,1486.00000
  0.452303,4957.28174,1504.42859
  0.457527,4877.75293,1523.14282
  0.462758,4905.48584,1541.71423
  0.468065,4960.73145,1560.71423
  0.473310,5034.37305,1579.71423
  0.478548,4681.42188,1598.28577
  0.484049,4833.83936,1617.85718
  0.489479,4765.70166,1637.71423
  0.494705,4965.31689,1656.85718
  0.500049,4978.75830,1676.14282
  0.505410,4908.33594,1695.28577
  0.510736,4933.68555,1714.28577
  0.515964,4991.04395,1733.42859
  0.521214,4869.29102,1752.85718
  0.526504,4806.78564,1772.14282
  0.531791,4872.33691,1790.71423
  0.537045,4780.74023,1809.71423
  0.542322,4765.21729,1829.14282
  0.547533,4658.43066,1847.85718
  0.552745,4830.74219,1866.71423
  0.557991,5003.00098,1885.57141
  0.563227,4904.40430,1904.71423
  0.568540,4816.36328,1923.71423
  0.573923,4803.87451,1943.14282
  0.579187,4928.12158,1962.28577
  0.584487,4776.01807,1981.28577
  0.589870,4656.60791,2000.85718
  0.595060,4709.25732,2019.42859
  0.600338,4802.49023,2038.28577
  0.605665,5007.36328,2058.00000
  0.610913,4666.97900,2076.28564
  0.616119,5038.76123,2095.14282
  0.621434,4762.05859,2114.28564
  0.626754,4981.35986,2133.28564
  0.631968,5031.99951,2152.14282
  0.637226,4830.83154,2170.71436
  0.642454,4886.78076,2189.71436
  0.647657,4767.36084,2208.00000
  0.652867,4902.95947,2227.00000
  0.658143,4825.22754,2245.57153
  0.663377,4748.22266,2264.57153
  0.672841,4732.66797,2298.71436
  0.678080,4848.00732,2316.85718
  0.683369,4870.86865,2336.14282
  0.688643,4865.66846,2354.71436
  0.693898,4696.11426,2373.42847
  0.699147,4621.56396,2392.14282
  0.704430,4939.24463,2410.85718
  0.709722,4731.07373,2430.14282
  0.714953,4980.06152,2448.42847
  0.720196,4893.41553,2467.14282
  0.725441,4766.06982,2485.85718
  0.730696,4723.28271,2504.57153
  0.735939,4997.15039,2522.85718
  0.741303,4757.59961,2542.42847
  0.746605,4811.19189,2561.28564
  0.751891,4825.01611,2579.57153
  0.757188,4891.40332,2598.42847
  0.762388,4840.84961,2617.00000
  0.767665,4901.20361,2636.00000
  0.773016,4862.04688,2654.57153
  0.778270,4629.22705,2673.14282
  0.783556,4851.27539,2692.14282
  0.788854,4723.40283,2711.28564
  0.794111,4734.29297,2729.71436
  0.799343,4918.45117,2747.85718
  0.804588,4935.44775,2766.57153
  0.809838,4943.24707,2785.00000
  0.815055,4897.85498,2803.71436
  0.820293,4690.36279,2822.42847
  0.825555,4608.63232,2840.71436
  0.830729,4677.46631,2859.00000
  0.835957,4886.69043,2877.57153
  0.841232,4882.49463,2896.14282
  0.846443,4871.86523,2914.42847
  0.851732,4819.57666,2933.14282
  0.857069,4626.77686,2952.00000
  0.862278,4821.69580,2970.57153
  0.867544,4693.08984,2989.14282
  0.872981,4837.84619,3008.71436
  0.878472,4707.50195,3027.42847
  0.883806,4570.18311,3046.57153
  0.889231,4861.29883,3065.57153
  0.894552,4910.65234,3084.28564
