time[s],setpoint[RPM],velocity[RPM]
  0.001348,0.00000,513.71429
  0.006567,4826.41699,512.57141
  0.011767,5193.47314,509.28571
  0.016930,4893.28174,507.14285
  0.022182,5050.37061,506.28571
  0.027372,5213.13184,506.57144
  0.032548,4884.18262,511.28571
  0.037719,4881.29736,518.28571
  0.042857,4989.74756,526.85712
  0.048038,5024.48096,539.42859
  0.053240,4854.71582,552.00000
  0.058335,5156.85107,567.57141
  0.063474,5001.23438,584.00000
  0.068673,5102.91211,602.57141
  0.073814,5255.37402,621.57141
  0.078952,4905.10840,642.00000
  0.084127,5018.08105,662.42859
  0.089266,5212.04395,684.71429
  0.094422,4989.76367,705.14288
  0.099660,5256.65625,728.57141
  0.104895,5256.68555,750.42859
  0.110134,5098.62695,772.71429
  0.115386,5134.78564,795.85712
  0.120648,5000.15430,817.57141
  0.125897,5247.16016,839.28571
  0.131105,5221.15967,861.71429
  0.136321,4996.26855,883.14288
  0.141534,5078.22363,903.71429
  0.146753,5298.25488,925.14288
  0.151975,5098.34424,946.14288
  0.157202,5190.96533,966.28571
  0.162434,4965.34424,986.71429
  0.167665,4996.84229,1006.71429
  0.172897,5166.08301,1026.71423
  0.178094,5239.53467,1045.71423
  0.183261,5239.36865,1064.57141
  0.188421,5256.39795,1083.71423
  0.193565,5256.39795,1102.71423
  0.198698,5039.29639,1121.14282
  0.203827,5336.24365,1139.42859
  0.208942,5120.49463,1157.42859
  0.214048,5329.20703,1175.71423
  0.219156,5158.04297,1194.14282
  0.224261,5414.53906,1212.57141
  0.229394,5404.46436,1230.85718
  0.234511,5275.31494,1248.85718
  0.239630,5154.86133,1266.71423
  0.244740,5142.37793,1284.71423
  0.249945,5396.28027,1302.85718
  0.255096,5119.35352,1321.00000
  0.260282,5200.36182,1339.71423
  0.265509,5352.42773,1358.00000
  0.270616,5281.17871,1376.28577
  0.275742,5241.43457,1394.57141
  0.280967,5396.49512,1413.57141
  0.286140,5348.93945,1431.57141
  0.291261,5283.34375,1449.85718
  0.296477,5111.32275,1468.42859
  0.301566,5274.77246,1486.85718
  0.306680,5333.98486,1504.71423
  0.311870,5442.13037,1522.85718
  0.317079,5464.01514,1542.00000
  0.322250,5139.41846,1560.71423
  0.327445,5132.17383,1579.14282
  0.332578,5444.16895,1597.57141
  0.337761,5279.06201,1616.28577
  0.342891,5290.01074,1634.42859
  0.348039,5476.32764,1653.00000
  0.353239,5262.26514,1671.28577
  0.358377,5379.43262,1689.14282
  0.363528,5233.68555,1707.85718
  0.368672,5464.89209,1726.57141
  0.373825,5256.86133,1745.00000
  0.378934,5409.54541,1763.00000
  0.384027,5286.40723,1781.14282
  0.389210,5374.11768,1799.42859
  0.394317,5267.99121,1818.14282
  0.399494,5287.40088,1836.42859
  0.404647,5321.55322,1854.57141
  0.409931,5443.74121,1873.28577
  0.415229,5358.30420,1892.85718
  0.420498,5562.55762,1911.00000
  0.425727,5347.04443,1929.42859
  0.430892,5345.89258,1948.14282
  0.436089,5283.08887,1966.57141
  0.441281,5269.12793,1985.14282
  0.446435,5306.27588,2003.57141
  0.451583,5414.05371,2021.71423
  0.456854,5525.24561,2040.42859
  0.462141,5593.11768,2059.71436
  0.467520,5445.80811,2078.14282
  0.472846,5571.14404,2097.71436
  0.478098,5411.67139,2116.00000
  0.483507,5359.35010,2135.71436
  0.488789,5431.99658,2154.00000
  0.494062,5298.04199,2173.00000
  0.499294,5337.42529,2191.42847
  0.504610,5473.11572,2210.57153
  0.509851,5465.02441,2229.00000
  0.515052,5384.76221,2247.57153
  0.520258,5649.71875,2266.00000
  0.525508,5351.05127,2284.85718
  0.530756,5368.63037,2303.14282
  0.536072,5631.79541,2322.28564
  0.541328,5556.02783,2340.57153
  0.546563,5674.98486,2359.42847
  0.551814,5463.14111,2377.85718
  0.557094,5464.72900,2396.57153
  0.562282,5546.17383,2415.42847
  0.567576,5432.59766,2433.71436
  0.572775,5378.33008,2452.57153
  0.578004,5620.50342,2471.00000
  0.583226,5740.32422,2489.28564
  0.588484,5643.51270,2508.42847
  0.593725,5631.83838,2527.00000
  0.599019,5533.69678,2545.14282
  0.604272,5785.58447,2564.00000
  0.609469,5784.48535,2582.42847
  0.614686,5759.99609,2600.71436
  0.620027,5439.43018,2619.71436
  0.625259,5755.48730,2638.14282
  0.630435,5607.21240,2656.71436
  0.635678,5701.94775,2675.00000
  0.640954,5516.61475,2693.57153
  0.646209,5441.87109,2712.14282
  0.651460,5656.49805,2730.85718
  0.656744,5484.84326,2749.71436
  0.662219,5804.62061,2769.14282
  0.667615,5575.16895,2788.00000
  0.672899,5578.56250,2806.42847
  0.678220,5676.46680,2825.14282
  0.683481,5553.54883,2843.71436
  0.688669,5787.50439,2862.14282
  0.693866,5603.82861,2880.57153
  0.699095,5871.37109,2898.85718
  0.704280,5590.71143,2917.57153
  0.709527,5633.53076,2935.71436
  0.714807,5757.40820,2954.57153
  0.720128,5802.36230,2973.28564
  0.725326,5743.25098,2991.42847
  0.730554,5728.42920,3009.71436
  0.735800,5702.93750,3028.28564
  0.741030,5929.68213,3046.85718
  0.746299,5614.13281,3065.57153
  0.751553,5718.71631,3083.85718
  0.756875,5729.86084,3102.71436
  0.762106,5596.79102,3121.00000
  0.767292,5814.82715,3139.42847
  0.772475,5893.77344,3157.57153
  0.777660,5654.17041,3175.85718
  0.782806,5788.32568,3193.85718
  0.787955,5881.66357,3212.14282
  0.793136,5832.96582,3230.28564
  0.798245,5977.58594,3248.14282
  0.803409,5668.45654,3266.00000
  0.808533,5932.46484,3284.00000
  0.813692,5790.91064,3302.14282
  0.818829,5993.05127,3320.00000
  0.823967,5726.82910,3338.42847
  0.829077,6006.70264,3356.14282
  0.834168,5738.87891,3374.00000
  0.839286,5797.12451,3392.00000
  0.844456,5686.64990,3410.28564
  0.849612,5983.14697,3428.00000
  0.854806,5669.14893,3446.42847
  0.859999,5822.68311,3464.42847
  0.865168,5933.40771,3482.57153
  0.870311,5998.86377,3500.71436
  0.875470,5828.71729,3519.00000
  0.880665,5920.13916,3537.00000
  0.885811,5739.17432,3554.57153
  0.890972,5801.08447,3572.71436
  0.896174,6027.96777,3590.85718
  0.901338,5933.68506,3609.00000
  0.906545,5753.03564,3627.42847
  0.911706,5771.13623,3645.28564
  0.916862,5787.81494,3663.28564
  0.922032,6050.41162,3681.57153
  0.927226,6076.68555,3699.57153
  0.932376,5901.22461,3717.28564
  0.937543,5763.81152,3735.71436
  0.942710,6028.73145,3753.57153
  0.947869,5821.60400,3771.57153
  0.953032,5926.03955,3790.14282
  0.958213,5950.71484,3807.57153
  0.963389,5776.15771,3826.00000
  0.968531,6068.52539,3843.71436
  0.973698,6011.69824,3862.14282
  0.978882,6081.54883,3880.00000
  0.984028,5842.89160,3898.28564
  0.989194,6047.72363,3916.00000
  0.994343,6172.72656,3934.14282
  0.999465,5982.91504,3952.00000
  1.004604,5870.20410,3970.00000
  1.009738,5853.14990,3987.57153
  1.014892,5848.05859,4005.71436
