time[s],setpoint[RPM],velocity[RPM]
  0.005000,0.00000,0.00000
  0.005000,5193.47314,-0.00243
  0.010000,5193.47314,-0.00243
  0.015000,5193.47314,-0.00243
  0.020000,4893.28174,17.59189
  0.025000,5050.37061,52.76759
  0.030000,5213.13184,52.76759
  0.035000,4884.18262,70.34974
  0.040000,4881.29736,87.93180
  0.045000,5024.48096,123.08704
  0.050000,5024.48096,140.58092
  0.055000,4854.71582,140.58092
  0.060000,5156.85107,175.82393
  0.065000,5001.23438,175.82393
  0.070000,5102.91211,193.41302
  0.075000,4934.48877,210.99443
  0.080000,4905.10840,228.58076
  0.085000,5018.08105,246.16029
  0.090000,5212.04395,281.32346
  0.095000,5212.04395,281.32346
  0.100000,4989.76367,298.90228
  0.105000,5256.65625,334.06546
  0.110000,5098.62695,351.65323
  0.115000,5098.62695,369.22180
  0.120000,5134.78564,369.22180
  0.125000,5247.16016,386.80991
  0.130000,5247.16016,404.38617
  0.135000,4996.26855,439.57193
  0.140000,4996.26855,439.57193
  0.145000,5298.25488,474.73300
  0.150000,5298.25488,492.30783
  0.155000,5098.34424,509.88913
  0.160000,5190.96533,509.88913
  0.165000,4996.84229,545.04291
  0.170000,4996.84229,545.04291
  0.175000,5166.08301,562.63025
  0.180000,5239.53467,580.21088
  0.185000,5239.36865,597.78961
  0.190000,5256.39795,615.37604
  0.195000,5362.73291,632.95667
  0.200000,5039.29639,668.12140
  0.205000,5336.24365,668.12140
  0.210000,5251.35742,685.70050
  0.215000,5329.20703,720.84277
  0.220000,5329.20703,720.84277
  0.225000,5414.53906,756.01001
  0.230000,5414.53906,756.01001
  0.235000,5404.46436,773.59772
  0.240000,5275.31494,808.76257
  0.245000,5142.37793,826.34808
  0.250000,5142.37793,826.34808
  0.255000,5396.28027,843.93274
  0.260000,5119.35352,861.45892
  0.265000,5200.36182,879.06360
  0.270000,5352.42773,896.67096
  0.280000,5281.17871,914.25989
  0.280000,5241.43457,931.81537
  0.285000,5241.43457,931.81537
  0.290000,5348.93945,931.81537
  0.295000,5283.34375,967.00818
  0.300000,5111.32275,1019.75354
  0.305000,5274.77246,1019.75354
  0.310000,5442.13037,1037.39441
  0.315000,5442.13037,1054.87939
  0.320000,5464.01514,1072.49353
  0.325000,5139.41846,1090.08191
  0.330000,5132.17383,1107.66748
  0.335000,5444.16895,1125.25439
  0.340000,5279.06201,1142.82019
  0.345000,5290.01074,1178.02026
  0.350000,5476.32764,1195.59692
  0.355000,5262.26514,1195.59692
  0.360000,5379.43262,1213.17346
  0.365000,5233.68555,1248.36438
  0.370000,5464.89209,1265.87488
  0.375000,5409.54541,1283.47156
  0.380000,5409.54541,1283.47156
  0.385000,5343.27295,1301.05945
  0.390000,5286.40723,1336.17566
  0.395000,5267.99121,1353.89648
  0.400000,5267.99121,1371.39673
  0.405000,5321.55322,1388.96619
  0.410000,5443.74121,1406.54639
  0.415000,5358.30420,1424.13025
  0.420000,5562.55762,1441.71838
  0.425000,5562.55762,1459.25342
  0.430000,5347.04443,1459.25342
  0.435000,5345.89258,1476.87244
  0.440000,5269.12793,1512.05103
  0.445000,5269.12793,1512.05103
  0.450000,5414.05371,1547.21484
  0.455000,5525.24561,1564.79492
  0.460000,5525.24561,1564.79492
  0.465000,5445.80811,1599.95569
  0.470000,5445.80811,1599.95569
  0.475000,5411.67139,1635.12256
  0.480000,5359.35010,1652.70569
  0.485000,5359.35010,1670.28186
  0.490000,5298.04199,1687.86487
  0.495000,5337.42529,1705.33545
  0.500000,5314.48389,1723.00818
  0.505000,5473.11572,1740.60864
  0.510000,5473.11572,1740.60864
  0.515000,5384.76221,1775.77905
  0.520000,5384.76221,1775.77905
  0.525000,5649.71875,1810.94470
  0.530000,5368.63037,1828.52539
  0.535000,5368.63037,1846.10266
  0.540000,5556.02783,1863.68494
  0.545000,5674.98486,1881.27234
  0.550000,5674.98486,1898.84436
  0.555000,5463.14111,1898.84436
  0.560000,5464.72900,1916.43188
  0.565000,5432.59766,1934.01514
  0.570000,5378.33008,1969.18604
  0.575000,5378.33008,1969.18604
  0.580000,5740.32422,2004.34924
  0.585000,5740.32422,2004.34924
  0.590000,5643.51270,2021.92371
  0.595000,5631.83838,2056.99854
  0.600000,5533.69678,2056.99854
  0.605000,5518.88623,2092.24585
  0.610000,5784.48535,2092.24585
  0.615000,5784.48535,2109.83252
  0.620000,5759.99609,2144.99341
  0.625000,5439.43018,2144.99341
  0.630000,5755.48730,2162.57593
  0.635000,5701.94775,2180.15894
  0.640000,5701.94775,2197.74292
  0.645000,5516.61475,2232.90063
  0.650000,5441.87109,2232.90063
  0.655000,5656.49805,2268.05884
  0.660000,5484.84326,2268.05884
  0.665000,5804.62061,2285.64673
  0.670000,5575.16895,2303.22754
  0.675000,5578.56250,2320.80591
  0.680000,5676.46680,2338.39551
  0.685000,5553.54883,2373.55591
  0.690000,5787.50439,2373.55591
  0.695000,5603.82861,2391.07764
  0.700000,5871.37109,2408.68066
  0.705000,5559.21240,2426.28760
  0.710000,5633.53076,2461.42847
  0.715000,5633.53076,2461.42847
  0.720000,5757.40820,2496.63037
  0.725000,5802.36230,2496.63037
  0.730000,5743.25098,2531.79688
  0.735000,5728.42920,2549.37329
  0.740000,5702.93750,2549.37329
  0.745000,5929.68213,2566.95605
  0.750000,5718.71631,2584.44238
  0.755000,5718.71631,2602.15820
  0.760000,5729.86084,2619.72510
  0.765000,5729.86084,2637.30249
  0.770000,5814.82715,2654.87939
  0.775000,5893.77344,2690.02515
  0.780000,5654.17041,2690.02515
  0.785000,5788.32568,2725.19165
  0.790000,5881.66357,2725.19165
  0.795000,5832.96582,2760.33276
  0.800000,5977.58594,2760.33276
  0.805000,5668.45654,2795.50415
  0.810000,5932.46484,2813.09277
  0.815000,5790.91064,2830.64771
  0.820000,5993.05127,2848.25269
  0.825000,5630.79785,2848.25269
  0.830000,5726.82910,2883.42627
  0.835000,6006.70264,2883.42627
  0.840000,5738.87891,2901.00977
  0.845000,5686.64990,2936.23218
  0.850000,5686.64990,2936.23218
  0.855000,5983.14697,2971.32178
  0.860000,5669.14893,2971.32178
  0.865000,5822.68311,3006.49634
  0.870000,5933.40771,3006.49634
  0.875000,5998.86377,3041.66455
  0.880000,5828.71729,3059.32056
  0.885000,5920.13916,3059.32056
  0.890000,5739.17432,3076.91211
  0.895000,5801.08447,3094.38281
  0.900000,6027.96777,3111.97705
  0.905000,5933.68506,3129.55347
  0.910000,5753.03564,3147.13721
  0.915000,5787.81494,3182.31079
  0.920000,5787.81494,3182.31079
  0.925000,6050.41162,3217.47876
  0.930000,5901.22461,3217.47876
  0.935000,5901.22461,3235.06812
  0.940000,5763.81152,3252.63794
  0.945000,6028.73145,3287.79639
  0.950000,5821.60400,3287.79639
  0.955000,5926.03955,3305.37061
  0.960000,5950.71484,3322.96069
  0.965000,5776.15771,3340.60352
  0.970000,6068.52539,3358.15381
  0.975000,6011.69824,3393.29028
  0.980000,6081.54883,3393.29028
  0.985000,5842.89160,3428.46606
  0.990000,5842.89160,3428.46606
  0.995000,6047.72363,3463.62671
  1.000000,6172.72656,3463.62671
  1.005000,5982.91504,3481.20508
  1.010000,5853.14990,3516.37280
  1.015000,5848.05859,3533.97046
  1.020000,5848.05859,3533.97046
  1.025000,6166.75879,3569.09814
  1.030000,5963.81445,3569.09814
  1.035000,5963.81445,3586.67456
  1.040000,5969.24414,3604.24951
  1.045000,6158.41260,3621.83716
  1.050000,6139.47607,3639.42627
  1.055000,5951.69727,3657.01221
  1.060000,5931.52295,3692.17651
  1.065000,5995.91357,3692.17651
  1.070000,5969.73926,3709.70190
  1.075000,6101.21729,3727.29565
  1.080000,5871.05859,3744.90845
  1.085000,6080.84668,3762.45166
  1.090000,5960.03027,3797.67944
  1.095000,5961.90918,3797.67944
  1.100000,6102.25439,3832.84619
  1.105000,6135.09961,3832.84619
  1.110000,5802.09521,3850.43188
  1.115000,5823.36621,3868.01294
  1.120000,6056.93994,3903.16602
  1.125000,6056.93994,3903.16602
  1.130000,5900.57373,3920.74927
  1.135000,5940.98730,3938.33252
  1.140000,5867.24707,3955.89160
  1.145000,6093.00781,3973.56641
  1.150000,5979.72461,4008.66504
  1.155000,5979.72461,4008.66504
  1.160000,6049.63477,4043.82715
  1.165000,6029.73535,4061.41333
  1.170000,6076.74463,4078.99976
  1.175000,6092.46729,4078.99976
  1.180000,6092.46729,4096.58008
  1.185000,5907.47803,4114.09277
  1.190000,5907.47803,4131.72705
  1.195000,5815.62256,4149.31299
  1.200000,6010.00146,4166.89062
  1.205000,5754.95020,4202.05908
  1.210000,5815.32959,4219.64307
  1.215000,6017.00098,4219.64307
  1.220000,5867.16309,4237.21826
  1.225000,6112.09424,4254.80322
  1.230000,6003.65967,4289.94775
  1.235000,5867.67480,4289.94775
  1.240000,5753.28662,4307.61230
  1.245000,6094.96436,4325.14209
  1.250000,6094.96436,4342.71777
  1.255000,5860.83643,4360.30566
  1.260000,5827.43848,4377.88184
  1.265000,5731.07568,4395.45117
  1.270000,5784.69727,4413.03906
  1.275000,5930.67676,4430.62549
  1.280000,6018.69678,4448.21729
  1.285000,6060.18848,4465.74072
  1.290000,6060.18848,4483.34717
  1.295000,5843.92480,4518.52246
  1.300000,5991.16113,4518.52246
  1.305000,5957.99707,4553.67578
  1.310000,6034.16943,4571.31445
  1.315000,6082.84961,4588.84326
  1.320000,5758.77197,4588.84326
  1.325000,5758.77197,4606.42578
  1.330000,6106.00098,4624.00244
  1.335000,5981.63867,4659.17773
  1.340000,6103.23486,4659.17773
  1.345000,5707.76660,4694.33154
  1.350000,5894.70410,4694.33154
  1.355000,5787.72705,4711.89502
  1.360000,5765.54932,4729.50635
  1.365000,5769.04785,4747.08984
  1.370000,5859.94727,4782.18701
  1.375000,5861.59619,4782.18701
  1.380000,5722.89697,4817.39795
  1.385000,5835.70850,4817.39795
  1.390000,5802.46729,4852.50781
  1.395000,6059.31836,4870.15479
  1.400000,5913.21045,4887.74316
  1.405000,5775.15723,4887.74316
  1.410000,5820.63916,4922.90918
  1.415000,5994.10742,4922.90918
  1.420000,5871.72656,4940.48389
  1.425000,6025.01318,4958.06738
  1.430000,5729.85645,4975.65479
  1.435000,6060.15527,5010.87451
  1.440000,5693.50635,5010.87451
  1.445000,5875.02881,5045.94580
  1.450000,5891.70508,5045.94580
  1.455000,5901.55029,5063.52930
  1.460000,5751.37012,5098.71045
  1.465000,5874.88281,5098.71045
  1.470000,5884.92725,5116.29248
  1.475000,5743.02246,5151.45752
  1.480000,5936.91895,5151.45752
