time[s],setpoint[RPM],velocity[RPM]
  0.001545,0.00000,634.85712
  0.006841,5000.00000,633.85712
  0.011964,5000.00000,631.00000
  0.017101,5000.00000,629.28571
  0.022299,5000.00000,628.42859
  0.027475,5000.00000,631.28571
  0.032621,5000.00000,635.57141
  0.037785,5000.00000,642.57141
  0.043022,5000.00000,652.42859
  0.048180,5000.00000,663.57141
  0.053404,5000.00000,677.71429
  0.058578,5000.00000,692.85712
  0.063745,5000.00000,709.71429
  0.068903,5000.00000,728.00000
  0.074109,5000.00000,746.71429
  0.079274,5000.00000,767.28571
  0.084460,5000.00000,787.42859
  0.089666,5000.00000,808.85712
  0.094898,5000.00000,831.28571
  0.100132,5000.00000,852.28571
  0.105324,5000.00000,874.57141
  0.110604,5000.00000,897.42859
  0.115983,5000.00000,919.71429
  0.121202,5000.00000,941.14288
  0.126460,5000.00000,963.00000
  0.131682,5000.00000,985.00000
  0.136904,5000.00000,1006.57141
  0.142094,5000.00000,1026.71423
  0.147254,5000.00000,1046.85718
  0.152398,5000.00000,1067.71423
  0.157538,5000.00000,1088.00000
  0.162667,5000.00000,1107.71423
  0.167789,5000.00000,1126.42859
  0.172921,5000.00000,1145.57141
  0.178051,5000.00000,1164.85718
  0.183201,5000.00000,1184.14282
  0.188310,5000.00000,1203.28577
  0.193418,5000.00000,1221.42859
  0.198535,5000.00000,1240.00000
  0.203672,5000.00000,1258.00000
  0.209404,5000.00000,1278.85718
  0.214593,5000.00000,1297.00000
  0.219693,5000.00000,1315.28577
  0.224795,5000.00000,1333.28577
  0.229912,5000.00000,1351.57141
  0.235089,5000.00000,1370.00000
  0.240186,5000.00000,1388.42859
  0.245306,5000.00000,1406.42859
  0.250483,5000.00000,1424.71423
  0.255614,5000.00000,1442.71423
  0.260758,5000.00000,1461.00000
  0.265956,5000.00000,1479.28577
  0.271119,5000.00000,1497.42859
  0.276360,5000.00000,1515.85718
  0.281493,5000.00000,1534.00000
  0.286685,5000.00000,1552.28577
  0.291805,5000.00000,1570.71423
  0.296926,5000.00000,1589.00000
  0.302042,5000.00000,1607.57141
  0.307172,5000.00000,1626.00000
  0.312295,5000.00000,1644.42859
  0.317436,5000.00000,1662.71423
  0.322580,5000.00000,1681.14282
  0.327712,5000.00000,1699.42859
  0.332865,5000.00000,1717.57141
  0.338079,5000.00000,1736.28577
  0.343268,5000.00000,1755.14282
  0.348402,5000.00000,1773.14282
  0.353587,5000.00000,1791.42859
  0.358704,5000.00000,1809.85718
  0.363821,5000.00000,1828.42859
  0.368925,5000.00000,1846.57141
  0.374018,5000.00000,1864.42859
  0.379124,5000.00000,1882.57141
  0.384237,5000.00000,1901.28577
  0.389396,5000.00000,1919.85718
  0.394718,5000.00000,1938.42859
  0.400123,5000.00000,1958.57141
  0.405394,5000.00000,1976.57141
  0.410594,5000.00000,1994.85718
  0.415773,5000.00000,2013.85718
  0.420937,5000.00000,2031.85718
  0.428842,5000.00000,2060.00000
  0.434001,5000.00000,2078.28564
  0.439174,5000.00000,2097.14282
  0.444323,5000.00000,2114.85718
  0.449482,5000.00000,2133.42847
  0.454634,5000.00000,2151.42847
  0.459856,5000.00000,2170.42847
  0.465016,5000.00000,2188.57153
  0.470150,5000.00000,2207.14282
  0.475287,5000.00000,2225.00000
  0.480424,5000.00000,2243.28564
  0.485566,5000.00000,2261.71436
  0.490698,5000.00000,2279.57153
  0.495846,5000.00000,2298.00000
  0.500988,5000.00000,2316.14282
  0.506129,5000.00000,2334.14282
  0.511263,5000.00000,2352.85718
  0.516395,5000.00000,2370.71436
  0.521525,5000.00000,2389.28564
  0.526696,5000.00000,2407.28564
  0.531835,5000.00000,2425.71436
  0.536969,5000.00000,2443.71436
  0.542116,5000.00000,2461.85718
  0.547259,5000.00000,2480.57153
  0.552377,5000.00000,2498.28564
  0.557486,5000.00000,2516.42847
  0.562620,5000.00000,2534.85718
  0.567780,5000.00000,2553.00000
  0.573003,5000.00000,2571.57153
  0.578877,5000.00000,2592.42847
  0.584106,5000.00000,2611.00000
  0.589312,5000.00000,2629.14282
  0.594532,5000.00000,2647.57153
  0.599787,5000.00000,2666.57153
  0.605020,5000.00000,2684.85718
  0.610299,5000.00000,2703.57153
  0.615608,5000.00000,2722.00000
  0.620830,5000.00000,2740.42847
  0.626162,5000.00000,2759.42847
  0.631481,5000.00000,2778.28564
  0.636757,5000.00000,2796.85718
  0.641997,5000.00000,2815.42847
  0.647260,5000.00000,2833.71436
  0.652489,5000.00000,2852.28564
  0.657738,5000.00000,2871.00000
  0.662986,5000.00000,2889.28564
  0.668245,5000.00000,2907.85718
  0.673461,5000.00000,2926.28564
  0.678693,5000.00000,2944.71436
  0.684035,5000.00000,2963.85718
  0.689247,5000.00000,2982.28564
  0.694549,5000.00000,3001.14282
  0.699918,5000.00000,3019.71436
  0.705312,5000.00000,3038.71436
  0.710653,5000.00000,3057.42847
  0.716082,5000.00000,3076.42847
  0.721396,5000.00000,3095.00000
  0.726766,5000.00000,3114.14282
  0.732160,5000.00000,3133.00000
  0.737420,5000.00000,3151.28564
  0.742756,5000.00000,3170.28564
  0.748126,5000.00000,3189.28564
  0.753434,5000.00000,3207.85718
  0.758720,5000.00000,3226.28564
  0.764016,5000.00000,3244.71436
  0.769403,5000.00000,3263.71436
  0.774632,5000.00000,3282.14282
  0.779927,5000.00000,3300.85718
  0.785330,5000.00000,3320.28564
  0.790669,5000.00000,3338.28564
  0.795962,5000.00000,3357.00000
  0.801342,5000.00000,3375.85718
  0.806647,5000.00000,3394.57153
  0.811935,5000.00000,3413.14282
  0.817283,5000.00000,3431.71436
  0.822620,5000.00000,3450.57153
  0.827907,5000.00000,3469.28564
