time[s],setpoint[RPM],velocity[RPM]
  0.005000,0.00000,0.00000
  0.005000,5000.00000,-0.02709
  0.015000,5000.00000,-0.02709
  0.015000,5000.00000,-0.02151
  0.020000,5000.00000,-0.02151
  0.025000,5000.00000,17.57111
  0.030000,5000.00000,35.15060
  0.035000,5000.00000,52.74088
  0.040000,5000.00000,70.33002
  0.045000,5000.00000,87.92052
  0.050000,5000.00000,105.50456
  0.055000,5000.00000,123.08665
  0.060000,5000.00000,140.66893
  0.065000,5000.00000,158.24341
  0.070000,5000.00000,193.31784
  0.075000,5000.00000,193.31784
  0.080000,5000.00000,228.56123
  0.085000,5000.00000,228.56123
  0.090000,5000.00000,246.15036
  0.095000,5000.00000,263.73178
  0.100000,5000.00000,281.31818
  0.105000,5000.00000,298.89771
  0.110000,5000.00000,316.48318
  0.115000,5000.00000,334.06097
  0.120000,5000.00000,351.63974
  0.125000,5000.00000,369.22003
  0.130000,5000.00000,404.39087
  0.135000,5000.00000,404.39087
  0.140000,5000.00000,439.54761
  0.145000,5000.00000,439.54761
  0.150000,5000.00000,474.72635
  0.155000,5000.00000,492.30981
  0.160000,5000.00000,492.30981
  0.165000,5000.00000,509.89041
  0.170000,5000.00000,527.47113
  0.175000,5000.00000,545.04578
  0.180000,5000.00000,580.21362
  0.185000,5000.00000,580.21362
  0.190000,5000.00000,597.78046
  0.195000,5000.00000,632.94849
  0.200000,5000.00000,632.94849
  0.205000,5000.00000,668.11377
  0.210000,5000.00000,668.11377
  0.215000,5000.00000,685.69427
  0.220000,5000.00000,703.28033
  0.225000,5000.00000,720.85883
  0.230000,5000.00000,756.07202
  0.235000,5000.00000,773.58948
  0.240000,5000.00000,773.58948
  0.245000,5000.00000,808.74377
  0.250000,5000.00000,826.32843
  0.255000,5000.00000,826.32843
  0.260000,5000.00000,843.91858
  0.265000,5000.00000,861.49481
  0.270000,5000.00000,879.08551
  0.275000,5000.00000,896.67456
  0.280000,5000.00000,931.85736
  0.285000,5000.00000,931.85736
  0.290000,5000.00000,949.43805
  0.295000,5000.00000,984.59302
  0.300000,5000.00000,984.59302
  0.305000,5000.00000,1019.64551
  0.310000,5000.00000,1019.64551
  0.315000,5000.00000,1054.90991
  0.320000,5000.00000,1054.90991
  0.325000,5000.00000,1072.49707
  0.330000,5000.00000,1090.08447
  0.335000,5000.00000,1107.66284
  0.340000,5000.00000,1142.88867
  0.345000,5000.00000,1142.88867
  0.350000,5000.00000,1177.96448
  0.355000,5000.00000,1177.96448
  0.360000,5000.00000,1213.12598
  0.365000,5000.00000,1213.12598
  0.370000,5000.00000,1230.71497
  0.375000,5000.00000,1248.29919
  0.380000,5000.00000,1265.83960
  0.385000,5000.00000,1301.04492
  0.390000,5000.00000,1301.04492
  0.395000,5000.00000,1318.63672
  0.400000,5000.00000,1336.18713
  0.405000,5000.00000,1353.79749
  0.410000,5000.00000,1371.38562
  0.415000,5000.00000,1388.96912
  0.420000,5000.00000,1424.12830
  0.425000,5000.00000,1424.12830
  0.430000,5000.00000,1441.71118
  0.435000,5000.00000,1459.22314
  0.440000,5000.00000,1494.47058
  0.445000,5000.00000,1494.47058
  0.450000,5000.00000,1529.62769
  0.455000,5000.00000,1529.62769
  0.460000,5000.00000,1564.79749
  0.465000,5000.00000,1564.79749
  0.470000,5000.00000,1582.35901
  0.475000,5000.00000,1599.94604
  0.480000,5000.00000,1617.53027
  0.485000,5000.00000,1652.70630
  0.490000,5000.00000,1652.70630
  0.495000,5000.00000,1670.28699
  0.500000,5000.00000,1687.86926
  0.505000,5000.00000,1687.86926
  0.510000,5000.00000,1723.02539
  0.515000,5000.00000,1740.50940
  0.520000,5000.00000,1758.16748
  0.525000,5000.00000,1775.76733
  0.530000,5000.00000,1810.94189
  0.535000,5000.00000,1828.51428
  0.540000,5000.00000,1828.51428
  0.545000,5000.00000,1863.67969
  0.550000,5000.00000,1881.26404
  0.555000,5000.00000,1898.83801
  0.560000,5000.00000,1898.83801
  0.565000,5000.00000,1916.42163
  0.570000,5000.00000,1951.57861
  0.575000,5000.00000,1969.16809
