time[s],setpoint[RPM],velocity[RPM]
0.0,5000.0,3000.0
0.0050004167,5000.0,3001.2986
0.010000833,5000.0,3003.266
0.01500125,5000.0,3006.299
0.020001667,5000.0,3010.671
0.025002083,5000.0,3016.4612
0.0300025,5000.0,3023.7698
0.035002917,5000.0,3032.5134
0.040003333,5000.0,3042.569
0.04500375,5000.0,3053.8115
0.050004166,5000.0,3066.1309
0.055004586,5000.0,3079.415
0.060005,5000.0,3093.5461
0.065005414,5000.0,3108.433
0.070005834,5000.0,3124.0051
0.075006254,5000.0,3140.1619
0.08000667,5000.0,3156.7795
0.08500709,5000.0,3173.7473
0.0900075,5000.0,3190.9692
0.09500792,5000.0,3208.3699
0.10000833,5000.0,3225.8933
0.10500875,5000.0,3243.4995
0.11000917,5000.0,3261.1602
0.11500958,5000.0,3278.8555
0.12001,5000.0,3296.572
0.12501042,5000.0,3314.301
0.13001083,5000.0,3332.0361
0.13501126,5000.0,3349.7732
0.14001167,5000.0,3367.509
0.14501208,5000.0,3385.242
0.15001251,5000.0,3402.9702
0.15501292,5000.0,3420.6934
0.16001333,5000.0,3438.41
0.16501375,5000.0,3456.1199
0.17001417,5000.0,3473.8225
0.17501459,5000.0,3491.5173
0.180015,5000.0,3509.204
0.18501543,5000.0,3526.8823
0.19001584,5000.0,3544.552
0.19501625,5000.0,3562.2126
0.20001666,5000.0,3579.864
0.20501709,5000.0,3597.5059
0.2100175,5000.0,3615.138
0.21501791,5000.0,3632.7607
0.22001834,5000.0,3650.3743
0.22501875,5000.0,3667.9788
0.23001917,5000.0,3685.575
0.23501958,5000.0,3703.1626
0.24002,5000.0,3720.7424
0.24502042,5000.0,3738.3147
0.25002083,5000.0,3755.8796
0.25502124,5000.0,3773.4375
0.26002166,5000.0,3790.9883
0.2650221,5000.0,3808.5322
0.2700225,5000.0,3826.069
0.27502292,5000.0,3843.599
0.28002334,5000.0,3861.122
0.28502375,5000.0,3878.638
0.29002416,5000.0,3896.1467
0.29502457,5000.0,3913.6482
0.30002502,5000.0,3931.142
0.30502543,5000.0,3948.6284
0.31002584,5000.0,3966.1074
0.31502625,5000.0,3983.5784
0.32002667,5000.0,4001.0415
0.32502708,5000.0,4018.4966
0.3300275,5000.0,4035.9434
0.33502793,5000.0,4053.382
0.34002835,5000.0,4070.8123
0.34502876,5000.0,4088.234
0.35002917,5000.0,4105.647
0.35502958,5000.0,4123.051
0.36003,5000.0,4140.4463
0.3650304,5000.0,4157.832
0.37003085,5000.0,4175.209
0.37503126,5000.0,4192.5757
0.38003168,5000.0,4209.933
0.3850321,5000.0,4227.2803
0.3900325,5000.0,4244.617
0.3950329,5000.0,4261.9443
0.40003332,5000.0,4279.2607
0.40503377,5000.0,4296.567
0.41003418,5000.0,4313.863
0.4150346,5000.0,4331.148
0.420035,5000.0,4348.423
0.42503542,5000.0,4365.6875
0.43003583,5000.0,4382.942
0.43503624,5000.0,4400.186
0.44003668,5000.0,4417.421
0.4450371,5000.0,4434.6465
0.4500375,5000.0,4451.864
0.45503792,5000.0,4469.0728
0.46003833,5000.0,4486.2744
0.46503875,5000.0,4503.4697
0.47003916,5000.0,4520.66
0.4750396,5000.0,4537.8467
0.48004,5000.0,4555.0312
0.48504043,5000.0,4572.215
0.49004084,5000.0,4589.4004
0.49504125,5000.0,4606.59
0.50004166,5000.0,4623.7856
0.5050421,5000.0,4640.9907
0.5100425,5000.0,4658.209
0.5150429,5000.0,4675.4424
0.5200433,5000.0,4692.696
0.5250437,5000.0,4709.9717
0.5300442,5000.0,4727.276
0.5350446,5000.0,4744.612
0.540045,5000.0,4761.9854
0.54504544,5000.0,4779.4
0.55004585,5000.0,4796.859
0.55504626,5000.0,4814.3623
0.5600467,5000.0,4831.9033
0.5650471,5000.0,4849.461
0.5700475,5000.0,4866.9785
0.5750479,5000.0,4884.3433
0.5800483,5000.0,4901.3975
0.58504874,5000.0,4917.896
0.59004915,5000.0,4933.451
0.59504956,5000.0,4947.62
0.60005003,5000.0,4960.3335
0.60505044,5000.0,4971.619
0.61005086,5000.0,4981.5645
0.61505127,5000.0,4990.2734
0.6200517,5000.0,4997.786
0.6250521,5000.0,5004.1064
0.6300525,5000.0,5009.3174
0.6350529,5000.0,5013.464
0.64005333,5000.0,5016.578
0.64505374,5000.0,5018.6987
0.65005416,5000.0,5019.8247
0.65505457,5000.0,5020.1387
0.660055,5000.0,5019.843
0.6650554,5000.0,5019.071
0.67005587,5000.0,5017.918
0.6750563,5000.0,5016.445
0.6800567,5000.0,5014.702
