time[s],setpoint[RPM],velocity[RPM]
   0.00155,0.0,0.0
   0.00572,5004.3,0.0
   0.01087,5008.6,-1.1
   0.01588,5012.9,-2.0
   0.02077,5017.2,-4.1
   0.02579,5021.5,-7.3
   0.03085,5025.8,-10.6
   0.03586,5030.1,-11.3
   0.04077,5034.4,-11.1
   0.04580,5038.7,0.7
   0.05089,5043.0,0.1
   0.05581,5047.2,-1.4
   0.06078,5051.5,-5.0
   0.06582,5055.8,-8.7
   0.07088,5060.1,-11.7
   0.07579,5064.4,-13.7
   0.08078,5068.7,-14.4
   0.08588,5073.0,-17.3
   0.09088,5077.3,-19.3
   0.09584,5081.6,-21.3
   0.10078,5085.9,-21.7
   0.10589,5090.2,-22.0
   0.11088,5094.5,-21.7
   0.11588,5098.8,-21.6
   0.12079,5103.1,-0.1
   0.12579,5107.4,-0.1
   0.13080,5111.7,-1.0
   0.13581,5116.0,-2.0
   0.14080,5120.3,-2.6
   0.14581,5124.6,-4.6
   0.15081,5128.9,-40.0
   0.15580,5133.1,5.9
   0.16081,5137.4,19.0
   0.16581,5141.7,31.3
   0.17079,5146.0,38.7
   0.17579,5150.3,0.7
   0.18078,5154.6,-17.4
   0.18579,5158.9,9.7
   0.19081,5163.2,23.6
   0.19581,5167.5,-1.1
   0.20077,5171.8,-13.9
   0.20577,5176.1,8.1
   0.21081,5180.4,2.7
   0.21582,5184.7,-10.6
   0.22080,5189.0,13.4
   0.22580,5193.3,-10.3
   0.23078,5197.6,-4.0
   0.23578,5201.9,6.1
   0.24077,5206.2,-4.1
   0.24580,5210.5,2.3
   0.25082,5214.8,0.6
   0.25578,5219.1,21.7
   0.26081,5223.3,20.9
   0.26578,5227.6,21.1
   0.27081,5231.9,22.6
   0.27578,5236.2,24.0
   0.28078,5240.5,26.4
   0.28585,5244.8,30.3
   0.29086,5249.1,34.6
   0.29578,5253.4,39.0
   0.30078,5257.7,43.0
   0.30586,5262.0,49.0
   0.31080,5266.3,56.3
   0.31582,5270.6,61.9
   0.32079,5274.9,68.9
   0.32581,5279.2,76.9
   0.33081,5283.5,85.4
   0.33584,5287.8,92.0
   0.34088,5292.1,100.9
   0.34585,5296.4,110.9
   0.35080,5300.7,118.6
   0.35581,5305.0,128.3
   0.36081,5309.3,136.4
   0.36579,5313.5,146.4
   0.37083,5317.8,156.3
   0.37578,5322.1,165.0
   0.38080,5326.4,172.9
   0.38579,5330.7,179.1
   0.39079,5335.0,186.3
   0.39578,5339.3,191.3
   0.40078,5343.6,196.6
   0.40585,5347.9,202.3
   0.41084,5352.2,208.1
   0.41585,5356.5,204.0
   0.42078,5360.8,195.7
   0.42582,5365.1,194.0
   0.43088,5369.4,204.6
   0.43585,5373.7,226.7
   0.44082,5378.0,262.6
   0.44588,5382.3,310.4
   0.45082,5386.6,360.7
   0.45582,5390.9,418.0
   0.46080,5395.2,478.3
   0.46589,5399.4,544.7
   0.47088,5403.7,612.7
   0.47585,5408.0,683.1
   0.48081,5412.3,755.0
   0.48588,5416.6,831.1
   0.49088,5420.9,906.0
   0.49589,5425.2,982.7
   0.50080,5429.5,1060.0
   0.50588,5433.8,1141.3
   0.51081,5438.1,1218.7
   0.51582,5442.4,1297.7
   0.52079,5446.7,1373.4
   0.52582,5451.0,1446.9
   0.53087,5455.3,1517.9
   0.53588,5459.6,1583.9
   0.54080,5463.9,1644.7
   0.54581,5468.2,1702.1
   0.55081,5472.5,1754.7
   0.55586,5476.8,1804.3
   0.56080,5481.1,1848.4
   0.56589,5485.4,1889.3
   0.57088,5489.6,1926.0
   0.57588,5493.9,1958.9
   0.58086,5498.2,1988.7
   0.58589,5502.5,2014.7
   0.59089,5506.8,2039.4
   0.59589,5511.1,2062.4
   0.60080,5515.4,2081.3
   0.60588,5519.7,2100.6
   0.61088,5524.0,2117.4
   0.61589,5528.3,2133.4
   0.62080,5532.6,2148.4
