time[s],setpoint[RPM],velocity[RPM]
   0.00157,0.0,0.0
   0.00581,5118.0,0.0
   0.01087,5116.3,-0.4
   0.01587,5114.2,-1.0
   0.02093,5110.2,-2.6
   0.02587,5105.9,-4.3
   0.03092,5101.8,-5.1
   0.03596,5097.0,-7.7
   0.04091,5077.9,-10.6
   0.04587,5073.2,-13.7
   0.05091,5068.5,-15.9
   0.05595,5063.7,-19.9
   0.06094,5060.7,-22.3
   0.06587,5058.3,-23.9
   0.07098,5057.1,-25.3
   0.07597,5057.3,-25.0
   0.08097,5058.9,-25.0
   0.08587,5064.9,-25.1
   0.09092,5070.1,-11.4
   0.09590,5090.9,0.7
   0.10088,5103.1,-0.3
   0.10587,5108.9,-1.7
   0.11090,5120.8,-2.9
   0.11590,5144.8,-3.1
   0.12097,5155.6,-3.0
   0.12588,5166.6,-3.4
   0.13091,5177.4,-4.6
   0.13588,5183.2,-5.4
   0.14092,5194.5,-6.4
   0.14588,5199.9,-7.0
   0.15088,5202.9,-34.0
   0.15590,5232.4,1.1
   0.16087,5233.3,12.0
   0.16587,5228.4,11.6
   0.17086,5220.6,12.9
   0.17586,5209.0,21.1
   0.18085,5195.0,35.1
   0.18585,5181.7,53.1
   0.19086,5167.8,69.7
   0.19586,5154.7,98.0
   0.20085,5141.7,156.9
   0.20586,5125.6,184.7
   0.21086,5123.3,218.0
   0.21586,5108.7,259.3
   0.22086,5101.2,306.3
   0.22586,5097.5,356.4
   0.23125,5095.2,412.7
   0.23589,5096.6,463.4
   0.24085,5095.6,516.6
   0.24585,5108.5,570.3
   0.25089,5112.8,623.9
   0.25586,5180.0,675.4
   0.26087,5190.4,724.6
   0.26589,5200.3,772.4
   0.27096,5210.7,817.3
   0.27592,5366.7,858.7
   0.28091,5375.8,899.0
   0.28588,5384.4,935.6
   0.29091,5388.2,969.3
   0.29586,5439.9,1001.3
   0.30091,5442.4,1030.4
   0.30588,5446.0,1058.3
   0.31089,5447.0,1083.6
   0.31589,5401.2,1107.3
   0.32096,5398.0,1129.3
   0.32588,5392.9,1149.0
   0.33089,5385.9,1168.3
   0.33588,5378.6,1186.7
   0.34090,5369.3,1204.4
   0.34586,5360.6,1220.7
   0.35089,5349.8,1236.9
   0.35590,5383.2,1252.6
   0.36090,5372.1,1268.1
   0.36779,5361.5,1288.4
   0.37200,5350.9,1301.6
   0.37617,5416.0,1314.3
   0.38086,5408.6,1328.0
   0.38587,5402.3,1343.1
   0.39091,5397.9,1358.3
   0.39589,5395.4,1373.6
   0.40089,5394.2,1389.3
   0.40590,5394.8,1405.0
   0.41094,5396.3,1421.1
   0.41593,5383.4,1437.3
   0.42094,5387.1,1453.6
   0.42587,5390.2,1469.9
   0.43096,5393.9,1486.9
   0.43589,5369.0,1503.6
   0.44096,5372.5,1521.1
   0.44588,5375.9,1537.6
   0.45095,5380.0,1555.1
   0.45596,5380.0,1572.6
