time[s],setpoint[RPM],velocity[RPM]
  0.005000,0.00000,0.00000
  0.005000,5117.95117,-0.02829
  0.010000,5117.95117,-0.02829
  0.015000,5117.95117,-0.02829
  0.020000,5116.29492,17.55036
  0.025000,5114.20361,35.13547
  0.030000,5110.23975,70.30365
  0.035000,5105.93213,70.30365
  0.040000,5101.77734,87.89361
  0.045000,5096.99316,123.07313
  0.050000,5077.88965,140.65738
  0.055000,5073.21387,140.65738
  0.060000,5068.51709,175.82162
  0.065000,5060.66943,193.39626
  0.070000,5060.66943,193.39626
  0.075000,5058.33154,210.97774
  0.080000,5057.13428,246.11305
  0.085000,5057.33301,246.11305
  0.090000,5058.85059,281.30365
  0.095000,5064.92041,298.88504
  0.100000,5090.88232,316.47144
  0.105000,5090.88232,334.05096
  0.110000,5103.08105,351.63654
  0.115000,5108.94287,351.63654
  0.120000,5144.77783,386.79285
  0.125000,5144.77783,404.37335
  0.130000,5155.63379,421.95642
  0.135000,5166.59229,421.95642
  0.140000,5177.43652,457.11279
  0.145000,5194.47754,474.70096
  0.150000,5199.90283,474.70096
  0.155000,5202.85303,509.87976
  0.160000,5232.44629,527.46344
  0.165000,5232.44629,527.46344
  0.170000,5228.38721,562.62445
  0.175000,5220.63672,580.19922
  0.180000,5208.95215,597.78046
  0.185000,5194.99170,615.36719
  0.190000,5194.99170,632.93390
  0.195000,5167.78271,650.52148
  0.200000,5154.74365,668.10193
  0.205000,5154.74365,668.10193
  0.210000,5141.74609,703.26727
  0.215000,5123.26270,720.84772
  0.220000,5123.26270,720.84772
  0.225000,5108.67041,756.01233
  0.230000,5097.53320,773.59180
  0.235000,5097.53320,773.59180
  0.240000,5095.15576,791.22272
  0.245000,5095.60645,826.31940
  0.250000,5108.48389,843.90076
  0.255000,5108.48389,843.90076
  0.260000,5180.02490,879.07452
  0.265000,5180.02490,879.07452
  0.270000,5200.27783,914.23828
  0.275000,5200.27783,931.79816
  0.280000,5366.66309,949.37903
  0.285000,5366.66309,949.37903
  0.290000,5375.82275,966.97668
  0.295000,5388.24414,1002.12408
  0.300000,5388.24414,1002.12408
  0.305000,5439.93115,1019.73499
  0.310000,5446.02100,1054.90662
  0.315000,5446.96533,1072.48914
  0.320000,5446.96533,1072.48914
  0.325000,5398.02930,1107.64819
  0.330000,5392.92480,1125.15735
  0.335000,5392.92480,1125.15735
  0.340000,5378.60645,1160.40613
  0.345000,5369.30518,1177.99146
  0.350000,5360.58594,1195.56299
  0.355000,5360.58594,1195.56299
  0.360000,5383.21436,1230.73181
  0.365000,5372.08838,1248.29419
  0.370000,5372.08838,1248.29419
  0.375000,5361.45410,1283.46716
  0.380000,5415.97998,1301.05872
  0.385000,5415.97998,1301.05872
  0.390000,5402.30078,1318.64246
  0.395000,5397.93848,1353.80420
  0.400000,5397.93848,1353.80420
  0.405000,5394.21045,1371.37903
  0.410000,5394.75586,1406.43799
  0.415000,5396.31689,1424.10132
  0.420000,5396.31689,1424.10132
  0.425000,5387.06299,1459.28809
  0.430000,5390.18115,1476.86938
  0.435000,5390.18115,1476.86938
  0.440000,5393.88281,1494.45801
  0.445000,5372.50586,1529.61609
  0.450000,5372.50586,1529.61609
  0.455000,5379.97803,1547.19348
  0.460000,5385.70605,1582.36426
  0.465000,5392.46777,1599.93494
  0.470000,5392.46777,1617.52393
  0.475000,5406.82275,1635.10327
  0.480000,5409.28369,1652.68079
  0.485000,5409.28369,1670.26868
  0.490000,5418.79102,1687.82532
  0.495000,5418.79102,1687.82532
  0.500000,5424.03613,1723.01892
  0.505000,5429.16016,1740.60278
  0.510000,5433.41504,1758.18579
  0.515000,5433.41504,1775.75989
  0.520000,5434.12305,1793.34204
  0.525000,5432.85254,1810.84631
  0.530000,5431.17188,1810.84631
  0.535000,5475.22852,1846.09888
  0.540000,5473.84717,1863.68433
  0.545000,5473.14209,1863.68433
  0.550000,5469.64551,1898.83765
  0.555000,5465.81982,1916.41858
  0.560000,5455.59766,1934.00195
  0.565000,5455.59766,1951.61658
  0.570000,5451.55957,1969.11963
  0.575000,5392.76904,1986.74280
  0.580000,5394.04883,1986.74280
  0.585000,5395.51221,2021.84192
  0.590000,5395.54395,2039.48840
  0.595000,5379.03125,2039.48840
  0.600000,5377.11621,2057.07837
  0.605000,5375.54248,2092.24219
  0.610000,5375.58740,2109.81641
  0.615000,5408.00391,2109.81641
  0.620000,5410.57959,2144.90454
  0.625000,5413.93945,2162.59473
  0.630000,5417.34229,2162.59473
  0.635000,5466.47412,2180.16748
  0.640000,5471.90723,2197.73291
  0.645000,5477.63672,2215.31396
  0.650000,5491.16650,2250.46924
  0.655000,5491.16650,2250.46924
  0.660000,5499.02051,2285.63086
  0.665000,5497.85303,2303.22803
  0.670000,5527.07520,2320.81445
  0.675000,5525.30615,2338.39331
  0.680000,5524.14697,2355.97705
  0.685000,5520.89258,2373.54785
  0.690000,5538.77295,2373.54785
  0.695000,5533.16992,2408.71851
  0.700000,5525.58545,2426.28394
  0.705000,5516.84473,2426.28394
  0.710000,5506.24854,2461.45044
  0.715000,5502.59375,2479.02734
