time[s],setpoint[RPM],velocity[RPM]
  0.000000,0.00000,0.00000
  0.000000,5118.04346,-0.23646
  0.005000,5118.04346,-0.23646
  0.010000,5118.04346,-0.23646
  0.015000,5117.95117,-0.36111
  0.020000,5116.29492,2.07151
  0.025000,5114.20361,5.19744
  0.030000,5110.23975,9.21957
  0.035000,5105.93213,13.93890
  0.040000,5101.77734,18.99230
  0.045000,5096.99316,24.36202
  0.050000,5077.88965,29.89648
  0.055000,5073.21387,35.53708
  0.060000,5063.66699,41.39774
  0.065000,5063.66699,47.30510
  0.070000,5060.66943,53.29428
  0.075000,5058.33154,59.33832
  0.080000,5057.13428,65.42027
  0.085000,5057.33301,71.54284
  0.090000,5058.85059,77.70079
  0.095000,5064.92041,83.87149
  0.100000,5070.14062,90.07372
  0.105000,5090.88232,96.28666
  0.110000,5103.08105,102.50751
  0.115000,5108.94287,108.70626
  0.120000,5120.81592,114.88207
  0.125000,5144.77783,121.04918
  0.130000,5155.63379,127.19124
  0.135000,5166.59229,133.17545
  0.140000,5177.43652,139.31206
  0.145000,5183.20752,145.36070
  0.150000,5194.47754,151.39191
  0.155000,5199.90283,157.40459
  0.160000,5202.85303,163.38017
  0.165000,5232.44629,169.34213
  0.170000,5233.31543,175.29755
  0.175000,5228.38721,181.18797
  0.180000,5220.63672,187.07948
  0.185000,5208.95215,192.97041
  0.190000,5194.99170,198.89088
  0.195000,5181.66309,204.83421
  0.200000,5167.78271,210.82364
  0.205000,5154.74365,216.86121
  0.210000,5141.74609,222.95311
  0.215000,5125.59082,229.10716
  0.220000,5123.26270,235.33003
  0.225000,5108.67041,241.61050
  0.230000,5101.16504,247.95277
  0.235000,5097.53320,254.36259
  0.240000,5095.15576,260.82593
  0.245000,5096.64258,267.34027
  0.250000,5095.60645,273.86514
  0.255000,5108.48389,280.46741
  0.260000,5112.80566,287.08521
  0.265000,5180.02490,293.71118
  0.270000,5190.38770,300.35101
  0.275000,5200.27783,306.89001
  0.280000,5210.72119,313.42935
  0.285000,5375.82275,319.89719
  0.290000,5384.43164,326.22617
  0.295000,5384.43164,332.40250
  0.300000,5388.24414,332.40250
  0.305000,5442.41650,344.34601
  0.310000,5446.02100,350.18866
  0.315000,5446.96533,355.90735
  0.320000,5401.23389,361.57654
  0.325000,5398.02930,372.82602
  0.330000,5398.02930,372.82602
  0.335000,5385.93164,378.47717
  0.340000,5385.93164,384.15790
  0.345000,5378.60645,389.88089
  0.350000,5369.30518,395.63828
  0.355000,5360.58594,401.44907
  0.360000,5349.82373,407.30795
  0.365000,5383.21436,413.21945
  0.370000,5372.08838,419.11014
  0.375000,5350.85889,425.09790
  0.380000,5350.85889,431.08099
  0.385000,5415.97998,437.16794
  0.390000,5408.55127,443.16708
  0.395000,5397.93848,449.14374
  0.400000,5397.93848,455.12067
  0.405000,5395.37061,461.09869
  0.410000,5394.21045,467.09024
  0.415000,5394.75586,473.09845
  0.420000,5396.31689,479.12570
  0.425000,5383.42236,485.09564
  0.430000,5390.18115,491.19992
  0.435000,5390.18115,497.30878
  0.440000,5393.88281,503.44421
  0.445000,5368.95508,509.59845
  0.450000,5372.50586,515.75970
  0.455000,5375.88916,521.97601
  0.460000,5379.97803,528.20953
  0.465000,5392.46777,534.46741
  0.470000,5392.46777,540.74176
  0.475000,5401.05811,547.02924
  0.480000,5409.28369,553.31079
  0.485000,5409.28369,559.59784
  0.490000,5413.19580,565.88293
  0.495000,5418.79102,572.16742
  0.500000,5424.03613,578.45544
  0.505000,5429.16016,584.74615
  0.510000,5433.41504,591.03625
  0.515000,5433.41504,597.32336
  0.520000,5434.12305,603.61877
  0.525000,5431.17188,609.91339
  0.530000,5431.17188,616.21350
  0.535000,5475.22852,622.52905
  0.540000,5473.84717,628.78876
  0.545000,5473.14209,635.14551
  0.550000,5469.64551,641.41547
  0.555000,5465.81982,647.69989
  0.560000,5455.59766,653.97626
  0.565000,5451.55957,660.26727
  0.570000,5451.55957,666.59192
  0.575000,5394.04883,672.92468
  0.580000,5395.51221,679.30164
  0.585000,5395.54395,685.81140
  0.590000,5379.03125,692.36725
  0.595000,5377.11621,698.93896
  0.600000,5377.11621,705.60938
  0.605000,5375.58740,712.35193
  0.610000,5375.58740,719.13129
  0.615000,5408.00391,725.93457
  0.620000,5410.57959,732.80927
  0.625000,5413.93945,739.64252
  0.630000,5417.34229,746.49017
  0.635000,5466.47412,753.33173
  0.640000,5471.90723,760.21808
  0.645000,5484.10498,766.92529
  0.650000,5484.10498,773.65875
  0.655000,5495.61816,780.36139
  0.660000,5495.61816,787.03748
  0.665000,5499.02051,793.71088
  0.670000,5497.85303,800.37048
  0.675000,5527.07520,806.93494
  0.680000,5525.30615,813.65381
  0.685000,5524.14697,820.28168
  0.690000,5520.89258,826.92346
  0.695000,5538.77295,833.56873
  0.700000,5533.16992,840.21338
  0.705000,5525.58545,846.84772
