time[s],setpoint[RPM],velocity[RPM]
   0.00185,0.0,0.0
   0.00600,5000.0,-0.4
   0.01107,5000.0,0.0
   0.01607,5000.0,0.0
   0.02107,5000.0,0.4
   0.02610,5000.0,1.0
   0.03109,5000.0,1.7
   0.03610,5000.0,3.3
   0.04106,5000.0,4.7
   0.04606,5000.0,6.9
   0.05109,5000.0,9.0
   0.05609,5000.0,11.3
   0.06106,5000.0,13.0
   0.06610,5000.0,14.3
   0.07110,5000.0,16.6
   0.07606,5000.0,19.0
   0.08110,5000.0,19.3
   0.08606,5000.0,21.1
   0.09106,5000.0,21.1
   0.09606,5000.0,-0.4
   0.10108,5000.0,0.6
   0.10606,5000.0,2.4
   0.11106,5000.0,4.0
   0.11607,5000.0,6.3
   0.12106,5000.0,7.4
   0.12606,5000.0,3.4
   0.13106,5000.0,0.0
   0.13607,5000.0,0.9
   0.14106,5000.0,1.6
   0.14606,5000.0,2.3
   0.15109,5000.0,-37.7
   0.15606,5000.0,-7.3
   0.16109,5000.0,9.6
   0.16609,5000.0,12.6
   0.17110,5000.0,-1.4
   0.17606,5000.0,-10.7
   0.18108,5000.0,4.6
   0.18609,5000.0,12.7
   0.19110,5000.0,21.6
   0.19606,5000.0,29.4
   0.20108,5000.0,2.9
   0.20610,5000.0,3.1
   0.21107,5000.0,3.4
   0.21610,5000.0,10.3
   0.22107,5000.0,13.4
   0.22607,5000.0,-0.4
   0.23107,5000.0,-7.0
   0.23607,5000.0,-9.9
   0.24107,5000.0,9.9
   0.24606,5000.0,15.9
   0.25107,5000.0,20.4
   0.25607,5000.0,44.3
   0.26106,5000.0,42.0
   0.26608,5000.0,40.7
   0.27110,5000.0,40.6
   0.27606,5000.0,41.4
   0.28110,5000.0,42.7
   0.28606,5000.0,45.1
   0.29106,5000.0,47.6
   0.29606,5000.0,51.4
   0.30107,5000.0,56.3
   0.30606,5000.0,60.6
   0.31107,5000.0,66.3
   0.31607,5000.0,72.7
   0.32109,5000.0,77.9
   0.32607,5000.0,84.9
   0.33111,5000.0,91.6
   0.33606,5000.0,99.7
   0.34107,5000.0,108.1
   0.34607,5000.0,116.9
   0.35110,5000.0,127.4
   0.35607,5000.0,135.4
   0.36109,5000.0,145.0
   0.36649,5000.0,154.6
   0.37109,5000.0,163.1
   0.37606,5000.0,170.1
   0.38107,5000.0,177.4
   0.38610,5000.0,184.9
   0.39110,5000.0,189.1
   0.39606,5000.0,195.7
   0.40106,5000.0,202.0
   0.40610,5000.0,207.9
   0.41106,5000.0,212.3
   0.41606,5000.0,210.6
   0.42107,5000.0,211.7
   0.42606,5000.0,220.0
   0.43107,5000.0,241.7
   0.43607,5000.0,251.3
   0.44106,5000.0,271.7
   0.44606,5000.0,301.7
   0.45107,5000.0,343.3
   0.45606,5000.0,392.9
   0.46107,5000.0,448.6
   0.46609,5000.0,511.7
   0.47106,5000.0,574.1
   0.47607,5000.0,644.6
   0.48107,5000.0,714.7
   0.48607,5000.0,789.6
   0.49106,5000.0,865.3
   0.49607,5000.0,944.4
   0.50107,5000.0,1024.7
   0.50606,5000.0,1105.7
   0.51106,5000.0,1186.7
   0.51607,5000.0,1269.6
   0.52106,5000.0,1349.0
   0.52606,5000.0,1425.9
   0.53108,5000.0,1500.9
   0.53607,5000.0,1572.4
   0.54107,5000.0,1637.3
   0.54606,5000.0,1699.0
   0.55107,5000.0,1756.6
   0.55606,5000.0,1809.3
   0.56106,5000.0,1857.0
   0.56607,5000.0,1901.9
   0.57107,5000.0,1941.1
   0.57606,5000.0,1976.7
   0.58107,5000.0,2009.6
   0.58606,5000.0,2038.6
   0.59106,5000.0,2064.1
   0.59606,5000.0,2088.3
   0.60106,5000.0,2110.1
   0.60609,5000.0,2128.9
   0.61106,5000.0,2147.6
   0.61607,5000.0,2163.3
   0.62106,5000.0,2178.9
   0.62608,5000.0,2194.0
   0.63106,5000.0,2207.6
   0.63606,5000.0,2221.6
   0.64106,5000.0,2234.9
   0.64606,5000.0,2247.9
   0.65107,5000.0,2261.3
   0.65606,5000.0,2274.6
   0.66107,5000.0,2288.1
   0.66609,5000.0,2301.9
   0.67107,5000.0,2315.9
   0.67606,5000.0,2330.3
   0.68110,5000.0,2345.1
   0.68606,5000.0,2359.9
   0.69109,5000.0,2375.3
   0.69609,5000.0,2391.0
   0.70107,5000.0,2406.7
   0.70606,5000.0,2423.3
   0.71106,5000.0,2439.6
   0.71608,5000.0,2456.4
   0.72106,5000.0,2473.4
   0.72606,5000.0,2490.4
   0.73108,5000.0,2508.0
   0.73607,5000.0,2525.4
   0.74106,5000.0,2543.0
   0.74610,5000.0,2561.3
   0.75112,5000.0,2578.6
   0.75606,5000.0,2596.6
   0.76107,5000.0,2614.6
   0.76608,5000.0,2632.6
   0.77107,5000.0,2650.6
   0.77606,5000.0,2669.0
   0.78107,5000.0,2686.7
   0.78607,5000.0,2704.7
   0.79107,5000.0,2723.1
   0.79607,5000.0,2740.9
