time[s],setpoint[RPM],velocity[RPM]
   0.00188,0.0,183.7
   0.00604,5001.6,183.3
   0.01111,5003.2,180.4
   0.01610,5004.9,177.7
   0.02110,5006.5,173.6
   0.02613,5008.1,169.0
   0.03109,5009.7,165.1
   0.03612,5011.3,159.6
   0.04115,5012.9,155.0
   0.04610,5014.6,150.4
   0.05110,5016.2,144.9
   0.05613,5017.8,138.7
   0.06113,5019.4,133.3
   0.06610,5021.0,128.6
   0.07112,5022.7,123.4
   0.07610,5024.3,118.1
   0.08110,5025.9,112.6
   0.08610,5027.5,94.1
   0.09109,5029.1,80.7
   0.09609,5030.8,67.3
   0.10114,5032.4,-23.7
   0.10614,5034.0,-1.6
   0.11109,5035.6,15.9
   0.11614,5037.2,23.4
   0.12109,5038.8,30.6
   0.12614,5040.5,33.6
   0.13110,5042.1,0.9
   0.13613,5043.7,-3.9
   0.14113,5045.3,4.1
   0.14610,5046.9,10.3
   0.15109,5048.6,11.3
   0.15613,5050.2,-3.1
   0.16113,5051.8,-7.4
   0.16613,5053.4,3.4
   0.17111,5055.0,10.7
   0.17642,5056.7,18.1
   0.18110,5058.3,19.6
   0.18688,5059.9,3.7
   0.19110,5061.5,7.6
   0.19610,5063.1,13.7
   0.20110,5064.7,17.7
   0.20610,5066.4,42.1
   0.21110,5068.0,40.6
   0.21611,5069.6,38.9
   0.22112,5071.2,38.3
   0.22610,5072.8,38.4
   0.23110,5074.5,39.7
   0.23676,5076.1,41.9
   0.24107,5077.7,44.0
   0.24610,5079.3,47.4
   0.25110,5080.9,51.3
   0.25610,5082.6,55.9
   0.26110,5084.2,61.0
   0.26610,5085.8,67.0
   0.27111,5087.4,72.0
   0.27611,5089.0,78.9
   0.28113,5090.6,85.4
   0.28610,5092.3,93.0
   0.29110,5093.9,99.4
   0.29610,5095.5,105.3
   0.30110,5097.1,114.1
   0.30611,5098.7,123.3
   0.31110,5100.4,132.0
   0.31610,5102.0,141.9
   0.32112,5103.6,151.1
   0.32614,5105.2,157.9
   0.33112,5106.8,163.4
   0.33610,5108.5,171.0
   0.34110,5110.1,176.1
   0.34614,5111.7,182.7
   0.35110,5113.3,189.9
   0.35610,5114.9,193.4
   0.36110,5116.5,199.4
   0.36610,5118.2,202.4
   0.37111,5119.8,217.6
   0.37610,5121.4,232.0
   0.38112,5123.0,259.9
   0.38611,5124.6,298.1
   0.39110,5126.3,348.3
   0.39611,5127.9,402.1
   0.40110,5129.5,463.4
   0.40610,5131.1,529.0
   0.41110,5132.7,598.3
   0.41610,5134.4,672.3
   0.42113,5136.0,745.4
   0.42610,5137.6,824.4
   0.43110,5139.2,901.6
   0.43611,5140.8,982.3
   0.44111,5142.4,1065.0
   0.44610,5144.1,1147.4
   0.45110,5145.7,1229.4
   0.45611,5147.3,1308.9
   0.46110,5148.9,1386.6
   0.46610,5150.5,1460.1
   0.47112,5152.2,1531.6
   0.47610,5153.8,1596.4
   0.48110,5155.4,1658.6
   0.48610,5157.0,1714.6
   0.49110,5158.6,1768.0
   0.49610,5160.3,1814.4
   0.50112,5161.9,1858.1
   0.50610,5163.5,1896.9
   0.51109,5165.1,1932.6
   0.51611,5166.7,1964.3
   0.52113,5168.3,1992.9
   0.52610,5170.0,2018.1
   0.53110,5171.6,2042.3
   0.53610,5173.2,2062.4
   0.54111,5174.8,2081.3
   0.54610,5176.4,2099.4
   0.55110,5178.1,2115.4
   0.55611,5179.7,2130.4
   0.56113,5181.3,2145.1
   0.56610,5182.9,2159.0
   0.57112,5184.5,2172.4
   0.57610,5186.2,2185.9
   0.58110,5187.8,2199.3
   0.58611,5189.4,2212.0
   0.59110,5191.0,2225.6
   0.59613,5192.6,2239.1
   0.60110,5194.2,2253.1
   0.60611,5195.9,2267.1
   0.61109,5197.5,2281.3
   0.61613,5199.1,2296.0
   0.62113,5200.7,2310.9
   0.62645,5202.3,2327.4
   0.63109,5204.0,2342.1
   0.63611,5205.6,2358.0
   0.64112,5207.2,2374.1
   0.64610,5208.8,2390.7
   0.65112,5210.4,2407.4
   0.65613,5212.0,2425.0
   0.66113,5213.7,2441.6
   0.66614,5215.3,2459.0
   0.67111,5216.9,2476.6
   0.67610,5218.5,2494.4
   0.68110,5220.1,2511.9
   0.68612,5221.8,2529.6
   0.69110,5223.4,2547.6
   0.69613,5225.0,2565.6
   0.70113,5226.6,2583.4
   0.70611,5228.2,2601.4
   0.71110,5229.9,2619.7
   0.71610,5231.5,2637.4
   0.72113,5233.1,2655.6
   0.72610,5234.7,2673.4
   0.73110,5236.3,2691.1
   0.73611,5237.9,2709.7
   0.74111,5239.6,2727.3
   0.74610,5241.2,2745.0
   0.75110,5242.8,2763.3
   0.75611,5244.4,2781.0
   0.76110,5246.0,2798.9
   0.76608,5247.7,2816.3
   0.77112,5249.3,2834.3
   0.77610,5250.9,2852.0
   0.78110,5252.5,2869.6
   0.78613,5254.1,2887.7
   0.79110,5255.8,2905.0
   0.79610,5257.4,2922.6
   0.80110,5259.0,2940.6
   0.80610,5260.6,2958.0
   0.81110,5262.2,2975.4
   0.81610,5263.8,2993.6
   0.82111,5265.5,3010.9
   0.82610,5267.1,3028.4
   0.83110,5268.7,3045.9
   0.83611,5270.3,3063.4
   0.84111,5271.9,3081.0
   0.84610,5273.6,3099.0
   0.85110,5275.2,3116.3
   0.85611,5276.8,3133.7
   0.86110,5278.4,3151.4
   0.86610,5280.0,3168.9
   0.87114,5281.7,3186.7
   0.87610,5283.3,3203.9
   0.88110,5284.9,3221.6
   0.88611,5286.5,3239.0
   0.89110,5288.1,3256.6
   0.89613,5289.7,3274.3
   0.90113,5291.4,3291.9
   0.90611,5293.0,3309.6
   0.91110,5294.6,3326.9
   0.91613,5296.2,3344.4
   0.92112,5297.8,3362.1
   0.92610,5299.5,3379.7
   0.93110,5301.1,3397.3
   0.93610,5302.7,3415.1
   0.94113,5304.3,3432.3
   0.94610,5305.9,3449.7
   0.95110,5307.6,3467.6
   0.95610,5309.2,3485.0
   0.96110,5310.8,3502.3
   0.96610,5312.4,3519.7
   0.97111,5314.0,3537.3
   0.97610,5315.6,3554.4
