time[s],setpoint[RPM],velocity[RPM]
   0.00205,0.0,0.0
   0.00621,4071.6,0.0
   0.01128,4071.6,0.0
   0.01630,4072.1,-0.9
   0.02128,4074.4,-1.6
   0.02631,4077.1,0.0
   0.03127,4079.7,0.1
   0.03627,4082.8,-0.1
   0.04130,4100.3,-1.1
   0.04631,4103.4,-1.6
   0.05130,4106.5,-0.3
   0.05627,4109.7,-2.0
   0.06129,4111.1,-3.1
   0.06631,4111.8,-3.1
   0.07127,4111.4,-5.0
   0.07631,4109.5,-8.3
   0.08127,4106.4,-12.9
   0.08627,4098.7,-15.1
   0.09130,4091.9,-15.0
   0.09627,4069.5,-14.7
   0.10130,4055.7,-16.9
   0.10627,4048.2,-15.9
   0.11127,4034.7,-17.0
   0.11630,4009.1,-19.9
   0.12128,4003.3,-20.3
   0.12627,4015.9,-21.3
   0.13127,4028.4,-22.6
   0.13628,4035.8,-20.9
   0.14127,4048.6,-23.0
   0.14627,4055.7,-23.7
   0.15127,4060.3,-51.4
   0.15627,4091.5,-1.0
   0.16127,4094.0,10.4
   0.16627,4090.6,14.6
   0.17127,4084.5,25.4
   0.17627,4074.4,44.4
   0.18127,4062.1,64.1
   0.18627,4050.4,105.0
   0.19128,4038.1,171.7
   0.19628,4026.7,201.9
   0.20127,4015.3,242.0
   0.20627,4000.8,288.0
   0.21130,4000.1,334.9
   0.21630,4012.9,384.1
   0.22127,4018.8,432.9
   0.22630,4020.8,484.1
   0.23130,4021.5,534.0
   0.23630,4018.4,583.1
   0.24130,4017.9,629.9
   0.24628,4003.4,675.7
   0.25129,4002.6,718.9
   0.25628,4071.4,760.0
   0.26128,4083.4,798.3
   0.26627,4094.9,835.1
   0.27128,4107.0,869.6
   0.27627,4264.5,901.6
   0.28127,4275.3,931.7
   0.28627,4285.5,959.7
   0.29127,4291.0,985.4
   0.29627,4344.3,1009.9
   0.30128,4348.4,1032.6
   0.30630,4353.6,1053.9
   0.31127,4356.2,1074.0
   0.31627,4312.1,1093.0
   0.32130,4310.5,1111.4
   0.32627,4307.0,1128.4
   0.33127,4301.6,1145.4
   0.33628,4295.9,1161.9
   0.34129,4288.2,1178.3
   0.34627,4281.1,1193.4
   0.35128,4272.0,1209.1
   0.35627,4307.0,1224.4
   0.36127,4297.5,1240.1
   0.36627,4288.5,1255.7
   0.37128,4279.5,1271.1
   0.37627,4346.2,1286.7
   0.38127,4340.4,1302.4
   0.38628,4335.8,1318.4
   0.39132,4333.0,1334.7
   0.39627,4332.1,1350.7
   0.40129,4332.5,1367.6
   0.40627,4334.7,1383.9
   0.41127,4337.9,1401.0
   0.41627,4326.6,1417.9
   0.42128,4331.9,1434.7
   0.42627,4336.6,1452.1
   0.43127,4341.9,1469.4
   0.43627,4318.6,1486.9
   0.44130,4323.8,1504.6
   0.44630,4328.8,1522.3
   0.45128,4334.5,1540.1
   0.45630,4341.9,1557.6
   0.46130,4350.2,1575.3
   0.46631,4360.4,1593.4
   0.47131,4367.8,1611.3
   0.47630,4371.9,1628.9
   0.48128,4377.4,1646.7
   0.48628,4384.6,1664.9
   0.49127,4391.5,1682.6
   0.49627,4398.3,1700.6
   0.50142,4401.5,1719.6
   0.50630,4405.7,1736.9
   0.51127,4408.1,1754.4
   0.51627,4408.4,1772.1
   0.52127,4408.4,1790.0
   0.52631,4454.0,1808.3
   0.53130,4454.3,1826.1
   0.53628,4455.2,1843.7
   0.54131,4453.3,1861.6
   0.54627,4451.1,1879.3
   0.55128,4446.9,1897.3
   0.55630,4444.1,1915.1
   0.56130,4441.7,1932.7
