time[s],setpoint[kRPM],velocity[kRPM]
0.00154,0.0,0.0
0.006762,5000.0,0.0
0.011907,5000.0,-1.14
0.017035,5000.0,-3.43
0.022223,5000.0,-7.29
0.027445,5000.0,-12.57
0.032614,5000.0,-15.71
0.037812,5000.0,-19.14
0.042993,5000.0,-23.14
0.048195,5000.0,-28.14
0.053408,5000.0,-31.43
0.058681,5000.0,-32.57
0.063858,5000.0,-31.86
0.069031,5000.0,-31.0
0.074216,5000.0,-30.14
0.07944,5000.0,-29.57
0.084628,5000.0,-28.29
0.089874,5000.0,-26.86
0.095099,5000.0,-22.43
0.100365,5000.0,0.0
0.105624,5000.0,-0.14
0.1109,5000.0,-0.57
0.116141,5000.0,-1.14
0.121417,5000.0,-1.43
0.126641,5000.0,-1.86
0.131925,5000.0,-2.14
0.137137,5000.0,-2.29
0.14237,5000.0,-2.43
0.147633,5000.0,-1.71
0.152889,5000.0,-35.29
0.158107,5000.0,0.71
0.163347,5000.0,12.71
0.168873,5000.0,19.29
0.174053,5000.0,2.71
0.179204,5000.0,0.0
0.184351,5000.0,6.57
0.189499,5000.0,11.0
0.19464,5000.0,12.71
0.199768,5000.0,13.86
0.204899,5000.0,17.43
0.210036,5000.0,24.43
0.21516,5000.0,32.14
0.220271,5000.0,35.71
0.225401,5000.0,4.57
0.230517,5000.0,12.57
0.235656,5000.0,17.0
0.240777,5000.0,19.14
0.245921,5000.0,20.14
0.251056,5000.0,21.29
0.256209,5000.0,44.43
0.261342,5000.0,42.0
0.266523,5000.0,40.71
0.271666,5000.0,40.43
0.27679,5000.0,41.0
0.281972,5000.0,41.71
0.287095,5000.0,43.86
0.292256,5000.0,46.57
0.297345,5000.0,49.14
0.302483,5000.0,53.14
0.307653,5000.0,57.86
0.312744,5000.0,63.43
0.317896,5000.0,69.71
0.323069,5000.0,74.0
0.328278,5000.0,80.57
0.333446,5000.0,87.29
0.338593,5000.0,92.86
0.343723,5000.0,100.86
0.348837,5000.0,107.0
0.353939,5000.0,116.0
0.359094,5000.0,125.71
0.364257,5000.0,135.57
0.369485,5000.0,144.71
0.374722,5000.0,153.0
0.379922,5000.0,161.0
0.385144,5000.0,168.0
0.390362,5000.0,174.86
0.395571,5000.0,181.57
0.400804,5000.0,188.86
0.405996,5000.0,194.86
0.411163,5000.0,200.86
0.416433,5000.0,125.14
0.421577,5000.0,2.57
0.426715,5000.0,19.29
0.431892,5000.0,24.14
0.437022,5000.0,23.29
0.442149,5000.0,5.71
0.447298,5000.0,-4.0
0.452408,5000.0,0.14
0.457525,5000.0,3.0
0.462639,5000.0,3.0
0.46776,5000.0,-1.71
0.472943,5000.0,-3.57
0.478069,5000.0,-4.43
0.483205,5000.0,-4.71
0.488352,5000.0,-4.43
0.493486,5000.0,0.29
0.498618,5000.0,0.71
0.503742,5000.0,-2.0
0.508846,5000.0,-3.57
0.513948,5000.0,-3.71
0.519056,5000.0,0.0
0.524192,5000.0,21.57
0.529324,5000.0,20.43
0.534463,5000.0,19.71
0.539584,5000.0,19.57
0.5447,5000.0,20.0
0.549853,5000.0,20.86
0.554969,5000.0,22.0
0.560118,5000.0,23.29
0.565247,5000.0,25.29
0.570394,5000.0,27.86
0.575548,5000.0,30.86
0.580668,5000.0,34.29
0.585797,5000.0,37.86
0.590922,5000.0,41.86
0.596043,5000.0,46.14
0.601189,5000.0,50.14
0.606387,5000.0,55.57
0.611557,5000.0,61.43
0.616824,5000.0,67.29
0.622068,5000.0,73.57
0.627256,5000.0,80.14
0.63248,5000.0,86.71
0.637795,5000.0,93.57
0.643024,5000.0,99.86
0.648218,5000.0,105.86
0.653462,5000.0,112.14
0.658751,5000.0,118.43
0.663976,5000.0,124.0
0.669194,5000.0,129.71
0.674395,5000.0,135.14
0.679626,5000.0,143.57
0.68484,5000.0,140.71
0.690026,5000.0,153.57
0.695201,5000.0,189.43
0.700364,5000.0,206.29
0.705526,5000.0,233.71
0.710732,5000.0,278.14
0.715854,5000.0,327.71
0.720958,5000.0,379.14
0.726081,5000.0,431.57
0.731238,5000.0,488.71
0.736394,5000.0,550.14
0.741523,5000.0,615.14
0.746681,5000.0,682.43
0.751904,5000.0,752.71
0.756997,5000.0,822.43
0.762164,5000.0,896.71
0.767279,5000.0,970.71
0.772442,5000.0,1047.71
0.777585,5000.0,1128.14
0.782879,5000.0,1209.71
0.788219,5000.0,1294.86
0.793473,5000.0,1380.0
0.798723,5000.0,1464.71
0.804224,5000.0,1556.43
0.809447,5000.0,1644.29
0.814624,5000.0,1731.86
0.819865,5000.0,1821.71
0.825092,5000.0,1912.29
0.830356,5000.0,2004.43
0.835593,5000.0,2095.71
0.840833,5000.0,2188.0
0.846072,5000.0,2281.43
0.851291,5000.0,2373.43
0.856595,5000.0,2465.14
0.86181,5000.0,2554.0
0.867246,5000.0,2643.71
0.872572,5000.0,2725.86
0.877771,5000.0,2801.86
0.883134,5000.0,2876.71
0.888439,5000.0,2943.43
0.893654,5000.0,3004.0
0.898917,5000.0,3060.57
0.9042,5000.0,3110.29
0.909409,5000.0,3155.14
0.914632,5000.0,3196.29
0.919879,5000.0,3232.0
0.925095,5000.0,3264.0
0.930297,5000.0,3292.43
0.935517,5000.0,3318.71
0.940791,5000.0,3341.86
0.94606,5000.0,3362.86
0.951272,5000.0,3381.43
0.956586,5000.0,3398.86
0.961786,5000.0,3415.0
0.967085,5000.0,3430.57
0.97235,5000.0,3445.0
0.977581,5000.0,3458.86
0.982834,5000.0,3472.71
0.988178,5000.0,3486.86
0.993375,5000.0,3500.29
0.998613,5000.0,3514.0
1.00398,4023.89,3528.57
1.009356,4023.89,3543.43
1.014599,4023.89,3557.71
1.019922,4023.89,3573.0
1.025215,4023.89,3588.43
1.030449,4023.89,3604.0
1.035695,4023.89,3619.86
1.040887,4023.89,3636.29
1.046121,4023.89,3652.57
1.051398,4023.89,3669.71
1.056644,4023.89,3687.0
1.061882,4023.89,3704.0
1.067259,4023.89,3722.29
1.072512,4023.89,3739.86
1.077717,4023.89,3757.86
1.082979,4023.89,3776.0
1.088244,4023.89,3794.57
1.093448,4023.89,3812.43
1.098657,4023.89,3830.71
1.103905,4023.89,3849.0
1.109124,4023.89,3867.43
1.114327,4023.89,3885.57
1.119583,4023.89,3904.0
1.125157,4023.89,3923.57
