time[s],setpoint[RPM],velocity[RPM]
0.001825,0.0,0.0
0.006992,5000.0,-0.71
0.012113,5000.0,-2.14
0.017244,5000.0,-3.57
0.022395,5000.0,-6.71
0.027544,5000.0,-10.14
0.032669,5000.0,-14.71
0.037813,5000.0,-17.43
0.042947,5000.0,-23.57
0.048082,5000.0,-28.43
0.053219,5000.0,-30.29
0.058352,5000.0,-31.14
0.063472,5000.0,-31.29
0.068589,5000.0,-30.71
0.073705,5000.0,-30.0
0.078822,5000.0,-29.0
0.083944,5000.0,-27.57
0.089064,5000.0,-25.14
0.094184,5000.0,-24.14
0.099334,5000.0,-23.43
0.104469,5000.0,-18.0
0.109619,5000.0,-15.29
0.114734,5000.0,-12.14
0.119849,5000.0,-9.14
0.124997,5000.0,-9.14
0.130117,5000.0,-9.14
0.135267,5000.0,-8.86
0.140394,5000.0,-0.43
0.145529,5000.0,0.0
0.150658,5000.0,-23.43
0.155781,5000.0,-28.71
0.160905,5000.0,14.57
0.166042,5000.0,25.71
0.171169,5000.0,34.0
0.176302,5000.0,25.29
0.18144,5000.0,-9.43
0.186582,5000.0,2.29
0.191736,5000.0,14.14
0.196892,5000.0,28.0
0.202053,5000.0,26.29
0.207174,5000.0,-8.71
0.212342,5000.0,6.43
0.217507,5000.0,19.43
0.222641,5000.0,-3.0
0.227801,5000.0,-11.86
0.23296,5000.0,12.14
0.238079,5000.0,17.86
0.243229,5000.0,-7.0
0.248325,5000.0,3.57
0.253455,5000.0,32.71
0.258581,5000.0,32.43
0.263696,5000.0,31.14
0.268812,5000.0,31.14
0.273936,5000.0,32.43
0.279053,5000.0,34.43
0.284178,5000.0,36.86
0.289303,5000.0,39.71
0.294426,5000.0,43.29
0.29955,5000.0,48.57
0.304676,5000.0,52.43
0.309803,5000.0,57.86
0.314933,5000.0,64.29
0.320074,5000.0,71.29
0.32521,5000.0,78.14
0.330369,5000.0,87.0
0.335504,5000.0,95.29
0.340645,5000.0,102.29
0.345779,5000.0,111.14
0.350932,5000.0,120.29
0.356066,5000.0,130.43
0.361194,5000.0,141.57
0.366355,5000.0,149.43
0.371504,5000.0,159.0
0.376641,5000.0,167.14
0.381781,5000.0,174.57
0.386914,5000.0,181.14
0.39205,5000.0,188.43
0.397181,5000.0,194.29
0.402329,5000.0,198.86
0.407489,5000.0,204.29
0.412589,5000.0,210.86
0.417733,5000.0,219.71
0.422854,5000.0,277.86
0.427965,5000.0,327.86
0.433144,5000.0,430.43
0.438277,5000.0,549.43
0.443394,5000.0,623.14
0.448497,5000.0,645.86
0.453599,5000.0,669.57
0.458696,5000.0,703.57
0.46379,5000.0,746.57
0.468946,5000.0,797.57
0.474045,5000.0,854.14
0.479149,5000.0,916.71
0.484301,5000.0,982.71
0.489454,5000.0,1053.43
0.494567,5000.0,1125.86
0.499716,5000.0,1200.57
0.504843,5000.0,1275.0
0.509946,5000.0,1347.29
0.515039,5000.0,1419.0
0.52019,5000.0,1487.0
0.525299,5000.0,1550.43
0.530397,5000.0,1611.71
0.535523,5000.0,1668.0
0.540633,5000.0,1721.14
0.545764,5000.0,1769.0
0.550918,5000.0,1814.0
0.556037,5000.0,1854.86
0.561221,5000.0,1891.86
0.566515,5000.0,1926.14
0.571727,5000.0,1955.86
0.576932,5000.0,1983.86
0.582104,5000.0,2009.0
0.587341,5000.0,2031.43
0.592623,5000.0,2053.14
0.597796,5000.0,2071.71
0.602971,5000.0,2089.57
0.608193,5000.0,2106.57
0.613382,5000.0,2122.43
0.618664,5000.0,2138.71
0.623844,5000.0,2153.0
0.628988,5000.0,2167.86
0.634285,5000.0,2182.71
0.639596,5000.0,2197.57
0.644777,5000.0,2212.43
0.650047,5000.0,2227.29
0.655347,5000.0,2242.86
0.660573,5000.0,2258.0
0.665753,5000.0,2274.0
0.670996,5000.0,2289.71
0.676213,5000.0,2306.29
0.68142,5000.0,2322.86
0.686672,5000.0,2339.71
0.691882,5000.0,2357.0
0.697116,5000.0,2374.43
0.702341,5000.0,2392.29
0.707555,5000.0,2409.86
0.712745,5000.0,2428.14
0.717932,5000.0,2446.14
0.723107,5000.0,2464.14
0.728343,5000.0,2483.0
0.733647,5000.0,2501.86
0.738929,5000.0,2520.57
0.744176,5000.0,2539.57
0.749444,5000.0,2558.86
0.754715,5000.0,2577.57
0.759923,5000.0,2596.29
0.765137,5000.0,2615.14
0.770428,5000.0,2634.43
0.775649,5000.0,2653.0
0.780834,5000.0,2671.57
0.786028,5000.0,2690.43
0.791306,5000.0,2709.57
0.79651,5000.0,2728.14
0.801695,5000.0,2746.71
0.80689,5000.0,2765.29
0.812093,5000.0,2784.0
0.817425,5000.0,2803.29
0.822652,5000.0,2822.29
0.827855,5000.0,2840.43
0.83315,5000.0,2859.29
0.838529,5000.0,2879.0
0.843802,5000.0,2897.14
0.849022,5000.0,2915.71
0.854271,5000.0,2934.29
0.85953,5000.0,2952.86
0.864725,5000.0,2971.43
0.869943,5000.0,2990.14
0.875145,5000.0,3008.29
0.880381,5000.0,3026.86
0.88558,5000.0,3045.43
0.890773,5000.0,3063.57
0.896006,5000.0,3082.14
0.901339,5000.0,3101.0
0.906707,5000.0,3120.0
0.91194,5000.0,3138.14
0.91724,5000.0,3157.14
0.922688,5000.0,3176.29
0.927887,5000.0,3194.71
0.933172,5000.0,3213.57
0.938655,5000.0,3233.0
0.94387,5000.0,3251.43
0.949059,5000.0,3269.43
0.954325,5000.0,3288.0
0.959593,5000.0,3306.57
0.964829,5000.0,3325.14
0.970046,5000.0,3343.71
0.975271,5000.0,3362.0
0.98051,5000.0,3380.43
0.98575,5000.0,3398.86
0.990991,5000.0,3417.57
0.996217,5000.0,3436.14
1.001491,7788.73,3454.57
1.006955,7788.73,3473.86
1.012188,7788.73,3492.57
1.017503,7788.73,3511.29
1.022753,7788.73,3529.43
1.028009,7788.73,3548.14
1.033287,7788.73,3566.86
1.038605,7788.73,3585.43
1.043794,7788.73,3603.71
1.049012,7788.73,3622.14
1.054291,7788.73,3640.57
1.059671,7788.73,3659.57
1.064886,7788.73,3677.86
1.070109,7788.73,3696.43
1.075324,7788.73,3714.57
1.080509,7788.73,3732.57
1.085709,7788.73,3751.14
1.091006,7788.73,3769.57
1.096221,7788.73,3788.43
1.101488,7788.73,3806.57
1.106727,7788.73,3825.29
1.111961,7788.73,3843.29
1.117284,7788.73,3862.0
1.122659,7788.73,3880.43
1.127909,7788.73,3899.14
1.133153,7788.73,3917.43
1.138466,7788.73,3936.14
1.143815,7788.73,3954.71
1.148992,7788.73,3973.0
1.154257,7788.73,3991.43
1.159531,7788.73,4009.71
1.16481,7788.73,4028.43
1.170098,7788.73,4046.71
1.175322,7788.73,4065.14
1.180522,7788.73,4083.43
1.185766,7788.73,4101.43
1.190983,7788.73,4119.71
1.19624,7788.73,4138.14
