time[s],setpoint[rad],velocity[rad]
  0.005000,0.00000,0.00000
  0.005000,5157.36621,-0.00278
  0.010000,5157.36621,-0.00278
  0.010000,5157.36621,-0.00278
  0.012500,5157.36621,-0.00278
  0.015000,5157.36621,2840.00708
  0.020000,5157.36621,4947.13525
  0.020000,5157.36621,5114.92383
  0.022500,5157.36621,5114.92383
  0.025000,5157.36621,5138.29883
  0.027500,5157.36621,5138.29883
  0.030000,5157.36621,5153.51904
  0.032500,5157.36621,5153.51904
  0.035000,5157.36621,5155.61963
  0.037500,5157.36621,5156.59521
  0.040000,5157.36621,5157.01855
  0.042500,5157.36621,5157.21143
  0.045000,5157.36621,5157.28711
  0.047500,5157.36621,5157.34131
  0.050000,5157.36621,5157.36572
  0.052500,5157.36621,5157.36572
  0.055000,5157.36621,5157.36377
  0.057500,5157.36621,5157.36572
  0.060000,5157.36621,5157.42236
  0.062500,5157.36621,5157.42236
  0.065000,5157.36621,5157.29297
  0.067500,5157.36621,5157.37500
  0.070000,5157.36621,5157.37500
  0.072500,5157.36621,5157.39014
  0.075000,5157.36621,5157.37305
  0.077500,5157.36621,5157.37012
  0.080000,5157.36621,5157.37012
  0.082500,5157.36621,5157.33057
  0.085000,5157.36621,5157.39014
  0.087500,5157.36621,5157.39014
  0.090000,5157.36621,5157.37207
  0.092500,5157.36621,5157.36230
  0.095000,5157.36621,5157.36572
  0.097500,5157.36621,5157.37256
  0.100000,5157.36621,5157.37256
  0.102500,5157.36621,5157.36670
  0.105000,5157.36621,5157.36621
  0.107500,5157.36621,5157.32764
  0.110000,5157.36621,5157.32764
  0.112500,5157.36621,5157.37402
  0.115000,5157.36621,5157.37402
  0.117500,5157.36621,5157.36328
  0.120000,5157.36621,5157.37402
  0.122500,5157.36621,5157.37256
  0.125000,5157.36621,5157.37256
  0.127500,5157.36621,5157.36621
  0.130000,5157.36621,5157.36035
  0.132500,5157.36621,5157.32764
  0.135000,5157.36621,5157.32764
  0.137500,5157.36621,5157.37402
  0.140000,5157.36621,5157.37402
  0.142500,5157.36621,5157.36328
