time[s],setpoint[RPM],velocity[RPM]
0.00268,0.0,0.0
0.007937,5000.0,-0.28571
0.013143,5000.0,-1.14286
0.018316,5000.0,-0.14286
0.023464,5000.0,-1.28571
0.028612,5000.0,-3.14286
0.033755,5000.0,-4.57143
0.038924,5000.0,-8.71429
0.04409,5000.0,-14.0
0.049228,5000.0,-20.85714
0.054417,5000.0,-26.42857
0.059577,5000.0,-29.14286
0.064757,5000.0,-31.0
0.069943,5000.0,-32.0
0.075086,5000.0,-31.85714
0.080244,5000.0,-31.28572
0.085407,5000.0,-30.71428
0.090719,5000.0,-29.71428
0.095911,5000.0,-20.71428
0.101067,5000.0,-20.42857
0.106234,5000.0,-19.57143
0.111396,5000.0,-18.85714
0.116542,5000.0,-18.71428
0.12174,5000.0,-17.71428
0.126891,5000.0,-17.0
0.132092,5000.0,-1.28571
0.13729,5000.0,-0.57143
0.142425,5000.0,0.14286
0.147582,5000.0,-0.14286
0.15278,5000.0,-30.57143
0.158016,5000.0,0.14286
0.163135,5000.0,11.0
0.168276,5000.0,-0.14286
0.173405,5000.0,-9.0
0.178531,5000.0,-13.14286
0.18368,5000.0,1.0
0.188873,5000.0,5.28571
0.193993,5000.0,9.57143
0.199132,5000.0,13.42857
0.204282,5000.0,13.28571
0.209444,5000.0,1.57143
0.214612,5000.0,6.71429
0.219822,5000.0,10.0
0.225051,5000.0,12.42857
0.230183,5000.0,13.0
0.235337,5000.0,12.57143
0.240479,5000.0,14.0
0.24562,5000.0,18.71428
0.250786,5000.0,26.14286
0.255988,5000.0,54.14286
0.261113,5000.0,51.71429
0.266263,5000.0,49.42857
0.271487,5000.0,48.0
0.276717,5000.0,48.0
0.281936,5000.0,49.0
0.28713,5000.0,50.71429
0.29227,5000.0,53.42857
0.297467,5000.0,56.28571
0.302631,5000.0,60.71429
0.30782,5000.0,65.71429
0.313,5000.0,71.28571
0.320118,5000.0,80.42857
0.325302,5000.0,87.71429
0.330456,5000.0,95.28571
0.335621,5000.0,103.57143
0.34077,5000.0,111.71429
0.345932,5000.0,120.0
0.351092,5000.0,127.42857
0.356281,5000.0,136.0
0.361401,5000.0,145.14285
0.366554,5000.0,154.28572
0.371713,5000.0,161.14285
0.376856,5000.0,169.28572
0.382025,5000.0,176.85715
0.387195,5000.0,184.57143
0.392371,5000.0,191.28572
0.397533,5000.0,197.85715
0.402699,5000.0,203.57143
0.407916,5000.0,208.57143
0.41305,5000.0,213.28572
0.418197,5000.0,208.28572
0.423376,5000.0,198.85715
0.428552,5000.0,189.14285
0.4337,5000.0,180.0
0.438888,5000.0,173.14285
0.444051,5000.0,171.85715
0.44922,5000.0,180.0
0.454388,5000.0,197.14285
0.459602,5000.0,217.85715
0.464871,5000.0,239.71428
0.470059,5000.0,268.7143
0.475242,5000.0,305.2857
0.480398,5000.0,345.7143
0.485576,5000.0,392.14285
0.490729,5000.0,439.85715
0.495869,5000.0,491.14285
0.501028,5000.0,546.4286
0.506214,5000.0,605.1429
0.511374,5000.0,663.4286
0.516525,5000.0,724.5714
0.521689,5000.0,787.0
0.526847,5000.0,851.5714
0.532058,5000.0,918.5714
0.537236,5000.0,985.7143
0.542383,5000.0,1055.1428
0.547513,5000.0,1122.4286
0.552646,5000.0,1190.8572
0.557825,5000.0,1262.5714
0.562993,5000.0,1333.7142
0.568217,5000.0,1405.1428
0.573472,5000.0,1476.4286
0.578693,5000.0,1545.4286
0.58393,5000.0,1613.7142
0.58916,5000.0,1678.5714
0.594384,5000.0,1740.7142
0.599716,5000.0,1801.8572
0.605003,5000.0,1859.4286
0.610204,5000.0,1911.4286
0.615525,5000.0,1962.8572
0.620868,5000.0,2011.1428
0.626093,5000.0,2053.1428
0.6314,5000.0,2094.4285
0.63672,5000.0,2131.7144
0.641997,5000.0,2166.5715
0.647298,5000.0,2198.5715
0.652571,5000.0,2227.8572
0.657818,5000.0,2255.2856
0.663249,5000.0,2280.7144
0.66853,5000.0,2304.4285
0.673766,5000.0,2325.5715
0.679004,5000.0,2346.0
0.684389,5000.0,2365.5715
0.689683,5000.0,2383.0
0.694925,5000.0,2400.4285
0.700149,5000.0,2416.2856
0.705366,5000.0,2431.8572
0.710529,5000.0,2447.0
0.715709,5000.0,2461.4285
0.720886,5000.0,2476.4285
0.726,5000.0,2490.2856
0.731249,5000.0,2505.0
0.736486,5000.0,2519.7144
0.741643,5000.0,2533.7144
0.746801,5000.0,2548.4285
0.751966,5000.0,2563.1428
0.757128,5000.0,2577.8572
0.762334,5000.0,2593.1428
0.767497,5000.0,2608.4285
0.77276,5000.0,2624.0
0.777937,5000.0,2640.0
0.783134,5000.0,2656.2856
0.788279,5000.0,2672.2856
