time[s],setpoint[RPM],velocity[RPM]
0.001559,0.0,0.0
0.006762,4998.77,-0.42857
0.01188,4997.55,-1.28571
0.017065,4996.32,-3.28571
0.02218,4995.1,-6.85714
0.027356,4993.87,-9.85714
0.032515,4992.64,-14.71429
0.037674,4991.42,-20.71428
0.042875,4990.19,-26.71428
0.048031,4988.96,-30.85714
0.053224,4987.74,-32.85714
0.058417,4986.51,-33.57143
0.063613,4985.29,-32.71429
0.068786,4984.06,-31.57143
0.073961,4981.61,-30.71428
0.079121,4980.38,-29.14286
0.084287,4979.15,-23.71428
0.089481,4977.93,-23.0
0.094697,4976.7,-22.14286
0.099899,4975.48,-21.28572
0.1051,4974.25,-20.28572
0.110334,4973.02,-19.57143
0.115557,4971.8,-17.57143
0.120791,4970.57,-16.0
0.126019,4969.35,-12.85714
0.131241,4968.12,0.14286
0.136484,4966.89,0.42857
0.14176,4965.67,0.0
0.146972,4964.44,0.0
0.152129,4963.21,-32.42857
0.157627,4961.99,-1.0
0.162756,4960.76,9.28571
0.167872,4959.54,9.42857
0.172996,4958.31,8.42857
0.178134,4957.08,11.57143
0.183246,4955.86,19.0
0.1884,4954.63,29.57143
0.193557,4953.4,41.57143
0.19867,4952.18,51.14286
0.203792,4949.73,52.14286
0.2089,4948.5,58.14286
0.214045,4947.27,58.42857
0.219162,4946.05,65.14286
0.224293,4944.82,71.0
0.229421,4943.6,73.57143
0.234607,4942.37,76.42857
0.239924,4941.14,83.85714
0.245076,4939.92,96.57143
0.250199,4938.69,115.14286
0.255347,4937.46,142.42857
0.260478,4936.24,132.85715
0.265606,4935.01,125.0
0.270781,4933.79,118.14286
0.275943,4932.56,106.85714
0.281079,4931.33,104.0
0.286223,4930.11,102.28571
0.291407,4928.88,101.42857
0.296555,4927.65,101.0
0.301887,4926.43,102.28571
0.307041,4925.2,104.57143
0.312156,4923.98,106.42857
0.3173,4922.75,109.14286
0.322442,4921.52,112.85714
0.327611,4920.3,118.0
0.332753,4919.07,123.71429
0.337879,4917.85,130.85715
0.343017,4916.62,138.14285
0.348138,4915.39,144.14285
0.353286,4914.17,151.0
0.358511,4912.94,159.14285
0.363665,4911.71,166.71428
0.368763,4909.26,173.0
0.373864,4908.04,179.71428
0.378958,4906.81,187.0
0.384134,4905.58,193.85715
0.389363,4904.36,200.0
0.394533,4903.13,206.0
0.399731,4901.9,211.28572
0.404989,4900.68,215.42857
0.410279,4899.45,219.42857
0.415514,4898.23,287.85715
0.420711,4897.0,312.2857
0.425927,4895.77,342.0
0.431174,4894.55,383.0
0.436463,4893.32,428.0
0.441761,4892.1,478.2857
0.447199,4890.87,533.5714
0.452428,4889.64,588.7143
0.457687,4888.42,648.0
0.462869,4887.19,709.1429
0.468041,4885.96,771.8571
0.473228,4884.74,836.5714
0.478421,4883.51,902.4286
0.483624,4882.29,970.4286
0.488829,4881.06,1039.2858
0.494022,4878.61,1108.8572
0.499293,4877.38,1179.4286
