time[s],setpoint[RPM],velocity[RPM]
0.00141,0.0,0.0
0.006621,5498.77,0.14286
0.011737,5497.53,-0.28571
0.016873,5496.26,-1.71429
0.022086,5494.94,-4.14286
0.02734,5493.52,-7.85714
0.03261,5491.98,-13.0
0.037832,5490.24,-17.85714
0.043106,5488.27,-24.57143
0.048319,5485.98,-30.0
0.053505,5483.31,-33.42857
0.058685,5480.18,-34.0
0.063863,5472.13,-33.57143
0.069034,5467.03,-32.57143
0.074257,5461.05,-32.0
0.079506,5454.09,-31.28572
0.084896,5446.03,-30.57143
0.090136,5436.75,-29.71428
0.095348,5426.11,-15.14286
0.100596,5414.01,-4.71429
0.105794,5400.3,-4.71429
0.110992,5384.88,-4.85714
0.116309,5367.63,-4.85714
0.121574,5348.44,-1.85714
0.126794,5327.21,-2.0
0.13209,5303.86,-2.14286
0.137422,5278.33,-2.14286
0.142683,5250.57,-2.14286
0.147919,5220.55,-10.57143
0.153134,5188.28,-36.14286
0.158384,5153.8,8.14286
0.163554,5117.18,12.85714
0.168711,5078.53,12.14286
0.173849,4995.77,14.71429
0.178952,4952.12,21.85714
0.184081,4907.32,33.28571
0.189219,4861.73,48.71429
0.194322,4815.74,66.28571
0.199459,4769.81,86.14286
0.204563,4724.45,123.28571
0.209702,4680.2,165.0
0.214828,4637.65,196.57143
0.219962,4597.44,232.28572
0.225096,4560.22,271.85715
0.230222,4526.68,315.14285
0.235357,4497.5,360.57144
0.24051,4473.35,407.7143
0.245718,4454.9,457.14285
0.250952,4442.76,506.57144
0.25612,4437.48,555.5714
0.261302,4439.54,605.0
0.266419,4449.33,652.8571
0.271585,4467.1,700.1429
0.276765,4492.97,744.8571
0.282046,4526.9,790.5714
0.287333,4568.66,834.0
0.292601,4617.85,876.4286
0.297822,4673.84,914.7143
0.303239,4735.81,952.8571
0.308654,4802.72,989.4286
0.313916,4946.17,1022.7143
0.319129,5019.65,1054.0
0.324314,5092.02,1083.7142
0.329537,5161.4,1111.8572
0.334729,5225.87,1138.4286
0.339948,5283.48,1163.1428
0.345143,5332.37,1186.5714
0.3504,5370.75,1209.0
0.355681,5397.07,1230.2858
0.360874,5409.99,1250.7142
0.366059,5408.53,1269.5714
0.37122,5392.09,1288.1428
