time[s],setpoint[RPM],velocity[RPM]
0.001534,0.0,0.0
0.006767,3925.57,0.14286
0.011933,3922.68,-0.28571
0.017129,3919.37,-1.14286
0.022377,3914.18,-2.0
0.0276,3908.64,-3.85714
0.032922,3903.26,-7.14286
0.038227,3897.25,-12.14286
0.043502,3876.92,-16.85714
0.048759,3871.02,-23.28572
0.053948,3865.1,-28.71428
0.059108,3854.8,-32.0
0.0643,3851.23,-34.0
0.069498,3848.81,-32.71429
0.074756,3847.78,-32.28571
0.079965,3848.07,-31.85714
0.085152,3852.92,-31.0
0.090409,3856.91,-30.28572
0.095638,3876.43,-28.57143
0.100889,3887.4,-27.57143
0.106045,3892.04,-23.85714
0.111243,3902.68,-15.57143
0.116468,3925.42,-15.14286
0.121699,3935.05,-14.28571
0.126916,3944.78,-13.71429
0.132139,3954.4,-13.14286
0.137376,3958.94,-11.42857
0.142806,3968.99,-6.42857
0.1481,3973.19,-12.85714
0.153406,3974.91,-36.71429
0.158577,4003.28,3.71429
0.163725,4002.92,8.14286
0.16885,3987.79,7.71429
0.174,3974.88,9.85714
0.179111,3959.69,16.28572
0.184223,3945.14,26.28572
0.189362,3930.03,39.14286
0.194469,3915.76,52.42857
0.199612,3901.54,61.42857
0.204759,3884.16,71.0
0.209898,3880.61,88.71429
0.215053,3864.79,114.28571
0.22017,3856.06,143.28572
0.225296,3851.2,161.57143
0.230462,3847.59,183.57143
0.235587,3847.85,208.71428
0.240754,3845.59,240.57143
0.245983,3857.24,280.57144
0.251264,3860.34,325.85715
0.25644,3926.33,372.85715
0.261542,3935.47,422.42856
0.266739,3944.13,474.42856
0.271959,3953.35,527.7143
0.277222,4108.07,581.5714
0.282438,4116.0,635.4286
0.287671,4123.38,688.5714
0.292943,4125.97,740.7143
0.298171,4176.43,791.4286
0.3034,4177.69,841.0
0.30862,4180.07,888.4286
0.313917,4179.78,934.2857
0.319185,4128.4,978.5714
0.324436,4122.07,1018.4286
0.329648,4113.85,1056.8572
0.334845,4105.29,1093.0
0.340065,4094.77,1127.4286
0.345284,4084.82,1159.5714
0.35053,4072.83,1189.8572
0.355731,4105.0,1218.2858
0.360962,4092.65,1245.5714
0.366183,4080.78,1270.7142
0.371413,4068.96,1294.2858
0.376617,4132.86,1316.5714
0.381857,4124.2,1337.7142
0.387028,4116.73,1358.0
0.392127,4111.14,1376.5714
0.397354,4107.34,1395.0
0.402522,4104.96,1412.8572
0.407715,4104.28,1429.7142
0.412871,4104.61,1446.1428
0.418061,4090.49,1462.2858
0.423255,4092.91,1478.1428
0.428521,4094.8,1493.8572
0.433715,4097.27,1509.2858
0.43889,4071.12,1524.7142
0.444055,4075.6,1540.1428
0.449199,4078.46,1555.2858
0.454387,4082.97,1570.5714
0.459594,4088.5,1586.2858
0.464836,4095.87,1602.1428
0.47024,4100.4,1619.1428
0.475671,4101.64,1635.8572
0.480941,4104.32,1652.1428
0.48616,4108.69,1668.2858
0.49157,4112.71,1685.4286
0.496847,4116.61,1702.4286
0.502064,4117.02,1719.5714
0.507275,4118.41,1736.8572
0.512459,4117.89,1753.7142
0.51764,4115.4,1770.8572
0.52283,4112.49,1788.0
0.528238,4155.32,1807.0
0.533474,4152.71,1824.8572
0.538905,4150.78,1843.2858
0.544111,4141.01,1861.2858
0.549273,4133.92,1879.5714
0.55465,4128.33,1898.0
0.559984,4123.07,1916.7142
0.565415,4063.05,1936.0
0.570705,4063.11,1954.4286
0.576158,4063.34,1973.7142
0.581587,4062.15,1993.1428
0.586809,4044.41,2011.0
0.592262,4041.27,2030.8572
0.59769,4038.47,2049.5715
0.602894,4037.29,2068.1428
0.608138,4068.48,2087.0
0.613432,4069.83,2105.4285
0.618649,4071.96,2124.1428
0.623873,4074.14,2142.4285
0.629119,4126.25,2161.2856
0.634323,4130.75,2179.2856
0.639597,4136.0,2198.0
0.644788,4141.83,2216.1428
0.650041,4145.06,2234.8572
0.655288,4147.23,2253.0
0.66052,4144.84,2271.7144
0.665794,4172.83,2289.8572
0.671087,4169.84,2308.7144
0.676296,4167.45,2326.5715
0.681581,4162.97,2345.7144
0.686873,4179.63,2363.8572
0.692084,4172.8,2382.0
0.69733,4163.99,2400.4285
0.702581,4154.02,2418.2856
0.707828,4142.2,2437.0
0.713141,4137.32,2455.5715
0.71844,4132.37,2473.5715
0.723727,4126.82,2492.2856
0.728912,4122.11,2510.2856
0.734129,4115.49,2528.1428
0.739345,4113.12,2546.4285
0.745307,4199.31,2567.1428
0.750561,4199.02,2585.5715
0.755985,4200.52,2604.0
0.761318,4199.76,2622.5715
0.766506,4221.19,2640.5715
0.771704,4218.0,2658.7144
0.776875,4222.47,2676.2856
0.782088,4226.22,2694.4285
0.787241,4216.62,2712.4285
0.792384,4226.83,2730.4285
