time[s],setpoint[RPM],velocity[RPM]
0.001585,0.0,0.0
0.00681,4978.09,0.0
0.011935,4995.74,-1.14286
0.017137,5127.86,-3.14286
0.02226,4946.76,-4.57143
0.027439,5011.32,-8.28571
0.032541,4931.25,-13.28571
0.037712,4946.26,-19.14286
0.042915,4913.63,-25.14286
0.048221,4996.45,-30.28572
0.053385,5023.95,-33.28571
0.058545,5170.09,-34.28571
0.06368,4788.24,-34.14286
0.068814,4935.09,-33.14286
0.073933,4834.67,-32.0
0.079065,4821.01,-30.71428
0.084255,4962.74,-29.57143
0.089489,4825.37,-27.85714
0.094708,4989.4,-21.42857
0.099945,5044.02,-20.71428
0.105279,4831.1,-13.28571
0.11053,4969.75,-13.0
0.115787,5161.95,-12.57143
0.121009,4830.52,-12.28571
0.126216,4971.76,-6.71429
0.131448,4826.0,-6.57143
0.136759,5077.15,-2.28571
0.142054,4861.72,0.0
0.147355,4800.2,-7.0
0.152687,4928.63,-34.28571
0.157949,5053.29,8.71429
0.163165,4886.74,13.85714
0.168376,4998.47,12.85714
0.173548,4906.22,14.57143
0.17877,4897.66,21.71428
0.183898,4976.0,33.57143
0.18902,4757.14,50.85714
0.194139,4880.71,72.85714
0.199267,4972.68,101.57143
0.204345,5009.74,135.0
0.209455,4836.87,179.0
0.214565,5082.57,221.57143
0.219676,5070.0,262.85715
0.22479,4969.72,308.2857
0.229906,4785.9,353.85715
0.235038,4952.59,401.85715
0.240172,5134.83,450.2857
0.24531,5117.01,498.7143
0.250449,4769.27,546.5714
0.255598,4957.88,594.8571
0.26073,4957.88,640.4286
0.265875,4813.15,686.1429
0.271043,5012.7,730.4286
0.276187,4923.58,773.4286
0.281323,4950.39,813.8571
0.28646,5074.14,852.1429
0.291626,5071.29,889.7143
0.296759,4755.45,925.4286
0.301892,4966.11,959.7143
0.30724,4845.63,992.1429
0.312647,4864.19,1023.1429
0.317786,5073.17,1051.4286
0.322974,4723.97,1078.2858
0.32812,5022.29,1103.4286
0.333252,4773.79,1127.4286
0.338386,4922.64,1150.4286
0.343524,4859.61,1172.2858
0.348652,4779.25,1192.4286
0.353763,4985.85,1211.5714
0.358879,4935.89,1230.2858
0.363994,4718.97,1248.5714
0.369135,4944.23,1266.2858
0.374434,4944.23,1284.5714
0.379789,5099.53,1301.8572
0.385057,5080.17,1318.7142
0.390306,4998.22,1335.2858
0.395521,4810.67,1351.5714
0.400713,4969.7,1367.5714
0.405907,4741.46,1383.4286
0.411145,4699.66,1399.5714
0.416396,4813.14,1415.5714
0.4216,4758.03,1431.5714
0.426812,4929.91,1448.0
0.432061,5006.74,1464.2858
0.437301,4933.08,1480.5714
0.442728,4817.97,1497.8572
0.448106,4702.68,1515.1428
0.453383,4971.29,1532.2858
0.458587,4732.78,1549.0
0.463815,4972.11,1566.0
0.468994,4982.01,1583.0
0.474163,5071.3,1600.1428
0.47952,4770.69,1618.0
0.484796,4765.39,1636.1428
0.490023,5058.46,1654.0
0.495264,4794.78,1672.1428
0.50045,4981.35,1689.8572
0.505701,4731.47,1708.0
0.510982,5047.47,1726.2858
0.516251,4888.43,1744.7142
0.521555,4704.2,1763.8572
0.526987,4690.2,1783.0
0.532212,4717.03,1801.0
0.537453,5020.28,1819.7142
0.542875,4739.99,1839.1428
0.548112,4898.95,1857.5714
0.553319,4901.18,1876.0
0.558514,4736.07,1894.8572
0.563698,4851.1,1913.4286
0.568922,4703.44,1931.5714
0.574173,5003.75,1950.8572
0.579471,4935.64,1969.7142
0.584748,4842.74,1987.8572
0.589993,5021.43,2007.0
0.595298,4735.93,2025.5714
0.600534,4834.73,2044.1428
0.605851,4964.93,2063.2856
0.611105,4803.35,2081.7144
0.616342,4820.78,2100.5715
0.621591,5044.37,2118.7144
0.627024,4721.88,2138.4285
0.632357,4842.89,2156.7144
0.637531,5003.22,2175.1428
0.642835,5011.72,2193.7144
0.648351,4818.57,2213.2856
0.653591,4682.5,2231.4285
0.65887,4908.93,2250.4285
0.664081,4749.39,2268.2856
0.669371,4892.87,2287.1428
0.674701,4914.54,2305.7144
0.680162,4923.66,2325.0
0.685476,4959.41,2343.5715
0.690748,4938.12,2361.8572
0.696024,4746.79,2380.5715
0.701322,4958.92,2398.7144
0.706775,4964.12,2418.4285
0.712116,4850.43,2437.0
0.717435,4627.62,2455.0
0.722621,4749.64,2473.4285
0.727917,4661.63,2491.7144
0.733169,4812.27,2509.8572
0.738374,4840.3,2528.4285
0.743602,4772.82,2546.7144
0.748812,4887.46,2564.4285
0.754025,4817.21,2583.1428
0.759273,4614.24,2601.1428
0.764478,4614.24,2619.4285
0.769718,4808.56,2637.2856
0.77501,4731.81,2656.0
0.780361,4895.36,2674.7144
0.785576,4953.32,2692.7144
0.790907,4615.74,2711.4285
0.796232,4819.05,2729.7144
0.801495,4839.07,2748.1428
0.806815,4641.62,2766.8572
0.812087,4660.24,2785.1428
0.817313,4719.17,2803.2856
0.822573,4627.89,2821.7144
0.827839,4602.15,2839.5715
0.833085,4836.17,2857.8572
0.838346,4618.05,2876.2856
0.843607,4789.4,2894.7144
0.848948,4799.97,2913.1428
0.854119,4778.09,2931.2856
0.859359,4592.29,2949.4285
0.864601,4722.58,2967.5715
0.869859,4759.75,2985.7144
0.875058,4607.03,3004.1428
0.880285,4636.88,3022.1428
0.885576,4807.19,3040.4285
0.890914,4817.52,3059.1428
0.89618,4935.18,3077.4285
0.90145,4977.65,3095.5715
0.906767,4674.08,3114.4285
0.912038,4714.89,3132.2856
0.917287,4601.11,3150.5715
0.922595,4623.64,3169.0
0.928128,4824.71,3188.1428
0.933345,4588.15,3206.7144
0.938565,4918.02,3224.4285
0.943844,4652.98,3243.0
0.949079,4936.96,3260.8572
0.954316,4842.34,3279.1428
0.959595,4593.8,3297.2856
0.964808,4815.26,3315.4285
0.970039,4942.82,3333.2856
0.975248,4826.91,3351.2856
0.980453,4754.66,3369.5715
0.9857,4794.46,3387.5715
0.990993,4596.02,3405.7144
0.99623,4866.44,3423.8572
1.001442,4698.34,3442.0
1.006756,4926.19,3460.4285
1.012049,4648.03,3478.4285
1.017247,4852.6,3496.5715
1.022554,4947.36,3515.1428
1.027833,4720.81,3533.5715
1.03315,4690.4,3551.4285
1.038339,4799.0,3569.5715
1.043659,4676.14,3587.7144
1.048891,4806.79,3605.7144
1.054108,4731.66,3623.8572
1.059344,4771.6,3641.7144
1.064564,4900.86,3659.7144
1.069814,4901.25,3678.0
1.075031,4682.15,3695.8572
1.080284,4955.81,3714.1428
1.085562,4763.63,3732.0
1.0909,4666.14,3750.7144
1.096117,4688.0,3768.4285
1.101315,4701.59,3786.2856
1.106629,4637.78,3804.7144
1.111931,4680.12,3822.7144
1.117137,4737.46,3840.7144
1.122408,4851.16,3859.0
1.127871,4899.36,3877.7144
1.133186,4654.73,3896.1428
1.138498,4863.99,3914.2856
1.143789,4843.56,3932.5715
1.149022,4902.28,3950.2856
1.15419,4841.6,3968.2856
1.159401,4820.22,3986.1428
1.164609,4685.72,4004.0
1.169819,4830.78,4021.7144
1.175023,4671.13,4039.7144
1.180274,4957.2,4057.7144
1.185513,4972.08,4075.5715
1.190832,4717.0,4094.0
1.196071,4860.79,4112.2856
1.201311,4907.13,4130.0
1.206661,4860.24,4148.5713
1.212162,4819.42,4167.143
1.217383,4700.15,4185.143
1.22268,4687.46,4203.4287
1.228001,4925.28,4221.5713
1.233244,4723.07,4239.5713
1.238498,5052.28,4257.4287
1.24381,4811.18,4275.5713
1.249141,4759.76,4293.7144
1.254357,4680.72,4311.7144
1.259595,5067.95,4329.857
1.264926,4866.8,4347.857
1.270112,4813.48,4365.5713
1.275323,4901.36,4383.4287
1.280522,4818.54,4401.2856
1.285712,4769.72,4419.2856
1.290952,4842.17,4436.857
1.296176,4873.18,4454.7144
1.3014,4836.94,4472.5713
1.306702,4706.87,4490.857
1.312056,5088.86,4509.143
1.317282,5038.74,4527.143
1.322605,4995.09,4545.4287
1.327927,4826.26,4563.5713
1.333189,4964.41,4581.7144
1.338494,4834.16,4599.5713
1.343767,4836.06,4617.7144
1.348989,4766.06,4635.7144
1.354213,4964.15,4652.4287
1.359466,4901.27,4669.0
1.364713,5048.42,4684.2856
1.369986,4944.09,4699.143
1.375217,4911.88,4713.857
1.380451,4776.97,4728.5713
1.38575,5023.38,4743.143
1.391102,4864.89,4757.4287
1.396748,4777.5,4770.4287
1.402017,4744.33,4781.143
1.407357,4746.55,4790.143
1.412694,5121.98,4796.4287
1.417948,5007.86,4800.7144
1.423369,4803.79,4803.7144
1.428799,4827.7,4805.857
1.434048,4842.66,4807.4287
1.439326,4842.66,4808.5713
1.444958,4932.34,4809.0
1.450249,4888.27,4809.7144
1.455567,4756.45,4810.857
1.460877,4995.75,4812.4287
1.466179,5071.34,4814.2856
1.471399,5031.4,4816.4287
1.476686,5154.55,4819.4287
1.48193,5054.54,4823.7144
1.48718,4934.62,4829.2856
1.492465,4858.42,4835.5713
1.497709,4808.66,4841.4287
1.503002,5015.86,4846.143
1.508273,4795.8,4850.0
1.513654,4830.64,4852.2856
1.518887,4988.2,4853.5713
1.524241,5156.96,4854.4287
