time[s],setpoint[RPM],velocity[RPM]
  0.001526,0.00000,0.00000
  0.006711,5000.00000,-0.42857
  0.011825,5000.00000,-1.57143
  0.017020,5000.00000,-3.71429
  0.022238,5000.00000,-7.57143
  0.027374,5000.00000,-12.85714
  0.032663,5000.00000,-18.42857
  0.037862,5000.00000,-23.14286
  0.043099,5000.00000,-27.14286
  0.048348,5000.00000,-30.28572
  0.053606,5000.00000,-31.28572
  0.058800,5000.00000,-31.71428
  0.063970,5000.00000,-31.42857
  0.069116,5000.00000,-30.14286
  0.074255,5000.00000,-29.14286
  0.079377,5000.00000,-14.28571
  0.084493,5000.00000,-13.00000
  0.089611,5000.00000,-12.85714
  0.094727,5000.00000,-12.71429
  0.099835,5000.00000,-12.28571
  0.104971,5000.00000,-12.00000
  0.110077,5000.00000,-11.00000
  0.115184,5000.00000,-9.28571
  0.120325,5000.00000,-9.00000
  0.125433,5000.00000,-8.85714
  0.130547,5000.00000,-8.42857
  0.135696,5000.00000,-8.14286
  0.140828,5000.00000,-5.42857
  0.145987,5000.00000,-4.14286
  0.151139,5000.00000,-26.71428
  0.156305,5000.00000,2.00000
  0.161447,5000.00000,17.85714
  0.166631,5000.00000,32.28571
  0.171799,5000.00000,43.00000
  0.176919,5000.00000,3.28571
  0.182145,5000.00000,-8.85714
  0.187297,5000.00000,6.14286
  0.192458,5000.00000,20.00000
  0.197668,5000.00000,26.28572
  0.202852,5000.00000,-13.71429
  0.208151,5000.00000,7.28571
  0.213444,5000.00000,17.85714
  0.218664,5000.00000,-12.28571
  0.223998,5000.00000,4.85714
  0.229212,5000.00000,9.14286
  0.234357,5000.00000,-7.42857
  0.239760,5000.00000,12.71429
  0.245045,5000.00000,-1.42857
  0.250309,5000.00000,5.57143
  0.255505,5000.00000,34.85714
  0.260672,5000.00000,33.28571
  0.265811,5000.00000,32.28571
  0.271002,5000.00000,32.71429
  0.276201,5000.00000,34.14286
  0.281378,5000.00000,35.71429
  0.286551,5000.00000,39.14286
  0.291735,5000.00000,42.14286
  0.296933,5000.00000,45.57143
  0.302146,5000.00000,50.71429
  0.307387,5000.00000,57.14286
  0.312683,5000.00000,63.28571
  0.317947,5000.00000,69.28571
  0.323132,5000.00000,76.28571
  0.328435,5000.00000,84.71429
  0.333645,5000.00000,93.57143
  0.338811,5000.00000,102.28571
  0.344034,5000.00000,111.14286
  0.349221,5000.00000,120.71429
  0.354426,5000.00000,129.85715
  0.359631,5000.00000,140.85715
  0.364867,5000.00000,150.85715
  0.370118,5000.00000,160.00000
  0.375306,5000.00000,168.42857
  0.380610,5000.00000,176.42857
  0.385844,5000.00000,182.57143
  0.391057,5000.00000,189.14285
  0.396289,5000.00000,195.85715
  0.401523,5000.00000,201.57143
  0.406751,5000.00000,206.85715
  0.412035,5000.00000,206.28572
  0.417254,5000.00000,177.28572
  0.422486,5000.00000,161.42857
  0.427724,5000.00000,155.14285
  0.432957,5000.00000,153.57143
  0.438138,5000.00000,158.85715
  0.443334,5000.00000,173.57143
  0.448607,5000.00000,201.28572
  0.453800,5000.00000,239.14285
  0.459050,5000.00000,288.42856
  0.464294,5000.00000,341.71429
  0.469504,5000.00000,399.85715
  0.474712,5000.00000,461.57144
  0.479998,5000.00000,526.42859
  0.485223,5000.00000,593.14288
  0.490487,5000.00000,663.14288
  0.495762,5000.00000,735.14288
  0.500989,5000.00000,808.42859
  0.506197,5000.00000,882.42859
  0.511520,5000.00000,958.85712
  0.516704,5000.00000,1035.28577
  0.521891,5000.00000,1112.42859
  0.527102,5000.00000,1190.14282
  0.532340,5000.00000,1268.85718
  0.537579,5000.00000,1346.28577
  0.542802,5000.00000,1423.00000
  0.548096,5000.00000,1495.28577
  0.553263,5000.00000,1563.14282
  0.558461,5000.00000,1628.00000
  0.563723,5000.00000,1688.71423
  0.568911,5000.00000,1745.14282
  0.574135,5000.00000,1796.14282
  0.579385,5000.00000,1844.28577
  0.584679,5000.00000,1888.42859
