time[s],setpoint[RPM],velocity[RPM]
  0.001664,0.00000,0.00000
  0.006840,5000.00000,-0.28571
  0.012072,5000.00000,-1.28571
  0.017183,5000.00000,-3.57143
  0.022321,5000.00000,-7.57143
  0.027503,5000.00000,-12.71429
  0.032653,5000.00000,-18.42857
  0.037890,5000.00000,-23.28572
  0.043013,5000.00000,-27.14286
  0.048156,5000.00000,-29.42857
  0.053379,5000.00000,-31.28572
  0.058510,5000.00000,-32.00000
  0.063673,5000.00000,-31.42857
  0.068796,5000.00000,-30.71428
  0.073908,5000.00000,-29.57143
  0.079023,5000.00000,-28.85714
  0.084256,5000.00000,-27.85714
  0.089403,5000.00000,-27.14286
  0.094707,5000.00000,-10.14286
  0.099884,5000.00000,-9.42857
  0.105118,5000.00000,-9.28571
  0.110334,5000.00000,-0.42857
  0.115607,5000.00000,-0.57143
  0.120808,5000.00000,-0.85714
  0.126110,5000.00000,-0.85714
  0.131287,5000.00000,-0.85714
  0.136439,5000.00000,-1.14286
  0.141639,5000.00000,-1.85714
  0.146777,5000.00000,-2.85714
  0.151898,5000.00000,-40.42857
  0.157023,5000.00000,-0.57143
  0.162150,5000.00000,10.00000
  0.167264,5000.00000,11.28571
  0.172379,5000.00000,12.71429
  0.177502,5000.00000,16.42857
  0.182629,5000.00000,19.14286
  0.187743,5000.00000,21.71428
  0.193745,5000.00000,25.71428
  0.198852,5000.00000,29.57143
  0.203951,5000.00000,33.42857
  0.209034,5000.00000,38.42857
  0.214218,5000.00000,45.14286
  0.219383,5000.00000,52.71429
  0.224601,5000.00000,59.85714
  0.229764,5000.00000,66.57143
  0.234890,5000.00000,81.71429
  0.240109,5000.00000,101.14286
  0.245268,5000.00000,124.85714
  0.250477,5000.00000,149.57143
  0.255738,5000.00000,175.00000
  0.261057,5000.00000,162.57143
  0.266225,5000.00000,132.28572
  0.271425,5000.00000,99.71429
  0.276540,5000.00000,90.28571
  0.281675,5000.00000,87.42857
  0.286801,5000.00000,85.28571
  0.291990,5000.00000,83.85714
  0.297148,5000.00000,84.85714
  0.302303,5000.00000,85.85714
  0.307443,5000.00000,86.57143
  0.312600,5000.00000,88.00000
  0.317777,5000.00000,91.00000
  0.322959,5000.00000,94.00000
  0.328204,5000.00000,98.42857
  0.333442,5000.00000,102.71429
  0.338904,5000.00000,107.71429
  0.344200,5000.00000,113.85714
  0.349385,5000.00000,119.57143
  0.354633,5000.00000,125.00000
  0.359800,5000.00000,131.85715
  0.364940,5000.00000,137.14285
  0.370072,5000.00000,144.00000
  0.375203,5000.00000,151.71428
  0.380330,5000.00000,158.42857
  0.385462,5000.00000,163.57143
  0.390594,5000.00000,168.57143
  0.395820,5000.00000,175.42857
  0.400957,5000.00000,181.42857
  0.406132,5000.00000,187.57143
  0.411311,5000.00000,193.28572
  0.416429,5000.00000,198.85715
  0.421553,5000.00000,194.85715
  0.426712,5000.00000,183.00000
  0.431972,5000.00000,173.14285
  0.437122,5000.00000,173.71428
  0.442300,5000.00000,186.14285
  0.447479,5000.00000,207.00000
  0.452632,5000.00000,238.00000
  0.457778,5000.00000,276.57144
  0.463045,5000.00000,327.00000
  0.468264,5000.00000,380.71429
  0.473438,5000.00000,441.57144
  0.478650,5000.00000,507.57144
  0.483786,5000.00000,572.28571
  0.488907,5000.00000,643.28571
  0.494009,5000.00000,714.85712
  0.499189,5000.00000,790.00000
  0.504398,5000.00000,867.57141
  0.509579,5000.00000,946.00000
  0.514727,5000.00000,1025.71423
