time[s],setpoint[RPM],velocity[RPM]
  0.002002,0.00000,-0.57143
  0.007166,5000.00000,0.14286
  0.012287,5000.00000,-0.28571
  0.017407,5000.00000,-0.85714
  0.022565,5000.00000,-2.00000
  0.027693,5000.00000,-4.14286
  0.032812,5000.00000,-5.71429
  0.037970,5000.00000,-7.28571
  0.043111,5000.00000,-10.14286
  0.048206,5000.00000,-12.85714
  0.053339,5000.00000,-17.14286
  0.058469,5000.00000,-23.00000
  0.063537,5000.00000,-26.71428
  0.068628,5000.00000,-30.57143
  0.073748,5000.00000,-32.42857
  0.078913,5000.00000,-34.14286
  0.084042,5000.00000,-33.57143
  0.089172,5000.00000,-32.57143
  0.094350,5000.00000,-31.28572
  0.099491,5000.00000,-30.00000
  0.104616,5000.00000,-28.85714
  0.109808,5000.00000,-28.00000
  0.114952,5000.00000,-27.57143
  0.120215,5000.00000,-26.28572
  0.125680,5000.00000,-24.00000
  0.131257,5000.00000,-22.85714
  0.136533,5000.00000,-18.57143
  0.141796,5000.00000,-16.00000
  0.147005,5000.00000,-15.57143
  0.152203,5000.00000,-33.71429
  0.157433,5000.00000,-1.28571
  0.162655,5000.00000,10.57143
  0.167874,5000.00000,20.28572
  0.173119,5000.00000,38.28571
  0.178400,5000.00000,59.42857
  0.183621,5000.00000,80.57143
  0.188910,5000.00000,3.85714
  0.194127,5000.00000,-1.57143
  0.199458,5000.00000,17.00000
  0.204737,5000.00000,35.00000
  0.209978,5000.00000,-18.71428
  0.215185,5000.00000,8.71429
  0.220387,5000.00000,25.28572
  0.225587,5000.00000,-14.85714
  0.230818,5000.00000,8.28571
  0.236031,5000.00000,5.00000
  0.241284,5000.00000,-4.85714
  0.246470,5000.00000,8.85714
  0.251709,5000.00000,-3.85714
  0.256929,5000.00000,19.14286
  0.262174,5000.00000,18.57143
  0.267384,5000.00000,18.42857
  0.272865,5000.00000,18.57143
  0.278117,5000.00000,20.14286
  0.283387,5000.00000,21.85714
  0.288981,5000.00000,24.00000
  0.294207,5000.00000,27.57143
  0.299412,5000.00000,31.42857
  0.304620,5000.00000,34.71429
  0.309840,5000.00000,39.14286
  0.315047,5000.00000,45.14286
  0.320253,5000.00000,50.85714
  0.325531,5000.00000,55.71429
  0.330717,5000.00000,61.28571
  0.335884,5000.00000,68.28571
  0.341153,5000.00000,76.14286
  0.346463,5000.00000,83.71429
  0.351630,5000.00000,91.00000
  0.356960,5000.00000,98.42857
  0.362126,5000.00000,106.42857
  0.367377,5000.00000,114.71429
  0.372530,5000.00000,121.85714
  0.377821,5000.00000,128.85715
  0.382980,5000.00000,136.00000
  0.388197,5000.00000,142.57143
  0.393521,5000.00000,148.57143
  0.398759,5000.00000,154.42857
  0.403923,5000.00000,160.28572
  0.409242,5000.00000,166.00000
  0.414399,5000.00000,173.85715
  0.419714,5000.00000,172.14285
  0.424885,5000.00000,167.14285
  0.430204,5000.00000,158.85715
  0.435441,5000.00000,156.42857
  0.440760,5000.00000,165.14285
  0.445932,5000.00000,181.42857
  0.451141,5000.00000,205.71428
  0.456363,5000.00000,240.85715
  0.461573,5000.00000,284.28571
  0.466747,5000.00000,337.71429
  0.471939,5000.00000,396.57144
  0.477135,5000.00000,459.85715
  0.482479,5000.00000,528.57141
  0.487698,5000.00000,600.71429
  0.492965,5000.00000,674.14288
  0.498177,5000.00000,750.28571
  0.503544,5000.00000,830.85712
  0.508789,5000.00000,913.00000
  0.513967,5000.00000,993.14288
  0.519182,5000.00000,1076.71423
  0.524399,5000.00000,1159.14282
  0.529624,5000.00000,1243.28577
  0.534860,5000.00000,1327.00000
  0.540089,5000.00000,1410.57141
  0.545402,5000.00000,1489.14282
  0.550727,5000.00000,1565.85718
  0.555997,5000.00000,1637.57141
  0.561248,5000.00000,1704.42859
  0.566482,5000.00000,1765.71423
  0.571752,5000.00000,1823.14282
  0.577331,5000.00000,1878.71423
  0.582574,5000.00000,1925.28577
  0.587900,5000.00000,1968.28577
  0.593162,5000.00000,2005.85718
  0.598473,5000.00000,2041.42859
  0.603838,5000.00000,2072.85718
  0.609085,5000.00000,2100.00000
  0.614315,5000.00000,2123.42847
  0.619557,5000.00000,2146.57153
  0.624821,5000.00000,2166.85718
  0.630061,5000.00000,2185.14282
  0.635391,5000.00000,2202.85718
  0.640794,5000.00000,2219.28564
  0.646139,5000.00000,2235.14282
  0.651500,5000.00000,2249.85718
  0.656831,5000.00000,2264.57153
  0.662072,5000.00000,2278.71436
  0.667443,5000.00000,2293.14282
  0.672758,5000.00000,2307.57153
  0.678155,5000.00000,2322.00000
  0.683389,5000.00000,2336.71436
  0.688695,5000.00000,2351.57153
  0.694011,5000.00000,2367.42847
  0.699254,5000.00000,2382.57153
  0.704482,5000.00000,2398.57153
  0.709703,5000.00000,2414.85718
  0.718464,5000.00000,2442.57153
  0.723857,5000.00000,2460.57153
  0.729108,5000.00000,2478.00000
  0.734362,5000.00000,2495.42847
  0.739606,5000.00000,2513.85718
  0.744936,5000.00000,2532.42847
  0.750177,5000.00000,2550.42847
  0.755407,5000.00000,2569.14282
  0.760645,5000.00000,2587.71436
  0.765877,5000.00000,2606.28564
  0.771355,5000.00000,2626.42847
  0.776825,5000.00000,2645.71436
  0.782080,5000.00000,2664.71436
  0.787431,5000.00000,2684.28564
  0.792801,5000.00000,2703.85718
  0.798026,5000.00000,2722.42847
  0.803434,5000.00000,2742.00000
  0.808952,5000.00000,2762.00000
  0.814193,5000.00000,2781.00000
  0.819456,5000.00000,2801.14282
  0.825177,5000.00000,2820.85718
  0.830605,5000.00000,2840.42847
  0.835812,5000.00000,2859.42847
  0.841288,5000.00000,2879.00000
  0.846540,5000.00000,2897.57153
  0.851762,5000.00000,2916.14282
  0.857031,5000.00000,2935.42847
  0.862280,5000.00000,2953.85718
  0.867453,5000.00000,2972.14282
  0.872667,5000.00000,2990.71436
  0.877920,5000.00000,3009.57153
  0.883113,5000.00000,3027.85718
  0.888378,5000.00000,3046.57153
  0.893642,5000.00000,3065.28564
  0.898860,5000.00000,3083.85718
  0.904172,5000.00000,3103.00000
  0.909421,5000.00000,3121.28564
  0.914665,5000.00000,3139.71436
  0.919958,5000.00000,3158.57153
  0.925392,5000.00000,3177.85718
  0.930590,5000.00000,3196.00000
  0.935743,5000.00000,3214.42847
  0.941052,5000.00000,3233.00000
  0.946305,5000.00000,3251.42847
  0.951545,5000.00000,3269.85718
  0.956775,5000.00000,3288.42847
  0.962077,5000.00000,3307.28564
  0.967328,5000.00000,3325.85718
  0.972567,5000.00000,3344.14282
  0.977840,5000.00000,3362.71436
  0.983070,5000.00000,3381.14282
  0.988362,5000.00000,3400.14282
  0.993618,5000.00000,3418.71436
  0.998891,5846.94189,3437.14282
  1.004190,5846.94189,3456.00000
  1.009465,5846.94189,3474.42847
  1.014693,5846.94189,3492.85718
  1.020008,5846.94189,3511.57153
  1.025285,5846.94189,3530.14282
  1.030552,5846.94189,3548.85718
  1.035862,5846.94189,3567.57153
  1.041146,5846.94189,3586.00000
  1.046470,5846.94189,3604.85718
  1.051722,5846.94189,3623.14282
  1.056939,5846.94189,3641.71436
  1.062175,5846.94189,3660.28564
  1.067416,5846.94189,3678.57153
  1.072710,5846.94189,3697.42847
  1.077959,5846.94189,3715.71436
  1.083908,5846.94189,3736.85718
  1.089144,5846.94189,3755.28564
  1.094406,5846.94189,3773.85718
  1.099809,5846.94189,3792.57153
  1.105073,5846.94189,3811.14282
  1.110300,5846.94189,3829.42847
  1.115461,5846.94189,3847.57153
  1.120654,5846.94189,3865.71436
  1.125823,5846.94189,3884.00000
  1.130961,5846.94189,3901.85718
  1.136151,5846.94189,3920.28564
  1.141289,5846.94189,3938.00000
  1.146407,5846.94189,3956.14282
  1.151586,5846.94189,3974.28564
  1.156707,5846.94189,3992.14282
  1.161837,5846.94189,4010.14282
  1.167009,5846.94189,4028.42847
  1.172152,5846.94189,4046.42847
  1.177290,5846.94189,4064.42847
  1.182463,5846.94189,4082.71436
  1.187787,5846.94189,4101.85693
  1.193122,5846.94189,4120.00000
  1.198640,5846.94189,4139.14307
  1.203916,5846.94189,4157.85693
  1.209233,5846.94189,4176.14307
  1.214479,5846.94189,4194.42871
  1.219810,5846.94189,4213.28564
  1.227017,5846.94189,4238.42871
  1.232225,5846.94189,4256.57129
  1.237465,5846.94189,4275.00000
  1.242649,5846.94189,4293.14307
  1.247805,5846.94189,4311.00000
  1.252964,5846.94189,4329.00000
  1.258112,5846.94189,4346.85693
  1.263261,5846.94189,4365.14307
  1.268372,5846.94189,4382.85693
  1.273482,5846.94189,4400.57129
  1.278588,5846.94189,4418.28564
  1.283715,5846.94189,4436.28564
  1.288842,5846.94189,4454.28564
  1.293996,5846.94189,4472.28564
  1.299150,5846.94189,4490.14307
  1.304381,5846.94189,4508.71436
  1.309648,5846.94189,4526.85693
  1.314800,5846.94189,4545.14307
  1.320034,5846.94189,4563.28564
  1.325164,5846.94189,4581.28564
  1.330323,5846.94189,4599.14307
  1.335435,5846.94189,4616.71436
  1.340559,5846.94189,4634.71436
  1.345671,5846.94189,4652.57129
  1.350823,5846.94189,4670.42871
  1.355989,5846.94189,4688.42871
  1.361193,5846.94189,4706.42871
  1.366351,5846.94189,4724.28564
  1.371558,5846.94189,4742.57129
  1.376813,5846.94189,4760.71436
  1.382085,5846.94189,4779.00000
  1.387412,5846.94189,4797.85693
  1.392751,5846.94189,4816.42871
  1.397991,5846.94189,4834.42871
  1.403310,5846.94189,4852.85693
  1.408588,5846.94189,4871.14307
  1.413988,5846.94189,4890.00000
  1.419248,5846.94189,4908.14307
  1.424471,5846.94189,4926.42871
  1.429706,5846.94189,4944.71436
  1.434959,5846.94189,4963.14307
  1.440185,5846.94189,4981.14307
  1.445414,5846.94189,4999.28564
  1.450660,5846.94189,5017.42871
  1.455912,5846.94189,5035.85693
  1.461157,5846.94189,5054.28564
  1.466369,5846.94189,5072.14307
  1.471768,5846.94189,5090.71436
  1.477008,5846.94189,5109.00000
  1.482206,5846.94189,5127.14307
  1.487835,5846.94189,5147.14307
  1.493133,5846.94189,5165.14307
  1.498360,5846.94189,5183.14307
  1.504263,5846.94189,5203.71436
  1.509529,5846.94189,5221.85693
  1.514931,5846.94189,5240.71436
  1.520397,5846.94189,5260.14307
  1.525887,5846.94189,5278.85693
  1.531140,5846.94189,5296.85693
  1.536525,5846.94189,5315.42871
  1.541882,5846.94189,5334.14307
  1.547146,5846.94189,5352.14307
  1.552412,5846.94189,5370.42871
  1.557749,5846.94189,5388.85693
  1.563330,5846.94189,5408.28564
  1.568640,5846.94189,5426.57129
  1.574079,5846.94189,5445.42871
  1.579503,5846.94189,5464.14307
  1.584698,5846.94189,5482.14307
  1.589946,5846.94189,5500.57129
  1.595183,5846.94189,5518.42871
  1.600447,5846.94189,5536.85693
  1.605686,5846.94189,5554.85693
  1.611037,5846.94189,5573.57129
  1.616280,5846.94189,5591.42871
  1.621690,5846.94189,5610.14307
  1.626937,5846.94189,5628.28564
  1.632173,5846.94189,5646.28564
  1.637534,5846.94189,5665.00000
  1.642828,5846.94189,5683.14307
  1.648080,5846.94189,5701.14307
  1.653403,5846.94189,5719.00000
  1.658729,5846.94189,5735.14307
  1.664161,5846.94189,5749.14307
  1.669637,5846.94189,5761.42871
  1.674967,5846.94189,5770.71436
  1.680226,5846.94189,5778.28564
  1.685479,5846.94189,5784.28564
  1.690790,5846.94189,5788.71436
  1.696084,5846.94189,5791.85693
  1.701361,5846.94189,5794.00000
  1.706623,5846.94189,5795.00000
  1.711940,5846.94189,5795.42871
  1.717160,5846.94189,5795.14307
  1.722411,5846.94189,5794.57129
  1.727692,5846.94189,5793.42871
  1.732936,5846.94189,5792.28564
  1.738527,5846.94189,5790.71436
  1.744012,5846.94189,5789.00000
  1.749274,5846.94189,5787.57129
  1.754579,5846.94189,5786.00000
  1.759941,5846.94189,5784.42871
  1.765315,5846.94189,5783.14307
  1.770712,5846.94189,5781.71436
  1.776014,5846.94189,5780.71436
  1.781234,5846.94189,5779.71436
  1.786462,5846.94189,5779.00000
  1.791712,5846.94189,5778.28564
  1.796901,5846.94189,5777.85693
  1.802085,5846.94189,5777.42871
  1.807305,5846.94189,5777.14307
  1.812524,5846.94189,5777.00000
  1.817695,5846.94189,5777.00000
  1.822939,5846.94189,5777.00000
  1.828209,5846.94189,5777.14307
  1.833445,5846.94189,5777.28564
  1.838742,5846.94189,5777.42871
  1.844044,5846.94189,5777.85693
  1.849326,5846.94189,5778.14307
  1.855026,5846.94189,5778.57129
  1.860415,5846.94189,5779.00000
  1.865599,5846.94189,5779.42871
  1.871094,5846.94189,5779.85693
  1.876626,5846.94189,5780.42871
  1.881999,5846.94189,5780.85693
  1.887405,5846.94189,5781.42871
  1.892785,5846.94189,5781.85693
  1.898093,5846.94189,5782.28564
  1.903401,5846.94189,5782.71436
  1.908825,5846.94189,5783.14307
  1.914035,5846.94189,5783.57129
  1.919774,5846.94189,5784.14307
  1.925045,5846.94189,5784.42871
  1.930286,5846.94189,5784.85693
  1.935649,5846.94189,5785.28564
  1.940938,5846.94189,5785.57129
  1.946203,5846.94189,5786.00000
  1.951440,5846.94189,5786.28564
  1.956704,5846.94189,5786.57129
  1.961996,5846.94189,5787.00000
  1.967200,5846.94189,5787.28564
  1.972451,5846.94189,5787.57129
  1.977738,5846.94189,5787.85693
  1.982926,5846.94189,5788.14307
  1.988153,5846.94189,5788.42871
  1.993425,5846.94189,5788.85693
  1.998711,6131.77588,5789.00000
  2.003886,6131.77588,5789.85693
  2.009087,6131.77588,5791.57129
  2.014308,6131.77588,5795.42871
  2.019468,6131.77588,5801.14307
  2.024693,6131.77588,5809.00000
  2.029928,6131.77588,5819.00000
  2.035120,6131.77588,5830.28564
  2.040370,6131.77588,5843.71436
  2.045666,6131.77588,5858.28564
  2.050893,6131.77588,5873.71436
  2.056085,6131.77588,5890.57129
  2.061305,6131.77588,5907.85693
  2.066553,6131.77588,5926.14307
  2.071739,6131.77588,5944.71436
  2.077001,6131.77588,5963.85693
  2.082218,6131.77588,5983.14307
  2.087435,6131.77588,6001.42871
  2.092681,6131.77588,6018.28564
  2.097946,6131.77588,6033.14307
  2.103154,6131.77588,6045.85693
  2.108397,6131.77588,6056.57129
  2.113638,6131.77588,6065.42871
  2.118941,6131.77588,6072.71436
  2.124205,6131.77588,6078.42871
  2.129569,6131.77588,6082.71436
  2.134871,6131.77588,6086.00000
  2.140105,6131.77588,6088.00000
  2.145351,6131.77588,6089.14307
  2.150520,6131.77588,6089.71436
  2.155778,6131.77588,6089.71436
  2.161025,6131.77588,6089.14307
  2.166275,6131.77588,6088.42871
  2.171526,6131.77588,6087.42871
  2.176782,6131.77588,6086.14307
  2.182036,6131.77588,6084.85693
  2.187288,6131.77588,6083.57129
  2.192533,6131.77588,6082.14307
  2.197771,6131.77588,6080.85693
  2.203021,6131.77588,6079.71436
  2.208208,6131.77588,6078.71436
  2.213690,6131.77588,6077.57129
  2.218915,6131.77588,6076.71436
  2.224067,6131.77588,6076.00000
  2.229209,6131.77588,6075.42871
  2.234711,6131.77588,6074.85693
  2.239841,6131.77588,6074.42871
  2.244964,6131.77588,6074.14307
  2.250121,6131.77588,6073.85693
  2.255249,6131.77588,6073.85693
  2.260377,6131.77588,6073.71436
  2.265495,6131.77588,6073.71436
  2.270651,6131.77588,6073.85693
  2.275765,6131.77588,6074.00000
  2.280880,6131.77588,6074.28564
  2.286017,6131.77588,6074.42871
  2.291154,6131.77588,6074.71436
  2.296265,6131.77588,6075.00000
  2.301384,6131.77588,6075.42871
  2.306535,6131.77588,6075.57129
  2.311664,6131.77588,6076.00000
  2.316812,6131.77588,6076.42871
  2.321994,6131.77588,6076.71436
  2.327157,6131.77588,6077.00000
  2.332334,6131.77588,6077.42871
  2.337463,6131.77588,6077.71436
  2.342613,6131.77588,6078.14307
  2.347708,6131.77588,6078.42871
  2.352855,6131.77588,6078.71436
  2.358007,6131.77588,6079.14307
  2.363202,6131.77588,6079.28564
  2.368312,6131.77588,6079.71436
  2.373428,6131.77588,6080.00000
  2.378526,6131.77588,6080.28564
  2.383611,6131.77588,6080.57129
  2.388780,6131.77588,6080.85693
  2.393871,6131.77588,6081.00000
  2.399009,6131.77588,6081.42871
  2.404213,6131.77588,6081.71436
  2.409442,6131.77588,6081.85693
  2.414667,6131.77588,6082.14307
  2.419893,6131.77588,6082.57129
  2.425169,6131.77588,6082.71436
  2.430343,6131.77588,6083.00000
  2.435628,6131.77588,6083.28564
  2.440916,6131.77588,6083.57129
  2.446299,6131.77588,6083.85693
  2.452076,6131.77588,6084.00000
  2.457557,6131.77588,6084.28564
  2.462761,6131.77588,6084.42871
  2.467995,6131.77588,6084.71436
  2.473254,6131.77588,6085.00000
  2.478698,6131.77588,6085.14307
  2.483852,6131.77588,6085.28564
  2.488988,6131.77588,6085.57129
  2.494127,6131.77588,6085.85693
  2.499288,6131.77588,6086.00000
  2.504400,6131.77588,6086.28564
  2.509523,6131.77588,6086.42871
  2.514734,6131.77588,6086.71436
  2.519919,6131.77588,6087.00000
  2.525061,6131.77588,6087.28564
  2.530195,6131.77588,6087.42871
  2.535330,6131.77588,6087.71436
  2.540475,6131.77588,6087.85693
  2.545598,6131.77588,6088.14307
  2.550727,6131.77588,6088.28564
  2.555858,6131.77588,6088.57129
  2.561042,6131.77588,6088.85693
  2.566165,6131.77588,6089.14307
  2.571295,6131.77588,6089.14307
  2.576456,6131.77588,6089.42871
  2.581583,6131.77588,6089.71436
  2.586747,6131.77588,6089.85693
  2.591904,6131.77588,6090.00000
  2.597031,6131.77588,6090.28564
  2.602169,6131.77588,6090.42871
  2.607372,6131.77588,6090.57129
  2.612530,6131.77588,6090.85693
  2.617722,6131.77588,6091.00000
  2.622843,6131.77588,6091.28564
  2.627969,6131.77588,6091.42871
  2.633137,6131.77588,6091.71436
  2.638281,6131.77588,6091.85693
  2.643406,6131.77588,6092.14307
  2.648497,6131.77588,6092.14307
  2.653729,6131.77588,6092.57129
  2.658853,6131.77588,6092.71436
  2.664007,6131.77588,6092.85693
  2.669219,6131.77588,6093.14307
  2.674449,6131.77588,6093.28564
  2.679649,6131.77588,6093.42871
  2.684898,6131.77588,6093.57129
  2.690139,6131.77588,6093.85693
  2.695391,6131.77588,6094.00000
  2.700690,6131.77588,6094.14307
  2.705933,6131.77588,6094.28564
  2.711184,6131.77588,6094.57129
  2.716423,6131.77588,6094.71436
  2.721674,6131.77588,6095.00000
  2.727041,6131.77588,6095.14307
  2.732288,6131.77588,6095.42871
  2.737649,6131.77588,6095.57129
  2.743151,6131.77588,6095.71436
  2.749187,6131.77588,6096.00000
  2.754701,6131.77588,6096.14307
  2.760272,6131.77588,6096.42871
  2.765594,6131.77588,6096.57129
  2.770976,6131.77588,6096.71436
  2.776268,6131.77588,6096.85693
  2.781523,6131.77588,6097.14307
  2.786834,6131.77588,6097.28564
  2.792043,6131.77588,6097.42871
  2.797229,6131.77588,6097.57129
  2.802424,6131.77588,6097.85693
  2.807626,6131.77588,6097.85693
  2.812854,6131.77588,6098.14307
  2.818046,6131.77588,6098.28564
  2.823266,6131.77588,6098.42871
  2.828479,6131.77588,6098.57129
  2.833636,6131.77588,6098.71436
  2.838814,6131.77588,6099.00000
  2.843969,6131.77588,6099.14307
  2.849112,6131.77588,6099.28564
  2.854239,6131.77588,6099.42871
  2.859391,6131.77588,6099.57129
  2.864490,6131.77588,6099.71436
  2.869671,6131.77588,6099.85693
  2.874846,6131.77588,6100.00000
  2.879970,6131.77588,6100.14307
  2.885104,6131.77588,6100.28564
  2.890219,6131.77588,6100.42871
  2.895334,6131.77588,6100.71436
  2.900558,6131.77588,6100.85693
