time[s],setpoint[RPM],velocity[RPM]
  0.002545,0.00000,0.00000
  0.007931,5000.00000,-0.42857
  0.013066,5000.00000,-1.42857
  0.018208,5000.00000,-3.28571
  0.023361,5000.00000,-7.28571
  0.028782,5000.00000,-11.28571
  0.033916,5000.00000,-15.00000
  0.039044,5000.00000,-20.00000
  0.044177,5000.00000,-24.57143
  0.049356,5000.00000,-29.42857
  0.054504,5000.00000,-32.14286
  0.059640,5000.00000,-33.42857
  0.064775,5000.00000,-33.42857
  0.069896,5000.00000,-32.28571
  0.075011,5000.00000,-31.00000
  0.080159,5000.00000,-29.85714
  0.085335,5000.00000,-28.71428
  0.090499,5000.00000,-27.71428
  0.095657,5000.00000,-26.42857
  0.100882,5000.00000,-23.28572
  0.106058,5000.00000,-19.85714
  0.111265,5000.00000,-4.42857
  0.116485,5000.00000,-4.85714
  0.121695,5000.00000,-5.00000
  0.126862,5000.00000,-5.00000
  0.132107,5000.00000,-3.14286
  0.137391,5000.00000,-2.14286
  0.142625,5000.00000,-0.42857
  0.147886,5000.00000,-1.85714
  0.153118,5000.00000,-37.85714
  0.158337,5000.00000,5.71429
  0.163554,5000.00000,12.57143
  0.168748,5000.00000,12.14286
  0.173926,5000.00000,16.42857
  0.179144,5000.00000,26.28572
  0.184366,5000.00000,39.28571
  0.189604,5000.00000,51.00000
  0.194806,5000.00000,53.71429
  0.199992,5000.00000,57.28571
  0.205181,5000.00000,62.00000
  0.210388,5000.00000,71.42857
  0.215602,5000.00000,75.85714
  0.220831,5000.00000,82.85714
  0.226002,5000.00000,96.28571
  0.231432,5000.00000,119.85714
  0.236603,5000.00000,150.28572
  0.241752,5000.00000,191.14285
  0.246962,5000.00000,241.00000
  0.252125,5000.00000,297.42856
  0.257389,5000.00000,358.57144
  0.262556,5000.00000,419.71429
  0.267730,5000.00000,482.85715
  0.272932,5000.00000,547.57141
  0.278083,5000.00000,610.00000
  0.283268,5000.00000,670.85712
  0.288445,5000.00000,730.00000
  0.293624,5000.00000,786.28571
  0.298820,5000.00000,840.14288
  0.304002,5000.00000,890.14288
  0.309157,5000.00000,936.71429
  0.314322,5000.00000,980.28571
  0.319502,5000.00000,1020.00000
  0.324709,5000.00000,1057.85718
  0.329879,5000.00000,1091.28577
  0.335055,5000.00000,1123.71423
  0.340291,5000.00000,1151.71423
  0.345528,5000.00000,1177.85718
  0.350705,5000.00000,1201.42859
  0.355908,5000.00000,1223.42859
  0.361093,5000.00000,1244.14282
  0.366291,5000.00000,1262.85718
  0.371455,5000.00000,1281.28577
  0.376646,5000.00000,1298.71423
  0.381906,5000.00000,1315.71423
  0.387075,5000.00000,1331.71423
  0.392267,5000.00000,1347.42859
  0.397486,5000.00000,1363.00000
  0.402632,5000.00000,1377.71423
  0.407822,5000.00000,1392.85718
  0.412998,5000.00000,1408.00000
  0.418173,5000.00000,1423.28577
  0.423361,5000.00000,1438.85718
  0.428605,5000.00000,1454.85718
  0.433833,5000.00000,1471.28577
  0.439046,5000.00000,1487.71423
  0.444198,5000.00000,1503.71423
  0.449427,5000.00000,1520.85718
  0.454656,5000.00000,1538.28577
  0.459875,5000.00000,1555.42859
  0.465059,5000.00000,1573.14282
  0.470280,5000.00000,1590.57141
  0.475519,5000.00000,1608.57141
  0.480748,5000.00000,1626.57141
  0.485914,5000.00000,1644.71423
  0.491130,5000.00000,1663.28577
  0.496330,5000.00000,1681.85718
  0.501517,5000.00000,1700.42859
  0.506748,5000.00000,1719.00000
  0.511930,5000.00000,1737.42859
  0.517169,5000.00000,1756.14282
  0.522377,5000.00000,1775.14282
  0.527621,5000.00000,1794.14282
