time[s],setpoint[RPM],velocity[RPM]
   0.00257,0.0,0.0
   0.00674,4932.5,-0.1
   0.01190,4936.6,0.7
   0.01679,4940.3,1.4
   0.02180,4942.0,1.4
   0.02687,4943.5,-0.1
   0.03179,4945.0,0.1
   0.03680,4946.0,0.3
   0.04183,4932.6,1.1
   0.04680,4933.7,1.4
   0.05181,4934.7,-0.1
   0.05680,4935.6,0.3
   0.06180,4938.3,2.1
   0.06680,4941.7,3.7
   0.07180,4946.3,4.0
   0.07680,4952.2,5.4
   0.08180,4959.5,6.0
   0.08679,4971.3,7.9
   0.09183,4982.2,9.1
   0.09679,5008.7,9.9
   0.10179,5026.6,11.1
   0.10679,5038.2,11.9
   0.11180,5055.8,0.0
   0.11680,5085.5,0.9
   0.12183,5102.1,2.1
   0.12680,5118.8,4.6
   0.13187,5135.4,5.9
   0.13680,5146.9,6.1
   0.14184,5163.9,8.6
   0.14680,5175.1,3.1
   0.15185,5183.7,-49.6
   0.15680,5219.1,-39.0
   0.16184,5225.7,11.0
   0.16681,5226.5,0.0
   0.17180,5224.5,-12.9
   0.17688,5218.5,-0.6
   0.18183,5210.3,3.6
   0.18691,5202.7,3.1
   0.19181,5194.6,-2.3
   0.19682,5187.3,-5.6
   0.20186,5180.0,0.0
   0.20682,5169.6,1.3
   0.21183,5173.0,2.0
   0.21682,5164.1,3.7
   0.22281,5162.4,7.0
   0.22697,5164.5,8.6
   0.23189,5167.8,10.1
   0.23681,5175.0,12.1
   0.24186,5179.7,15.1
   0.24682,5198.3,18.4
   0.25205,5208.4,22.3
   0.25681,5281.4,45.4
   0.26182,5297.5,43.1
   0.26682,5313.1,42.0
   0.27181,5329.3,41.9
   0.27681,5490.9,42.7
   0.28183,5505.8,43.9
   0.28681,5520.2,46.3
   0.29185,5529.7,48.9
   0.29683,5587.1,52.6
   0.30181,5595.4,57.3
   0.30680,5604.7,62.9
   0.31189,5611.4,69.1
   0.31688,5571.4,76.3
   0.32186,5573.9,83.6
   0.32681,5574.5,89.9
   0.33188,5573.3,97.6
   0.33681,5571.7,105.9
   0.34187,5568.1,115.3
   0.34680,5565.2,124.1
   0.35183,5560.1,132.4
   0.35683,5599.2,141.7
   0.36183,5593.9,151.7
   0.36681,5589.0,161.0
   0.37183,5584.1,167.0
   0.37684,5655.0,174.6
   0.38182,5653.3,181.4
   0.38683,5652.7,188.3
   0.39191,5654.1,193.7
   0.39681,5657.3,199.1
   0.40183,5661.9,204.9
   0.40681,5668.1,209.7
   0.41191,5675.4,211.1
   0.41690,5668.3,-4.1
   0.42182,5677.7,11.1
   0.42681,5686.5,26.4
   0.43183,5695.9,47.4
   0.43683,5676.8,81.4
   0.44183,5686.0,124.7
   0.44682,5695.2,145.4
   0.45182,5705.0,166.9
   0.45681,5716.4,188.9
   0.46180,5728.9,210.3
   0.46680,5743.3,230.4
   0.47181,5754.8,250.4
   0.47680,5763.0,269.3
   0.48180,5772.6,288.9
   0.48679,5783.9,308.4
   0.49180,5794.9,328.3
   0.49687,5805.8,348.1
   0.50183,5813.1,368.7
   0.50680,5821.5,389.1
   0.51190,5827.9,411.3
   0.51685,5832.4,433.4
   0.52189,5836.5,455.9
   0.52680,5886.3,479.4
   0.53188,5890.6,503.4
   0.53684,5895.6,528.1
   0.54181,5897.9,553.4
   0.54680,5899.8,579.3
   0.55188,5899.7,606.3
   0.55689,5901.0,633.9
   0.56190,5902.7,663.1
   0.56683,5849.7,690.9
   0.57184,5856.7,721.0
   0.57683,5863.9,751.4
   0.58189,5869.7,782.9
   0.58682,5858.9,814.1
   0.59188,5862.7,847.0
   0.59690,5866.9,880.4
   0.60183,5872.6,913.9
   0.60681,5910.8,948.4
   0.61183,5919.1,984.0
   0.61689,5928.2,1020.0
   0.62191,5937.3,1056.9
   0.62681,5992.2,1093.3
   0.63187,6003.4,1131.6
   0.63684,6014.8,1169.6
   0.64182,6027.0,1208.4
   0.64681,6039.8,1248.0
   0.65187,6050.0,1288.6
   0.65681,6059.2,1329.0
   0.66182,6063.7,1370.6
   0.66681,6098.7,1412.4
   0.67183,6102.7,1453.7
   0.67683,6107.2,1496.4
   0.68183,6109.7,1539.7
   0.68680,6133.3,1584.0
   0.69189,6133.5,1628.3
   0.69684,6131.6,1672.1
   0.70183,6128.6,1717.9
   0.70682,6123.7,1763.0
   0.71190,6125.8,1809.1
   0.71689,6127.8,1854.4
   0.72188,6129.3,1900.1
   0.72682,6131.5,1945.0
   0.73190,6134.9,1990.0
   0.73691,6138.8,2033.3
   0.74189,6143.4,2074.9
   0.74682,6236.5,2114.1
   0.75189,6243.2,2152.9
   0.75690,6251.7,2189.1
   0.76189,6257.9,2223.4
   0.76681,6286.3,2255.7
   0.77192,6290.0,2286.7
   0.77684,6301.5,2315.3
   0.78184,6312.2,2342.6
   0.78683,6309.5,2368.6
   0.79183,6326.7,2393.0
   0.79687,6329.9,2416.4
   0.80187,6347.3,2438.6
   0.80684,6353.2,2459.4
   0.81190,6353.8,2480.0
   0.81684,6357.3,2499.6
   0.82188,6360.0,2519.0
   0.82683,6484.0,2537.3
   0.83181,6489.0,2555.7
   0.83691,6495.0,2574.0
   0.84182,6496.8,2591.6
   0.84682,6563.1,2609.3
   0.85187,6563.9,2626.9
   0.85682,6567.6,2644.4
   0.86182,6568.5,2662.3
   0.86683,6527.1,2679.7
   0.87183,6532.1,2697.6
   0.87684,6535.4,2715.4
   0.88180,6540.0,2733.1
   0.88682,6528.4,2751.4
   0.89181,6527.1,2769.7
   0.89689,6527.6,2788.0
   0.90183,6528.7,2806.1
   0.90682,6588.1,2824.7
   0.91190,6590.1,2843.4
   0.91688,6591.8,2862.3
   0.92189,6587.3,2881.1
   0.92682,6678.3,2899.7
   0.93189,6678.4,2919.0
   0.93683,6681.4,2937.9
   0.94189,6683.9,2957.1
   0.94681,6703.6,2976.1
   0.95181,6707.7,2995.4
   0.95686,6712.5,3014.6
   0.96183,6716.8,3033.6
   0.96680,6751.7,3052.9
   0.97191,6755.6,3072.4
   0.97680,6759.5,3091.6
   0.98181,6764.9,3110.7
   0.98682,6796.2,3130.0
   0.99187,6797.6,3149.1
   0.99687,6799.0,3168.4
   1.00182,6800.2,3187.6
   1.00681,6839.3,3207.0
   1.01184,6833.7,3226.0
   1.01689,6827.5,3245.3
   1.02182,6821.7,3264.3
   1.02680,6798.5,3283.4
   1.03186,6789.4,3302.6
   1.03687,6779.4,3321.7
   1.04188,6770.0,3340.7
   1.04680,6731.4,3359.6
   1.05181,6725.4,3378.7
   1.05682,6719.5,3397.6
   1.06183,6714.4,3416.6
   1.06681,6784.1,3435.6
   1.07184,6778.5,3454.6
   1.07683,6773.2,3473.3
   1.08183,6769.1,3492.4
   1.08681,6887.7,3511.4
   1.09181,6885.7,3530.0
   1.09689,6883.2,3549.1
   1.10187,6880.0,3568.0
   1.10680,6875.4,3586.4
   1.11187,6870.4,3605.6
   1.11689,6865.3,3624.6
   1.12184,6860.1,3643.3
   1.12680,6809.4,3661.9
   1.13183,6802.0,3680.7
   1.13683,6791.9,3699.6
   1.14183,6778.7,3718.4
   1.14681,6824.8,3737.0
   1.15182,6810.5,3755.7
   1.15684,6797.6,3774.9
   1.16190,6783.4,3793.4
   1.16681,6906.8,3812.3
   1.17183,6892.0,3830.9
   1.17683,6874.5,3849.4
   1.18183,6859.4,3868.3
   1.18683,6860.9,3886.7
   1.19182,6847.7,3905.4
   1.19686,6839.1,3924.4
   1.20190,6829.5,3943.0
   1.20681,6821.7,3961.4
   1.21189,6810.5,3980.3
   1.21690,6798.6,3998.7
   1.22190,6785.8,4017.3
   1.22681,6801.7,4035.9
   1.23184,6788.5,4054.6
   1.23684,6774.7,4073.0
   1.24191,6757.7,4091.9
   1.24680,6786.6,4110.0
   1.25182,6771.3,4128.4
   1.25683,6755.8,4147.1
   1.26182,6743.2,4165.9
   1.26682,6805.2,4184.3
   1.27183,6791.8,4202.7
   1.27689,6776.4,4221.6
   1.28187,6761.7,4239.9
   1.28681,6749.1,4258.3
   1.29188,6736.1,4277.3
   1.29683,6726.3,4295.1
   1.30182,6721.7,4313.7
   1.30681,6710.0,4332.4
   1.31190,6698.6,4351.0
   1.31687,6685.5,4369.3
   1.32184,6664.3,4387.6
   1.32682,6649.0,4406.1
   1.33183,6635.4,4424.4
   1.33689,6623.2,4442.9
   1.34189,6611.3,4461.6
   1.34683,6600.0,4479.7
   1.35182,6588.6,4498.0
   1.35690,6578.3,4516.7
   1.36190,6569.0,4534.7
   1.36682,6560.4,4553.0
   1.37184,6553.3,4571.6
   1.37685,6545.3,4590.0
   1.38183,6536.2,4607.9
   1.38682,6529.0,4626.1
   1.39190,6522.9,4644.6
   1.39682,6517.0,4662.9
   1.40183,6513.5,4681.3
   1.40681,6507.6,4699.3
   1.41183,6503.0,4717.6
   1.41684,6496.7,4736.1
   1.42190,6493.3,4754.3
   1.42681,6489.5,4772.4
   1.43189,6487.7,4790.9
   1.43682,6483.2,4809.0
   1.44182,6478.5,4827.1
   1.44705,6473.3,4846.1
   1.45183,6467.6,4863.7
   1.45683,6465.0,4882.1
   1.46182,6462.6,4900.1
   1.46681,6461.9,4918.3
   1.47184,6459.2,4936.9
   1.47685,6455.6,4954.9
   1.48189,6447.5,4973.0
   1.48681,6440.2,4991.0
   1.49181,6432.6,5009.1
   1.49683,6425.8,5027.1
   1.50182,6420.1,5045.3
   1.50681,6414.9,5063.4
   1.51188,6412.7,5081.9
   1.51682,6410.9,5099.7
   1.52188,6402.2,5118.1
   1.52688,6398.5,5136.3
   1.53185,6398.0,5154.1
   1.53684,6397.4,5172.7
   1.54181,6397.8,5190.1
   1.54682,6396.5,5208.4
   1.55183,6394.2,5226.6
   1.55684,6391.3,5244.6
   1.56183,6388.6,5262.6
   1.56682,6385.4,5280.6
   1.57187,6382.9,5298.9
   1.57691,6382.7,5316.9
   1.58182,6381.7,5334.7
   1.58682,6381.4,5352.7
   1.59188,6380.7,5370.9
   1.59682,6381.7,5388.7
   1.60188,6380.0,5407.1
   1.60681,6379.3,5424.7
   1.61180,6380.9,5442.7
   1.61683,6379.0,5460.9
